gene	beta_subtype	pvalue_OLS	pvalue_LMM	fdr_OLS	fdr_LMM	status
A1CF	-0.0279344	0.00826033	0.00256694	0.0177908	0.00490437	same
A2M	-0.136323	0.131081	0.138	0.172991	0.187734	nonsig_both
A4GALT	0.188246	0.0036296	0.0534883	0.00888433	0.0801679	lost_with_LMM
A4GNT	-0.0218725	0.0092486	0.0263466	0.019556	0.0422109	same
AAAS	-0.0706323	0.108377	0.0760479	0.146682	0.11009	nonsig_both
AACS	-0.534749	0.000138379	5.66561e-40	0.000485882	2.14706e-38	same
AADAC	-0.0458134	0.0043752	0.00313238	0.0104409	0.00589713	same
AAGAB	-0.301274	0.867747	1.26002e-15	0.890563	8.5486e-15	gained_with_LMM
AAK1	-0.592144	0.20399	7.61145e-18	0.25526	6.20979e-17	gained_with_LMM
AAMDC	-0.357918	1.80639e-16	4.24076e-17	3.0835e-15	3.22045e-16	same
AAMP	-0.134828	0.13772	2.77542e-05	0.180574	6.98629e-05	gained_with_LMM
AANAT	-0.116107	4.9509e-05	1.51734e-14	0.00019178	9.55784e-14	same
AAR2	0.0080332	0.017764	0.777601	0.0319093	0.819522	lost_with_LMM
AASDHPPT	-0.0317762	0.088777	0.462347	0.123315	0.536525	nonsig_both
AASS	-0.322047	0.0826221	6.26752e-06	0.116049	1.71398e-05	gained_with_LMM
AATF	0.0288111	0.0104149	0.334797	0.0215551	0.407873	lost_with_LMM
AATK	-0.727362	4.09987e-10	4.54996e-13	3.34095e-09	2.52034e-12	same
ABAT	-0.70272	0.0331761	1.06925e-13	0.0527126	6.25419e-13	gained_with_LMM
ABCA1	0.174351	0.00340181	0.0819744	0.00839519	0.117753	lost_with_LMM
ABCA11P	-0.182915	2.96231e-06	3.54408e-06	1.43877e-05	9.98105e-06	same
ABCA12	0.376783	0.00739417	6.52312e-09	0.0162908	2.45298e-08	same
ABCA2	0.272849	0.000573009	0.00131012	0.00175561	0.00261711	same
ABCA3	-0.250459	0.471249	5.27743e-05	0.529692	0.000127815	gained_with_LMM
ABCA4	0.798943	3.48739e-20	5.62849e-28	8.85842e-19	9.66417e-27	same
ABCA5	-0.584904	5.46117e-06	7.54455e-25	2.52668e-05	1.01782e-23	same
ABCA6	0.435823	0.000445003	1.52577e-05	0.0014008	3.99078e-05	same
ABCA7	-0.33831	0.250005	1.90231e-08	0.304288	6.82266e-08	gained_with_LMM
ABCA8	-0.935892	2.5407e-08	2.3966e-10	1.68088e-07	1.0352e-09	same
ABCB1	-0.371411	0.000149762	6.53951e-05	0.000521162	0.000156857	same
ABCB11	0.016288	0.0298529	0.226557	0.0482047	0.290897	lost_with_LMM
ABCB4	0.00365142	0.0897817	0.939144	0.124449	0.952813	nonsig_both
ABCB6	-0.124029	0.000126267	1.73842e-06	0.000448193	5.02516e-06	same
ABCB7	0.136812	0.000116982	0.000250833	0.00041956	0.000554094	same
ABCB8	-0.331589	0.50607	3.40587e-15	0.56214	2.24186e-14	gained_with_LMM
ABCB9	0.0975656	0.00612239	0.0660844	0.0138618	0.0969977	lost_with_LMM
ABCC1	-0.227938	0.649529	0.000770051	0.697093	0.00159072	gained_with_LMM
ABCC10	-0.0958759	0.408044	0.014339	0.467397	0.0241562	gained_with_LMM
ABCC2	-0.0158641	0.0161115	0.573658	0.0298569	0.639156	lost_with_LMM
ABCC3	0.81444	6.47814e-10	1.50521e-11	5.17103e-09	7.26548e-11	same
ABCC4	-0.344901	0.00825179	0.0017402	0.0177789	0.00341336	same
ABCC5	0.147091	0.00300897	0.0236067	0.00755467	0.0382185	same
ABCC8	-2.66634	2.31478e-45	8.46468e-59	7.52947e-43	9.01104e-57	same
ABCC9	-0.436259	0.00028902	3.6095e-05	0.000945535	8.936e-05	same
ABCD1	0.00223336	0.0772172	0.958584	0.109376	0.967758	nonsig_both
ABCD2	0.19544	0.651921	0.000389066	0.699148	0.000836725	gained_with_LMM
ABCD3	0.172414	0.000228681	0.00032537	0.000764883	0.000708061	same
ABCD4	-0.0817226	0.109381	0.0632935	0.14787	0.0934166	nonsig_both
ABCE1	0.187976	3.33657e-05	1.58139e-06	0.000134358	4.59051e-06	same
ABCF1	-0.101725	0.162938	0.00110118	0.209532	0.00222748	gained_with_LMM
ABCF2	0.0282671	0.0221105	0.511893	0.0375128	0.5831	lost_with_LMM
ABCF3	-0.157112	0.332906	1.97484e-10	0.39223	8.58723e-10	gained_with_LMM
ABCG1	-0.143205	0.775579	0.134244	0.809811	0.183067	nonsig_both
ABCG2	-0.95944	6.71711e-13	5.23892e-16	7.61446e-12	3.656e-15	same
ABCG4	-0.32354	9.0074e-07	1.21917e-05	4.74906e-06	3.21978e-05	same
ABCG5	-0.038624	0.0041481	0.00130183	0.00997418	0.00260233	same
ABHD10	-0.21513	0.855264	4.93838e-08	0.879911	1.69934e-07	gained_with_LMM
ABHD11	0.0520998	0.00899642	0.288155	0.0191194	0.357826	lost_with_LMM
ABHD17A	-0.163155	0.74475	0.00240625	0.782787	0.00461845	gained_with_LMM
ABHD17B	-0.174488	0.156914	0.000294235	0.202632	0.000643777	gained_with_LMM
ABHD2	0.340076	5.45103e-05	0.000244275	0.000209215	0.000540526	same
ABHD3	0.494308	1.29583e-10	3.28039e-11	1.11904e-09	1.53715e-10	same
ABHD4	0.131348	0.000699442	0.00484017	0.00210012	0.00884494	same
ABHD5	0.0336107	0.0133031	0.457462	0.0261068	0.531595	lost_with_LMM
ABHD6	-0.401098	5.16221e-06	2.22772e-13	2.39974e-05	1.26634e-12	same
ABHD8	-0.225302	0.518246	1.92211e-06	0.573814	5.53021e-06	gained_with_LMM
ABI1	0.325917	3.64201e-07	6.23812e-18	2.03862e-06	5.11902e-17	same
ABI2	0.0946344	0.00425181	0.0560944	0.0101776	0.0836558	lost_with_LMM
ABI3BP	0.254129	0.0215063	0.161766	0.0366844	0.215798	lost_with_LMM
ABL1	-0.00914489	0.0280747	0.861862	0.0457366	0.890454	lost_with_LMM
ABL2	0.401365	1.24845e-08	5.08115e-14	8.5838e-08	3.05286e-13	same
ABLIM1	0.503703	2.51386e-06	9.93437e-10	1.23427e-05	4.05477e-09	same
ABLIM3	0.183519	0.0121678	0.0650979	0.0243564	0.0956934	lost_with_LMM
ABO	-0.364257	0.973726	6.80559e-05	0.979078	0.000163006	gained_with_LMM
ABR	0.554139	5.01897e-08	1.38186e-16	3.18203e-07	1.01515e-15	same
ABT1	0.00832348	0.0196156	0.778167	0.0343335	0.820044	lost_with_LMM
ABTB2	1.8777	3.26681e-44	2.82535e-63	9.56358e-42	4.24165e-61	same
AC005838.2	-0.0227346	0.00894577	0.0475984	0.0190428	0.0722084	lost_with_LMM
AC007292.3	-0.011675	0.012202	0.130452	0.0243998	0.178561	lost_with_LMM
AC007389.3	-0.0946791	0.0011437	3.6661e-06	0.00322795	1.03023e-05	same
ACAA1	-0.229308	0.875082	3.59748e-11	0.897147	1.67968e-10	gained_with_LMM
ACAA2	0.37339	1.68352e-05	6.85688e-06	7.11955e-05	1.86514e-05	same
ACACA	-0.223172	0.761682	5.8737e-06	0.79779	1.6108e-05	gained_with_LMM
ACACB	-0.955759	9.95596e-10	2.06191e-29	7.8035e-09	3.90696e-28	same
ACAD10	-0.459121	0.0276288	8.68979e-26	0.0451232	1.26407e-24	same
ACAD8	-0.659652	0.000469159	5.98904e-28	0.0014662	1.02382e-26	same
ACADL	-0.221926	0.681145	0.0500621	0.725505	0.0755545	nonsig_both
ACADM	-0.26861	0.436518	1.14294e-05	0.496033	3.02733e-05	gained_with_LMM
ACADS	-0.535474	0.000932001	1.49247e-22	0.00269897	1.73409e-21	same
ACADSB	-0.422202	0.0667653	3.59653e-10	0.0965213	1.53202e-09	gained_with_LMM
ACADVL	-0.150279	0.118433	0.00389891	0.158281	0.00722752	gained_with_LMM
ACAN	0.216129	0.422289	0.0601801	0.481219	0.089215	nonsig_both
ACAP1	0.205722	0.000569159	0.0110608	0.00174759	0.0189999	same
ACAP2	-0.0653408	0.0969257	0.289012	0.132982	0.358776	nonsig_both
ACAT1	-0.612858	7.73902e-06	8.06337e-19	3.48688e-05	7.13696e-18	same
ACAT2	0.0691781	0.0445599	0.11514	0.0679333	0.159788	nonsig_both
ACBD3	0.218488	6.99772e-05	1.52439e-05	0.000262639	3.98806e-05	same
ACBD4	-0.144179	0.577389	0.0104175	0.630358	0.0179606	gained_with_LMM
ACD	0.17479	3.62895e-05	0.000452482	0.000145034	0.000965306	same
ACE	-0.874378	3.59753e-07	1.68685e-17	2.01662e-06	1.34192e-16	same
ACE2	-0.150783	3.99905e-05	3.011e-05	0.000158422	7.55006e-05	same
ACHE	-0.399262	1.86505e-08	2.11156e-07	1.26023e-07	6.77807e-07	same
ACIN1	0.0362942	0.0114029	0.360755	0.0231418	0.434882	lost_with_LMM
ACKR1	1.20964	3.79609e-18	1.66051e-18	7.7578e-17	1.4266e-17	same
ACKR2	0.00767225	0.102983	0.89764	0.14016	0.91941	nonsig_both
ACKR3	-0.524093	0.0035457	2.64271e-07	0.00870444	8.39061e-07	same
ACKR4	0.183605	0.704499	1.90181e-06	0.747119	5.47312e-06	gained_with_LMM
ACLY	0.0234389	0.0157703	0.627999	0.0293733	0.689145	lost_with_LMM
ACO1	-0.170693	0.347659	0.0488586	0.406865	0.0739287	nonsig_both
ACO2	-0.118784	0.218981	0.115136	0.271322	0.159788	nonsig_both
ACOT11	-0.8119	2.03468e-19	2.22573e-28	4.75572e-18	3.91341e-27	same
ACOT13	-0.0663253	0.443698	0.0202544	0.502729	0.0332323	gained_with_LMM
ACOT7	0.785559	1.14801e-23	1.73387e-31	4.25416e-22	3.83811e-30	same
ACOT8	-0.112101	0.859225	0.00122522	0.883442	0.00246033	gained_with_LMM
ACOT9	0.482586	2.8655e-12	1.74908e-39	3.02025e-11	6.4408e-38	same
ACOX1	-0.0258267	0.0294318	0.443338	0.0476294	0.517339	lost_with_LMM
ACOX2	-0.540062	5.40403e-05	2.02419e-31	0.000207752	4.46389e-30	same
ACOX3	-0.219516	0.525088	4.00946e-09	0.580074	1.54443e-08	gained_with_LMM
ACOXL	-0.0202635	0.31825	0.696195	0.376663	0.749099	nonsig_both
ACP1	-0.176744	0.381687	1.63731e-08	0.441176	5.90663e-08	gained_with_LMM
ACP2	0.174924	7.89048e-05	4.02395e-06	0.000292675	1.12728e-05	same
ACP5	1.45965	4.82529e-23	1.11831e-25	1.64735e-21	1.60286e-24	same
ACP6	-0.309596	0.216406	5.91855e-06	0.268529	1.62234e-05	gained_with_LMM
ACR	-0.0452927	0.0042424	0.0530955	0.0101647	0.0796398	lost_with_LMM
ACRV1	0.0110424	0.0235542	0.381071	0.0394647	0.45562	lost_with_LMM
ACSBG1	-0.0315467	0.00648107	0.0797302	0.0145341	0.114811	lost_with_LMM
ACSBG2	-0.018066	0.0101473	0.107311	0.021087	0.149882	lost_with_LMM
ACSF2	-0.908681	1.25945e-05	4.77658e-46	5.46837e-05	2.51954e-44	same
ACSL1	-0.54534	0.0579377	2.05022e-15	0.0853504	1.37111e-14	gained_with_LMM
ACSL3	-0.246708	0.690465	7.71578e-07	0.734229	2.32686e-06	gained_with_LMM
ACSL4	0.568504	1.2873e-09	2.51428e-16	9.91732e-09	1.81742e-15	same
ACSL5	1.13541	1.40784e-22	1.15742e-25	4.5794e-21	1.65084e-24	same
ACSL6	-0.246987	2.88255e-06	3.81035e-07	1.40352e-05	1.18858e-06	same
ACSM1	0.0791477	0.635345	0.226761	0.684146	0.291096	nonsig_both
ACSM3	0.284868	0.00196076	0.000371364	0.00518881	0.000801746	same
ACSM5	-0.608051	1.05548e-11	4.53783e-11	1.03601e-10	2.097e-10	same
ACSS3	0.171794	0.00250523	0.0588698	0.00642493	0.087494	lost_with_LMM
ACTA1	0.0676776	0.37788	0.504597	0.437337	0.576303	nonsig_both
ACTA2	0.149731	0.00897702	0.162338	0.0190851	0.216413	lost_with_LMM
ACTB	0.212414	0.00207981	4.72173e-05	0.00546924	0.000114975	same
ACTC1	0.175412	0.68151	0.0292579	0.725828	0.0465061	gained_with_LMM
ACTG2	-0.13833	0.221177	0.329737	0.27358	0.402294	nonsig_both
ACTL6A	0.338245	2.11503e-09	9.90173e-12	1.59069e-08	4.85143e-11	same
ACTL6B	-0.000166268	0.0171085	0.97731	0.0310798	0.982172	lost_with_LMM
ACTL7A	-0.0188364	0.00982981	0.0591571	0.0205509	0.0878596	lost_with_LMM
ACTL7B	0.0172099	0.0281995	0.0011169	0.0459079	0.00225614	same
ACTL8	0.00622067	0.0199373	0.39624	0.0347575	0.470537	lost_with_LMM
ACTN1	0.865719	2.98293e-13	3.2081e-36	3.52118e-12	9.6079e-35	same
ACTN2	-0.0292462	0.0550931	0.716878	0.0816324	0.767501	nonsig_both
ACTN3	0.0162335	0.0281773	0.307482	0.0458782	0.378393	lost_with_LMM
ACTN4	0.290922	0.000303957	1.04198e-11	0.000987881	5.09034e-11	same
ACTR10	-0.0108843	0.0298719	0.718358	0.0482217	0.768848	lost_with_LMM
ACTR1A	0.0306976	0.0106354	0.27459	0.0219347	0.343201	lost_with_LMM
ACTR1B	0.0921411	0.00264722	0.00372035	0.00675653	0.00692063	same
ACTR2	0.17971	0.00092767	0.000720947	0.0026882	0.00149713	same
ACTR3	0.192627	0.00026868	1.02782e-05	0.000885765	2.73915e-05	same
ACTR3B	0.0898029	0.000334635	0.00593278	0.00107801	0.010657	same
ACTR5	-0.0310043	0.832644	0.380178	0.859887	0.454691	nonsig_both
ACTR6	0.0925432	0.000793752	0.0108634	0.00234363	0.0186881	same
ACTR8	0.000779176	0.0287039	0.982622	0.0465866	0.986582	lost_with_LMM
ACVR1	0.708454	4.32951e-12	9.71545e-34	4.45114e-11	2.5059e-32	same
ACVR1B	-0.378068	0.244088	3.24385e-16	0.298158	2.30774e-15	gained_with_LMM
ACVR2A	-0.11913	0.636899	0.00621738	0.685485	0.0111221	gained_with_LMM
ACVR2B	0.175864	5.89839e-05	0.000728868	0.000224984	0.00151304	same
ACVR2B-AS1	0.109988	0.639403	0.0249057	0.687802	0.0401218	gained_with_LMM
ACVRL1	-0.575601	0.00134427	1.95783e-12	0.00371698	1.0267e-11	same
ACYP1	-0.268437	1.03013e-05	7.40694e-07	4.54684e-05	2.23775e-06	same
ADA	0.0348441	0.743233	0.581007	0.781472	0.646054	nonsig_both
ADAM10	0.186791	0.00057832	0.00024505	0.00177003	0.000542035	same
ADAM11	-0.316009	2.76769e-08	8.64972e-10	1.81872e-07	3.54899e-09	same
ADAM12	1.10675	2.66872e-09	7.55597e-10	1.97989e-08	3.12541e-09	same
ADAM15	0.301587	9.6107e-05	5.09394e-08	0.000350596	1.75081e-07	same
ADAM17	-0.0315428	0.195775	0.627054	0.246006	0.688624	nonsig_both
ADAM18	-0.000704715	0.0165919	0.850676	0.0304485	0.881619	lost_with_LMM
ADAM19	0.670869	1.63837e-08	1.75627e-08	1.11219e-07	6.31439e-08	same
ADAM2	-0.00410042	0.0148108	0.404647	0.0280866	0.479209	lost_with_LMM
ADAM20	-0.0252088	0.00734792	0.0161384	0.0162133	0.0269933	same
ADAM21	-0.0564458	0.00315768	0.000821292	0.00788075	0.00168755	same
ADAM22	-0.769276	5.8257e-12	1.63259e-13	5.88602e-11	9.42685e-13	same
ADAM23	0.456885	0.00119316	5.68747e-11	0.0033522	2.60056e-10	same
ADAM28	0.0672336	0.595908	0.580364	0.647618	0.645584	nonsig_both
ADAM30	-0.00504511	0.0145729	0.243149	0.0277703	0.309217	lost_with_LMM
ADAM3A	0.000711842	0.0174116	0.860967	0.0314877	0.889922	lost_with_LMM
ADAM5	0.00821316	0.0214907	0.067052	0.0366632	0.0982579	lost_with_LMM
ADAM7	0.00264704	0.0183868	0.44921	0.0327815	0.523251	lost_with_LMM
ADAM8	0.793711	7.93754e-16	7.1035e-16	1.25099e-14	4.92784e-15	same
ADAM9	0.0390746	0.022276	0.620101	0.0377172	0.68182	lost_with_LMM
ADAMDEC1	0.572285	0.00237236	1.05158e-05	0.00612306	2.7999e-05	same
ADAMTS1	0.588592	4.95323e-08	1.40786e-07	3.14546e-07	4.61148e-07	same
ADAMTS12	0.629504	4.68859e-07	2.4693e-08	2.58005e-06	8.72525e-08	same
ADAMTS13	-0.32221	6.60539e-07	6.35161e-07	3.54325e-06	1.9354e-06	same
ADAMTS2	0.722752	6.05655e-07	1.75518e-06	3.26981e-06	5.06859e-06	same
ADAMTS20	0.0659788	0.113941	0.000199603	0.153221	0.000446656	gained_with_LMM
ADAMTS3	-0.61272	9.43086e-19	4.13948e-19	2.05652e-17	3.7693e-18	same
ADAMTS5	-0.878389	3.58855e-10	1.65244e-12	2.94683e-09	8.7084e-12	same
ADAMTS6	0.226717	0.239596	0.00018187	0.293357	0.000410267	gained_with_LMM
ADAMTS7	-0.223458	0.0361113	0.00960165	0.0567069	0.0166571	gained_with_LMM
ADAMTS8	0.192373	0.547241	0.00130824	0.60199	0.00261381	gained_with_LMM
ADAMTS9	0.0265025	0.113486	0.863794	0.152732	0.891926	nonsig_both
ADAMTSL2	-0.755179	0.000709021	2.8379e-11	0.00212188	1.33568e-10	same
ADAMTSL3	0.472065	1.71628e-05	0.000116996	7.24761e-05	0.000270487	same
ADAMTSL4	-0.283828	0.0214376	0.00393818	0.0365992	0.00728762	same
ADAP1	0.0135164	0.813735	0.877478	0.843213	0.902527	nonsig_both
ADAP2	-0.00285485	0.808789	0.968881	0.838951	0.975714	nonsig_both
ADAR	0.315865	5.12272e-05	4.54346e-12	0.000197781	2.29624e-11	same
ADARB1	0.35396	2.58285e-07	2.60453e-07	1.48043e-06	8.28104e-07	same
ADARB2	0.118589	0.542434	0.103938	0.597152	0.145693	nonsig_both
ADAT1	-0.154317	0.810619	0.000709718	0.840626	0.0014759	gained_with_LMM
ADCK2	0.119689	0.00072346	0.00247964	0.00215565	0.0047523	same
ADCY1	-1.09432	2.33915e-16	2.82274e-25	3.94122e-15	3.93504e-24	same
ADCY10	-0.0802377	0.000887553	5.34209e-08	0.00258346	1.83073e-07	same
ADCY2	-0.325857	5.39763e-06	7.18537e-05	2.50025e-05	0.000171541	same
ADCY3	0.151269	0.0182957	0.0757624	0.0326589	0.109691	lost_with_LMM
ADCY6	0.159433	0.000894732	0.0178993	0.00260241	0.0297095	same
ADCY7	1.31075	7.91815e-28	2.85281e-33	4.37366e-26	7.16875e-32	same
ADCY8	2.15501	2.70182e-22	3.23587e-25	8.52786e-21	4.48427e-24	same
ADCY9	-0.88751	0.00119677	4.56292e-45	0.00336071	2.27369e-43	same
ADCYAP1	0.144819	0.467021	0.000826532	0.525696	0.00169676	gained_with_LMM
ADCYAP1R1	-0.669442	5.80802e-07	2.58644e-06	3.14724e-06	7.36557e-06	same
ADD1	0.174458	0.00113289	3.20587e-08	0.00320439	1.12196e-07	same
ADD2	-0.0309551	0.119558	0.712507	0.159529	0.763773	nonsig_both
ADD3	0.00817606	0.0372414	0.919313	0.0582627	0.93724	nonsig_both
ADD3-AS1	-0.0483803	0.0053745	0.147093	0.0124674	0.198806	lost_with_LMM
ADGB	-0.0123674	0.0120908	0.346943	0.0242437	0.420181	lost_with_LMM
ADH1A	-0.00306459	0.0156532	0.655492	0.029211	0.714229	lost_with_LMM
ADH1B	0.360465	0.11337	0.039923	0.152593	0.0617078	nonsig_both
ADH1C	0.0441652	0.109587	0.23814	0.148131	0.3037	nonsig_both
ADH5	-0.16633	0.294455	2.50881e-05	0.351988	6.35204e-05	gained_with_LMM
ADH6	0.00190891	0.0185531	0.866384	0.0330013	0.893628	lost_with_LMM
ADH7	-0.00741556	0.0137997	0.293336	0.0268108	0.36322	lost_with_LMM
ADI1	-0.135923	0.266467	0.00162126	0.322155	0.00319558	gained_with_LMM
ADIPOQ	0.149511	0.638669	0.0449334	0.687201	0.0686637	nonsig_both
ADIPOR1	-0.00927112	0.0234446	0.750841	0.0393103	0.79648	lost_with_LMM
ADIPOR2	-0.661317	0.00198177	6.59912e-38	0.00523849	2.2334e-36	same
ADK	0.26556	2.03666e-05	2.62788e-07	8.5176e-05	8.34846e-07	same
ADM	0.0293394	0.207062	0.831552	0.258306	0.865476	nonsig_both
ADM2	-1.17215	5.27937e-12	5.76339e-17	5.36179e-11	4.34574e-16	same
ADNP	0.213087	0.000159208	6.05744e-06	0.000549948	1.65847e-05	same
ADNP2	-0.0133827	0.0840458	0.803948	0.11764	0.841307	nonsig_both
ADO	-0.0601724	0.236789	0.148632	0.290467	0.200562	nonsig_both
ADORA1	0.802123	5.66581e-12	9.28867e-13	5.73436e-11	4.99405e-12	same
ADORA2B	0.159543	0.828596	0.0233583	0.856311	0.0378688	gained_with_LMM
ADORA3	0.193791	0.418964	0.0236572	0.478081	0.0382897	gained_with_LMM
ADPGK	-0.0281578	0.0514152	0.370254	0.077011	0.444528	nonsig_both
ADPRH	-0.113886	0.708096	0.0162867	0.75005	0.0272141	gained_with_LMM
ADPRM	-0.270263	3.85894e-05	4.52976e-12	0.000153623	2.29031e-11	same
ADRA1A	-0.00899843	0.0150384	0.640822	0.0283887	0.70059	lost_with_LMM
ADRA1B	0.455011	3.44911e-07	7.8967e-07	1.93712e-06	2.37958e-06	same
ADRA1D	-0.0868276	0.00103613	0.00448069	0.0029528	0.00822525	same
ADRA2A	0.797281	8.59979e-08	1.30695e-08	5.2835e-07	4.76329e-08	same
ADRA2B	-0.187813	0.000117902	0.00230091	0.000422729	0.00442861	same
ADRA2C	0.591366	2.03826e-06	1.68687e-07	1.01393e-05	5.48854e-07	same
ADRB1	-0.224719	5.00158e-07	3.21474e-09	2.73557e-06	1.24817e-08	same
ADRB2	0.392643	0.00192954	9.29868e-09	0.0051166	3.45017e-08	same
ADRB3	0.134958	0.477728	9.24442e-07	0.535705	2.76013e-06	gained_with_LMM
ADRM1	-0.0326894	0.0897818	0.361158	0.124449	0.435278	nonsig_both
ADSL	0.0817796	0.628294	0.0191872	0.677844	0.0316498	gained_with_LMM
ADTRP	1.59439	2.5753e-19	1.55539e-22	5.94808e-18	1.80155e-21	same
AEBP1	0.960773	1.34922e-09	5.17805e-11	1.03806e-08	2.37505e-10	same
AEN	-0.61394	0.000990992	1.67508e-28	0.00284355	2.97407e-27	same
AFAP1	0.585748	1.3239e-17	2.43736e-19	2.52489e-16	2.25268e-18	same
AFF1	-0.328991	0.46329	1.84918e-07	0.522098	5.98008e-07	gained_with_LMM
AFF2	1.18142	4.87387e-18	3.17827e-19	9.82324e-17	2.90989e-18	same
AFF3	0.460076	0.000335296	2.2655e-05	0.00107984	5.76592e-05	same
AFF4	0.107856	0.00520938	0.116342	0.0121303	0.161284	lost_with_LMM
AFG3L2	-0.299256	0.348057	1.54157e-05	0.407263	4.02942e-05	gained_with_LMM
AFM	0.00588051	0.0203654	0.410691	0.0353041	0.485091	lost_with_LMM
AFP	-0.0271236	0.00733945	4.26947e-06	0.0162038	1.19219e-05	same
AFTPH	0.013779	0.0189838	0.736157	0.0335244	0.784529	lost_with_LMM
AGA	0.198837	5.41317e-05	0.000119174	0.000207967	0.000274981	same
AGAP1	-0.116259	0.277579	0.0488532	0.333824	0.0739287	nonsig_both
AGAP2	-0.0645541	0.256695	0.45067	0.311815	0.524639	nonsig_both
AGBL2	0.0103259	0.146831	0.851449	0.190915	0.882108	nonsig_both
AGBL3	0.026357	0.652981	0.581334	0.700092	0.646356	nonsig_both
AGBL5	-0.217155	0.770708	2.59861e-12	0.805659	1.34645e-11	gained_with_LMM
AGER	0.83317	7.72875e-09	6.32308e-08	5.43239e-08	2.15117e-07	same
AGFG1	0.344755	2.16354e-06	8.60071e-16	1.07443e-05	5.93485e-15	same
AGFG2	0.163439	0.000218487	8.52407e-05	0.000734759	0.000200839	same
AGGF1	0.00766965	0.0229876	0.795299	0.0386649	0.83432	lost_with_LMM
AGK	-0.051984	0.158006	0.152818	0.203817	0.205737	nonsig_both
AGL	-0.480918	0.00066022	1.27558e-17	0.00199309	1.02308e-16	same
AGMAT	-0.52816	1.38496e-18	3.70837e-23	2.95408e-17	4.51404e-22	same
AGO1	0.0514073	0.00591931	0.118977	0.0135065	0.164528	lost_with_LMM
AGO3	-0.0683376	0.190208	0.176519	0.23986	0.233195	nonsig_both
AGO4	0.0192694	0.0218891	0.678975	0.0372182	0.733615	lost_with_LMM
AGPAT1	-0.116359	0.483302	0.0087263	0.541109	0.0152629	gained_with_LMM
AGPAT2	0.197202	0.000840198	0.00779924	0.00246276	0.0137461	same
AGPAT3	-0.0526143	0.0400119	0.0910503	0.0619842	0.129189	nonsig_both
AGPAT4	-0.253611	0.020146	0.00793984	0.0350274	0.0139708	same
AGPAT5	-0.594862	1.53509e-07	1.71156e-26	9.12948e-07	2.63715e-25	same
AGPS	0.0179475	0.0201549	0.688892	0.0350325	0.7424	lost_with_LMM
AGR2	-0.273406	0.818638	0.170704	0.847516	0.226177	nonsig_both
AGRN	0.42327	4.3935e-05	2.54559e-11	0.000172644	1.2044e-10	same
AGRP	0.0707551	0.0997785	0.0109	0.136388	0.0187429	gained_with_LMM
AGT	0.135258	0.317064	0.345199	0.375563	0.418295	nonsig_both
AGTPBP1	0.1135	0.000710726	0.0158079	0.0021239	0.0264708	same
AGTR1	-0.672243	4.84297e-11	2.45935e-10	4.40304e-10	1.06035e-09	same
AGTR2	0.00989871	0.0231797	0.122953	0.0389321	0.16944	lost_with_LMM
AGXT	-0.00424379	0.0180104	0.843525	0.0322381	0.875758	lost_with_LMM
AHCTF1	0.0368466	0.0163608	0.534587	0.0301281	0.603957	lost_with_LMM
AHCY	-0.1859	0.276478	3.40374e-06	0.332569	9.62052e-06	gained_with_LMM
AHCYL1	0.0622731	0.0078974	0.161479	0.017167	0.215563	lost_with_LMM
AHCYL2	-0.505804	0.157476	4.10899e-12	0.203267	2.08747e-11	gained_with_LMM
AHDC1	0.14925	0.00123447	0.00147237	0.00345251	0.00292476	same
AHI1	0.172606	0.000181709	0.00179867	0.00062126	0.00352569	same
AHNAK	1.10254	2.57484e-10	7.27897e-50	2.1506e-09	4.81563e-48	same
AHNAK2	2.52768	6.47819e-37	5.09511e-48	7.90204e-35	2.99818e-46	same
AHR	1.39235	2.38084e-28	1.43408e-64	1.36665e-26	2.26933e-62	same
AHSA1	0.0614823	0.00451964	0.0513595	0.0107288	0.0772934	lost_with_LMM
AHSG	-0.138511	0.000107989	3.69201e-07	0.000389672	1.15351e-06	same
AHSP	0.00821463	0.0218	0.254187	0.0370829	0.321479	lost_with_LMM
AICDA	0.0578982	0.15514	0.311761	0.200584	0.383036	nonsig_both
AIDA	0.459413	1.18338e-14	3.99217e-17	1.64773e-13	3.04351e-16	same
AIF1	0.903115	1.75022e-16	1.53981e-16	2.99199e-15	1.12766e-15	same
AIFM1	-0.375959	0.03151	3.71871e-29	0.0504625	6.93408e-28	gained_with_LMM
AIM2	0.363241	0.187129	2.82908e-05	0.23641	7.11829e-05	gained_with_LMM
AIMP1	-0.0184086	0.0327099	0.517072	0.0521417	0.588084	nonsig_both
AIMP2	-0.241961	5.6474e-05	1.33433e-07	0.000216256	4.38043e-07	same
AIP	-0.0221257	0.0392043	0.657282	0.0609348	0.715047	nonsig_both
AIPL1	-0.00882041	0.0132995	0.112614	0.0261041	0.156635	lost_with_LMM
AIRE	-0.00687621	0.0150946	0.658881	0.0284522	0.716189	lost_with_LMM
AJAP1	1.28541	1.24638e-20	1.36453e-22	3.31706e-19	1.58834e-21	same
AK1	-0.393318	0.00562706	7.51021e-05	0.0129456	0.00017864	same
AK2	-0.446492	0.715913	2.31457e-40	0.756882	9.03454e-39	gained_with_LMM
AK5	0.13792	0.661708	0.00294287	0.707583	0.00557441	gained_with_LMM
AK6	-0.145563	0.16256	0.000133639	0.209161	0.000306605	gained_with_LMM
AKAP1	-0.578893	0.187726	1.3548e-21	0.237087	1.47168e-20	gained_with_LMM
