gene	beta_subtype	pvalue_OLS	pvalue_LMM	fdr_OLS	fdr_LMM	status
PDSS1	0.0470191	0.246378	0.140786	0.300468	0.191098	nonsig_both
PDSS2	-0.147238	0.63098	7.46152e-05	0.680252	0.000177698	gained_with_LMM
PDX1	0.00380068	0.0192995	0.332552	0.033964	0.405479	lost_with_LMM
PDXK	0.12843	0.00197796	0.00312238	0.00522959	0.00588113	same
PDYN	0.0241841	0.0336387	0.000855115	0.053339	0.00175212	gained_with_LMM
PDZD2	-0.594872	2.07293e-09	3.53589e-11	1.56203e-08	1.65357e-10	same
PDZD3	-0.0400306	0.0057421	0.000856135	0.0131688	0.00175391	same
PDZD7	0.168129	0.459462	0.0136868	0.518284	0.0231207	gained_with_LMM
PDZD8	0.0380857	0.0210275	0.550441	0.0360622	0.61817	lost_with_LMM
PDZK1	0.0694105	0.156623	0.00597069	0.202278	0.0107169	gained_with_LMM
PDZK1IP1	1.86849	1.77118e-15	2.62579e-15	2.66245e-14	1.74012e-14	same
PDZRN3	1.04109	9.68822e-18	2.9202e-21	1.88141e-16	3.09743e-20	same
PDZRN4	1.48376	2.29001e-09	6.79463e-10	1.71348e-08	2.82546e-09	same
PEA15	0.435048	1.37174e-06	1.75863e-28	7.01753e-06	3.11551e-27	same
PEAK1	0.596319	4.86755e-10	2.96369e-17	3.94184e-09	2.28923e-16	same
PEBP1	-0.404141	0.504099	3.5741e-17	0.560429	2.73547e-16	gained_with_LMM
PECAM1	-0.106528	0.109255	0.160909	0.147769	0.214949	nonsig_both
PECR	-0.0160815	0.134394	0.869646	0.176826	0.896124	nonsig_both
PEF1	-0.328019	0.987162	1.10195e-19	0.990121	1.04147e-18	gained_with_LMM
PEG10	1.19751	1.92398e-17	2.5744e-19	3.58185e-16	2.37372e-18	same
PEG3	-0.527619	1.22889e-06	9.23567e-06	6.34215e-06	2.47595e-05	same
PELI1	1.63526	5.46659e-33	9.32936e-42	4.65485e-31	3.88779e-40	same
PELI2	-0.0169525	0.795631	0.823482	0.827281	0.858221	nonsig_both
PELO	0.0280214	0.0142457	0.490031	0.0273381	0.563127	lost_with_LMM
PELP1	0.0385984	0.0110095	0.368678	0.0225033	0.442929	lost_with_LMM
PEMT	0.0390209	0.0667749	0.584692	0.0965231	0.649473	nonsig_both
PENK	-0.197801	0.0221206	0.181362	0.0375174	0.238892	lost_with_LMM
PEPD	-0.130699	0.216374	0.000608268	0.268518	0.00127786	gained_with_LMM
PER2	-0.236566	0.772908	0.00238368	0.807598	0.00457814	gained_with_LMM
PER3	-0.0564305	0.173522	0.525325	0.221586	0.595965	nonsig_both
PERP	1.30249	8.8528e-18	1.77498e-54	1.73066e-16	1.42363e-52	same
PES1	0.328988	3.86532e-06	1.86118e-13	1.83921e-05	1.06835e-12	same
PEX1	-0.240999	0.127737	6.80652e-07	0.169189	2.06488e-06	gained_with_LMM
PEX10	0.0774901	0.00209728	0.0510813	0.00550282	0.0769043	lost_with_LMM
PEX11A	-0.464525	1.60226e-05	1.17597e-10	6.80291e-05	5.23001e-10	same
PEX11B	-0.00757518	0.0307387	0.796574	0.0494098	0.835382	lost_with_LMM
PEX12	-0.0515897	0.983819	0.318926	0.987022	0.390651	nonsig_both
PEX13	-0.0761357	0.118927	0.0452466	0.158813	0.0690703	nonsig_both
PEX14	-0.00129556	0.0298855	0.971566	0.048237	0.977913	lost_with_LMM
PEX16	-0.108858	0.317444	0.0331604	0.375893	0.0521499	nonsig_both
PEX19	-0.145052	0.215144	0.000131433	0.267219	0.00030178	gained_with_LMM
PEX2	-0.126956	0.345878	0.000434722	0.405266	0.000930128	gained_with_LMM
PEX26	0.119365	0.00129169	0.00492655	0.00359538	0.00899017	same
PEX3	-0.185375	0.409291	0.000178332	0.468642	0.000402442	gained_with_LMM
PEX5	0.013571	0.0183047	0.734328	0.032665	0.78315	lost_with_LMM
PEX5L	-0.14022	7.00009e-05	1.17721e-07	0.000262644	3.88972e-07	same
PEX6	-0.0260209	0.0487475	0.682102	0.073561	0.736439	nonsig_both
PEX7	-0.0595362	0.486509	0.14252	0.54392	0.193183	nonsig_both
PF4	0.00218897	0.0195989	0.904286	0.0343233	0.925143	lost_with_LMM
PF4V1	-0.00432983	0.0148668	0.38159	0.0281562	0.456101	lost_with_LMM
PFAS	0.0573263	0.00614943	0.179014	0.0138988	0.236117	lost_with_LMM
PFDN1	0.142792	0.00046734	2.25012e-05	0.0014613	5.73176e-05	same
PFDN2	0.0918707	0.00379942	0.0995913	0.00924013	0.14017	lost_with_LMM
PFDN4	0.120916	0.000149029	0.00290504	0.000518921	0.00550989	same
PFDN5	-0.147798	0.000885759	0.00762664	0.00257952	0.0134642	same
PFKFB1	-0.192944	1.34908e-05	3.53766e-11	5.8187e-05	1.65373e-10	same
PFKFB2	-0.937171	0.000364277	2.58057e-21	0.00116263	2.74463e-20	same
PFKFB3	0.964823	2.40221e-20	4.18037e-26	6.20969e-19	6.27591e-25	same
PFKFB4	0.021988	0.361704	0.705158	0.420846	0.757073	nonsig_both
PFKL	0.13288	0.00184553	0.000440519	0.00491385	0.000941672	same
PFKM	-0.518773	0.00556665	2.36278e-21	0.0128571	2.51758e-20	same
PFKP	-0.0201756	0.0435115	0.761558	0.0665517	0.805587	nonsig_both
PFN1	0.081235	0.006491	0.155368	0.0145473	0.208666	lost_with_LMM
PFN2	-0.187228	0.399717	0.000100478	0.459431	0.000234523	gained_with_LMM
PGAM1	0.104133	0.00549819	0.0595271	0.0127165	0.0883363	lost_with_LMM
PGAP1	-0.156627	0.975489	0.028914	0.980008	0.0460156	gained_with_LMM
PGAP2	-0.134042	0.548097	0.00137272	0.602706	0.00273564	gained_with_LMM
PGAP3	-0.254642	0.548828	3.11485e-07	0.603453	9.8262e-07	gained_with_LMM
