split_name	method	failure_mode	evidence
source_heldout_NEPdb	anchor_rf	source_top10_zero	AUPRC=0.405;prevalence=0.400;n_pos=354
source_heldout_NEPdb	F_topk_diversification_hla_cluster	source_top10_zero	AUPRC=0.283;prevalence=0.264;n_pos=151
source_heldout_NEPdb	source_prespecified_rf_qk_compact_w0.5	source_top10_zero	AUPRC=0.235;prevalence=0.264;n_pos=151
source_heldout_NEPdb	E_pu_style_conservative_ranker	source_top10_zero	AUPRC=0.235;prevalence=0.264;n_pos=151
source_heldout_NEPdb	H_anchor_rf_plus_qk_compact_w0.5	source_top10_zero	AUPRC=0.232;prevalence=0.264;n_pos=151
source_heldout_NEPdb	D_positive_class_reweighting	source_top10_zero	AUPRC=0.226;prevalence=0.264;n_pos=151
source_heldout_NEPdb	C_source_balanced_training	source_top10_zero	AUPRC=0.209;prevalence=0.264;n_pos=151
source_heldout_NEPdb	A_score_standardization_train_only	source_top10_zero	AUPRC=0.209;prevalence=0.264;n_pos=151
source_heldout_NEPdb	anchor_rf_retrained_cf	source_top10_zero	AUPRC=0.209;prevalence=0.264;n_pos=151
source_heldout_NEPdb	B_rank_normalization_hla_supertype_train_only	source_top10_zero	AUPRC=0.197;prevalence=0.264;n_pos=151
source_heldout_TESLA_mmc4	D_positive_class_reweighting	source_top10_zero	AUPRC=0.078;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc4	E_pu_style_conservative_ranker	source_top10_zero	AUPRC=0.077;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc4	A_score_standardization_train_only	source_top10_zero	AUPRC=0.072;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc4	anchor_rf_retrained_cf	source_top10_zero	AUPRC=0.072;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc4	B_rank_normalization_hla_supertype_train_only	source_top10_zero	AUPRC=0.069;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc4	C_source_balanced_training	source_top10_zero	AUPRC=0.067;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc4	anchor_rf	source_top10_zero	AUPRC=0.065;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc4	F_topk_diversification_hla_cluster	source_top10_zero	AUPRC=0.061;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc4	G_abstention_extreme_ood	source_top10_zero	AUPRC=0.059;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc4	H_anchor_rf_plus_qk_compact_w0.5	source_top10_zero	AUPRC=0.058;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc4	source_prespecified_rf_qk_compact_w0.5	source_top10_zero	AUPRC=0.056;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc4	source_qk_compact_gamma1	source_top10_zero	AUPRC=0.052;prevalence=0.061;n_pos=37
source_heldout_TESLA_mmc7_validation	anchor_rf	source_top10_zero	AUPRC=0.038;prevalence=0.019;n_pos=6
source_heldout_TESLA_mmc7_validation	B_rank_normalization_hla_supertype_train_only	source_top10_zero	AUPRC=0.030;prevalence=0.013;n_pos=4
source_heldout_TESLA_mmc7_validation	E_pu_style_conservative_ranker	source_top10_zero	AUPRC=0.015;prevalence=0.013;n_pos=4
source_heldout_TESLA_mmc7_validation	source_qk_compact_gamma1	source_top10_zero	AUPRC=0.015;prevalence=0.019;n_pos=6
source_heldout_TESLA_mmc7_validation	D_positive_class_reweighting	source_top10_zero	AUPRC=0.014;prevalence=0.013;n_pos=4
source_heldout_TESLA_mmc7_validation	F_topk_diversification_hla_cluster	source_top10_zero	AUPRC=0.013;prevalence=0.013;n_pos=4
source_heldout_TESLA_mmc7_validation	C_source_balanced_training	source_top10_zero	AUPRC=0.012;prevalence=0.013;n_pos=4
source_heldout_TESLA_mmc7_validation	A_score_standardization_train_only	source_top10_zero	AUPRC=0.012;prevalence=0.013;n_pos=4
source_heldout_TESLA_mmc7_validation	anchor_rf_retrained_cf	source_top10_zero	AUPRC=0.012;prevalence=0.013;n_pos=4
source_heldout_TESLA_mmc7_validation	G_abstention_extreme_ood	source_top10_zero	AUPRC=0.012;prevalence=0.013;n_pos=4
source_heldout_TESLA_mmc7_validation	source_prespecified_rf_qk_compact_w0.5	source_top10_zero	AUPRC=0.011;prevalence=0.013;n_pos=4
source_heldout_TESLA_mmc7_validation	H_anchor_rf_plus_qk_compact_w0.5	source_top10_zero	AUPRC=0.010;prevalence=0.013;n_pos=4
study_heldout	anchor_lr	small_n_descriptive	n=9;n_pos=5
study_heldout	anchor_rf	small_n_descriptive	n=9;n_pos=5
study_heldout	nested_lr_qk_quantum_only_train_selected	small_n_descriptive	n=9;n_pos=5
study_heldout	prespecified_lr_qk_quantum_only_w0.5	small_n_descriptive	n=9;n_pos=5
study_heldout	nested_lr_qk_no_anchor_train_selected	small_n_descriptive	n=9;n_pos=5
study_heldout	prespecified_lr_qk_no_anchor_w0.5	small_n_descriptive	n=9;n_pos=5
study_heldout	nested_rf_qk_quantum_only_train_selected	small_n_descriptive	n=9;n_pos=5
study_heldout	prespecified_rf_qk_quantum_only_w0.5	small_n_descriptive	n=9;n_pos=5
study_heldout	nested_rf_qk_no_anchor_train_selected	small_n_descriptive	n=9;n_pos=5
study_heldout	prespecified_rf_qk_no_anchor_w0.5	small_n_descriptive	n=9;n_pos=5
study_heldout	rule_gate_rf_qk_fallback_train_selected	small_n_descriptive	n=9;n_pos=5
multiple	nested_lr_qk_no_anchor_train_selected	fusion_weight_instability	selected_weight_count=3
multiple	nested_lr_qk_quantum_only_train_selected	fusion_weight_instability	selected_weight_count=3
multiple	nested_rf_qk_no_anchor_train_selected	fusion_weight_instability	selected_weight_count=2
multiple	nested_rf_qk_quantum_only_train_selected	fusion_weight_instability	selected_weight_count=3
multiple	rule_gate_rf_qk_fallback_train_selected	fusion_weight_instability	selected_weight_count=2
all	public_comparator_audit	public_overlap_unresolved	MHCflurry,NetMHCpan,BigMHC,PRIME,MixMHCpred,NetMHCstabpan
