split_name	fold_id	fusion_method	anchor_method	qk_method	anchor_weight	qk_weight	inner_AUPRC	inner_n	selection_status
hla_stratified_group_5fold	hla_01	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.25	0.75	0.35909679800556316	56	inner_oof_selected
hla_stratified_group_5fold	hla_01	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.25	0.75	0.4530806150371368	56	inner_oof_selected
hla_stratified_group_5fold	hla_01	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.4970742415479257	56	inner_oof_selected;split_rule
hla_stratified_group_5fold	hla_02	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.5	0.5	0.5441004031560366	73	inner_oof_selected
hla_stratified_group_5fold	hla_02	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5996654841723952	73	inner_oof_selected
hla_stratified_group_5fold	hla_02	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.4984005343678843	73	inner_oof_selected
hla_stratified_group_5fold	hla_02	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.25	0.75	0.6053755714449136	73	inner_oof_selected
hla_stratified_group_5fold	hla_02	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_no_anchor	0.5	0.5	0.5441004031560366	73	inner_oof_selected;split_rule
hla_stratified_group_5fold	hla_03	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.5	0.5	0.5618614628592419	79	inner_oof_selected
hla_stratified_group_5fold	hla_03	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5711739087632058	79	inner_oof_selected
hla_stratified_group_5fold	hla_03	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.4922289307508463	79	inner_oof_selected
hla_stratified_group_5fold	hla_03	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.75	0.25	0.5171207876591452	79	inner_oof_selected
hla_stratified_group_5fold	hla_03	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_no_anchor	0.5	0.5	0.5618614628592419	79	inner_oof_selected;split_rule
hla_stratified_group_5fold	hla_04	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.5264064775747783	78	inner_oof_selected
hla_stratified_group_5fold	hla_04	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.504498788982916	78	inner_oof_selected
hla_stratified_group_5fold	hla_04	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.5621945092548535	78	inner_oof_selected
hla_stratified_group_5fold	hla_04	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.75	0.25	0.5957249943657377	78	inner_oof_selected
hla_stratified_group_5fold	hla_04	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.5264064775747783	78	inner_oof_selected;split_rule
hla_supertype_heldout	super_00	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.5	0.5	0.5402458239549819	67	inner_oof_selected
hla_supertype_heldout	super_00	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.47888758653478264	67	inner_oof_selected
hla_supertype_heldout	super_00	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.5867600348369579	67	inner_oof_selected
hla_supertype_heldout	super_00	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.75	0.25	0.5858899821109125	67	inner_oof_selected
hla_supertype_heldout	super_00	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_no_anchor	0.5	0.5	0.5402458239549819	67	inner_oof_selected;split_rule
hla_supertype_heldout	super_01	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.30539215686274507	39	inner_oof_selected
hla_supertype_heldout	super_01	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.5	0.5	0.5032828282828283	39	inner_oof_selected
hla_supertype_heldout	super_01	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.3782173382173382	39	inner_oof_selected
hla_supertype_heldout	super_01	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.75	0.25	0.3988888888888889	39	inner_oof_selected
hla_supertype_heldout	super_01	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.30539215686274507	39	inner_oof_selected;split_rule
hla_supertype_heldout	super_02	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.5267500070021078	57	inner_oof_selected
hla_supertype_heldout	super_02	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.639162985231962	57	inner_oof_selected
hla_supertype_heldout	super_02	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.5089971843868502	57	inner_oof_selected
hla_supertype_heldout	super_02	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.25	0.75	0.5883299811152531	57	inner_oof_selected
hla_supertype_heldout	super_02	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.5267500070021078	57	inner_oof_selected;split_rule
hla_supertype_heldout	super_09	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.5224746598986771	53	inner_oof_selected
hla_supertype_heldout	super_09	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.580486284266772	53	inner_oof_selected
hla_supertype_heldout	super_09	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.560561094888018	53	inner_oof_selected
hla_supertype_heldout	super_09	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.75	0.25	0.5951829774704269	53	inner_oof_selected
hla_supertype_heldout	super_09	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.5224746598986771	53	inner_oof_selected;split_rule
near_peptide_cluster_holdout	near_00	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.454592375821354	71	inner_oof_selected
near_peptide_cluster_holdout	near_00	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.25	0.75	0.554318296748138	71	inner_oof_selected
near_peptide_cluster_holdout	near_00	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.4813829429324581	71	inner_oof_selected
near_peptide_cluster_holdout	near_00	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.25	0.75	0.49403711456965016	71	inner_oof_selected
near_peptide_cluster_holdout	near_00	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.51678221027522	71	inner_oof_selected;split_rule
near_peptide_cluster_holdout	near_01	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.419293741826834	70	inner_oof_selected
near_peptide_cluster_holdout	near_01	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5588060251621476	70	inner_oof_selected
near_peptide_cluster_holdout	near_01	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.44323194214770817	70	inner_oof_selected
near_peptide_cluster_holdout	near_01	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.75	0.25	0.4531216046886708	70	inner_oof_selected
near_peptide_cluster_holdout	near_01	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5588060251621476	70	inner_oof_selected;split_rule
near_peptide_cluster_holdout	near_02	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.5	0.5	0.5403865015729886	72	inner_oof_selected
near_peptide_cluster_holdout	near_02	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.25	0.75	0.529867882317256	72	inner_oof_selected
near_peptide_cluster_holdout	near_02	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.568848711444844	72	inner_oof_selected
near_peptide_cluster_holdout	near_02	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.75	0.25	0.5495577948288617	72	inner_oof_selected
near_peptide_cluster_holdout	near_02	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5266182336891323	72	inner_oof_selected;split_rule
near_peptide_cluster_holdout	near_03	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.4656371532885672	72	inner_oof_selected
near_peptide_cluster_holdout	near_03	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5313873203331776	72	inner_oof_selected
near_peptide_cluster_holdout	near_03	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.5295278625095372	72	inner_oof_selected
near_peptide_cluster_holdout	near_03	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.75	0.25	0.5186032118627847	72	inner_oof_selected
near_peptide_cluster_holdout	near_03	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5313873203331776	72	inner_oof_selected;split_rule
near_peptide_cluster_holdout	near_04	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.4698477316049128	71	inner_oof_selected
near_peptide_cluster_holdout	near_04	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.25	0.75	0.5211398916888703	71	inner_oof_selected
near_peptide_cluster_holdout	near_04	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.5066612735403174	71	inner_oof_selected
near_peptide_cluster_holdout	near_04	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.75	0.25	0.5071131490874021	71	inner_oof_selected
near_peptide_cluster_holdout	near_04	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5076476073935553	71	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_00	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.4678506761238187	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_00	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5120446140273838	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_00	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.489884550972468	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_00	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.75	0.25	0.51589499396026	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_00	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5120446140273838	355	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_01	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.5	0.5	0.43766248272165365	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_01	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.4518148627937815	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_01	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.25	0.75	0.4162449791593724	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_01	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.5	0.5	0.45119744097807624	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_01	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.4518148627937815	355	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_02	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.5630422724996244	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_02	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.550292808284643	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_02	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.5	0.5	0.5007166144986352	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_02	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.5	0.5	0.5111607634424891	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_02	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.550292808284643	355	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_03	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.45519732245378347	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_03	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.5	0.5	0.5760620742910182	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_03	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.5	0.5	0.4668855412322233	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_03	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.25	0.75	0.5785990765835222	355	inner_oof_selected
