split_name	method	n	n_pos	prevalence	AUPRC	AUROC	Brier	ECE	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	top20_precision	recall_at_20	enrichment_at_20
exact_peptide_hla_holdout	anchor_rf	89	21	0.23595505617977527	0.525436253778695	0.714985994397759	0.1783828013956312	0.14892273779518964	0.8	0.19047619047619047	3.390476190476191	0.6	0.2857142857142857	2.5428571428571427	0.45	0.42857142857142855	1.9071428571428573
exact_peptide_hla_holdout	anchor_lr	89	21	0.23595505617977527	0.5178009114632494	0.6701680672268907	0.2049926275703754	0.19779084261695704	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.5	0.47619047619047616	2.119047619047619
exact_peptide_hla_holdout	qk_no_anchor	89	21	0.23595505617977527	0.4521131101029039	0.7030812324929971	0.21442745032547658	0.21713863123915114	0.8	0.19047619047619047	3.390476190476191	0.5	0.23809523809523808	2.119047619047619	0.4	0.38095238095238093	1.6952380952380954
exact_peptide_hla_holdout	qk_quantum_only	89	21	0.23595505617977527	0.4324270661561637	0.65406162464986	0.2357847003275968	0.23919732146918446	0.6	0.14285714285714285	2.5428571428571427	0.4	0.19047619047619047	1.6952380952380954	0.5	0.47619047619047616	2.119047619047619
hla_stratified_group_5fold	anchor_rf	89	21	0.23595505617977527	0.5054898858953569	0.7170868347338936	0.17952311779249255	0.15111682555558884	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.45	0.42857142857142855	1.9071428571428573
hla_stratified_group_5fold	anchor_lr	89	21	0.23595505617977527	0.492459149337728	0.6799719887955182	0.1998148838323021	0.1682220248325189	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.45	0.42857142857142855	1.9071428571428573
hla_stratified_group_5fold	qk_quantum_only	89	21	0.23595505617977527	0.4269751957694988	0.6533613445378151	0.250139503098153	0.26519468831566106	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.35	0.3333333333333333	1.4833333333333332
hla_stratified_group_5fold	qk_no_anchor	89	21	0.23595505617977527	0.4250397439572104	0.6659663865546218	0.2239851768705719	0.2115158300787289	0.4	0.09523809523809523	1.6952380952380954	0.4	0.19047619047619047	1.6952380952380954	0.4	0.38095238095238093	1.6952380952380954
hla_supertype_heldout	anchor_lr	72	15	0.20833333333333334	0.49691178847089845	0.7380116959064327	0.18661885336243025	0.1881065838342975	0.8	0.26666666666666666	3.84	0.5	0.3333333333333333	2.4	0.45	0.6	2.16
hla_supertype_heldout	anchor_rf	72	15	0.20833333333333334	0.47788422169988354	0.7473684210526316	0.17040981132362898	0.1811962771109258	0.4	0.13333333333333333	1.92	0.5	0.3333333333333333	2.4	0.35	0.4666666666666667	1.6799999999999997
