heldout_study	n	positives	prevalence	positive_top5	positive_top10	positive_top20	AUPRC	AUROC	top10_precision	median_positive_rank	hla_overlap_with_train	peptide_cluster_overlap_with_train	wt_available_rate	source_window_available_rate	cause_prevalence_too_low	cause_source_shift	cause_hla_shift	cause_length_shift	cause_missing_wt_source	cause_score_miscalibration	cause_positive_low_tail	cause_public_overlap_unresolved	cause_label_definition_mismatch_possible	root_cause_summary
CEDAR	913	851	0.932092004381161	5	10	18	0.9218162592509168	0.4390280883969523	1.0	461.0	0.6622662266226622	0.0242024202420242	0.0	0.0	False	True	True	False	True	True	True	True	False	source_shift;hla_shift;missing_wt_source;score_miscalibration;positive_low_tail;public_overlap_unresolved
NEPdb	886	354	0.3995485327313769	0	0	0	0.3955094409358869	0.4792967588462682	0.0	439.5	0.9632867132867132	0.0996503496503496	0.0	0.0	False	True	False	True	True	True	False	True	True	source_shift;length_shift;missing_wt_source;score_miscalibration;public_overlap_unresolved;label_definition_mismatch_possible
TESLA_mmc4	610	37	0.060655737704918	0	0	0	0.0551107212426236	0.4649308994858733	0.0	360.0	1.0	0.0694214876033057	0.0	0.0	True	True	False	False	True	True	True	True	True	prevalence_too_low;source_shift;missing_wt_source;score_miscalibration;positive_low_tail;public_overlap_unresolved;label_definition_mismatch_possible
TESLA_mmc7_validation	319	6	0.018808777429467	0	0	0	0.0168969400336742	0.2944621938232161	0.0	237.5	1.0	0.0516129032258064	0.0	0.0	True	True	False	False	True	True	True	True	True	prevalence_too_low;source_shift;missing_wt_source;score_miscalibration;positive_low_tail;public_overlap_unresolved;label_definition_mismatch_possible
