source	local_n	strict_n	exact_peptide_overlap_n	exact_peptide_hla_overlap_n	near_peptide_cluster_overlap_n	hla_normalized_overlap_n	source_protein_overlap_n	audit_scope
IEDB	1481	89	1	0	5	13	0	local master rows only; public comparator training corpus still separate unless source is local
CEDAR	909	89	0	0	0	13	0	local master rows only; public comparator training corpus still separate unless source is local
NEPdb	572	89	1	0	5	13	0	local master rows only; public comparator training corpus still separate unless source is local
TESLA	915	89	0	0	7	10	0	local master rows only; public comparator training corpus still separate unless source is local
