heldout_study	method	n	positives	prevalence	positive_top5	positive_top10	positive_top20	positive_top50	AUPRC	AUROC	top10_precision	Brier	ECE	median_positive_rank	hla_overlap_with_train	peptide_cluster_overlap_with_train	source_protein_overlap_with_train	wt_available_rate	source_window_available_rate	length_median	dominant_hla	dominant_hla_frac	cause_prevalence_too_low	cause_source_shift	cause_hla_shift	cause_length_shift	cause_missing_wt_source	cause_score_miscalibration	cause_positive_low_tail	cause_public_overlap_unresolved	cause_label_definition_mismatch_possible
CEDAR	sourceheld_counterfactual_rf	913	851	0.932092004381161	4	9	19	46	0.91808240664723	0.41634130624312954	0.9	0.37090045711445097	0.5509498873106363	465.0	0.6622662266226622	0.0242024202420242		0.0	0.0	9.0	HLA-A*02:01	0.15291529152915292	False	True	True	False	True	True	True	True	False
CEDAR	sourceheld_prespecified_late_fusion_w0.5	913	851	0.932092004381161	5	10	18	44	0.9218162592509168	0.43902808839695234	1.0	0.41335292995145234	0.5580147106754391	461.0	0.6622662266226622	0.0242024202420242		0.0	0.0	9.0	HLA-A*02:01	0.15291529152915292	False	True	True	False	True	True	True	True	False
CEDAR	sourceheld_qk_compact_gamma1	913	851	0.932092004381161	4	9	19	45	0.9267438507831547	0.4613168568287783	0.9	0.5276384932319151	0.5803726878016227	460.0	0.6622662266226622	0.0242024202420242		0.0	0.0	9.0	HLA-A*02:01	0.15291529152915292	False	True	True	False	True	True	True	True	False
NEPdb	sourceheld_counterfactual_rf	886	354	0.39954853273137697	0	0	0	0	0.4053403878591387	0.4952104838367104	0.0	0.26142795492335147	0.13617802771595922	383.5	0.9632867132867133	0.09965034965034965		0.0	0.0	10.0	HLA-A*02:01	0.256993006993007	False	True	False	True	True	False	False	True	True
NEPdb	sourceheld_prespecified_late_fusion_w0.5	886	354	0.39954853273137697	0	0	0	9	0.39550944093588697	0.4792967588462682	0.0	0.29372609952834633	0.26937729849673886	439.5	0.9632867132867133	0.09965034965034965		0.0	0.0	10.0	HLA-A*02:01	0.256993006993007	False	True	False	True	True	True	False	True	True
NEPdb	sourceheld_qk_compact_gamma1	886	354	0.39954853273137697	2	4	8	14	0.40642565475609194	0.4826366764368548	0.4	0.4014077667799855	0.41590107354868633	450.5	0.9632867132867133	0.09965034965034965		0.0	0.0	10.0	HLA-A*02:01	0.256993006993007	False	True	False	True	True	True	True	True	True
TESLA_mmc4	sourceheld_counterfactual_rf	610	37	0.060655737704918035	0	0	0	0	0.06501090293105945	0.549266544030942	0.0	0.24214991448573273	0.42613828300934325	247.0	1.0	0.06942148760330578		0.0	0.0	9.0	HLA-A*02:01	0.3933884297520661	True	True	False	False	True	True	False	True	True
TESLA_mmc4	sourceheld_prespecified_late_fusion_w0.5	610	37	0.060655737704918035	0	0	0	1	0.05511072124262366	0.46493089948587335	0.0	0.3117100352988505	0.4530234097437169	360.0	1.0	0.06942148760330578		0.0	0.0	9.0	HLA-A*02:01	0.3933884297520661	True	True	False	False	True	True	True	True	True
TESLA_mmc4	sourceheld_qk_compact_gamma1	610	37	0.060655737704918035	0	0	0	1	0.051662525285099695	0.43790387245884627	0.0	0.4767137774437636	0.5098843604236369	362.0	1.0	0.06942148760330578		0.0	0.0	9.0	HLA-A*02:01	0.3933884297520661	True	True	False	False	True	True	True	True	True
TESLA_mmc7_validation	sourceheld_counterfactual_rf	319	6	0.018808777429467086	0	0	0	0	0.03780955444409747	0.6554845580404686	0.0	0.21254766160730756	0.43853063717039825	106.5	1.0	0.05161290322580645		0.0	0.0	10.0	HLA-A*23:01	0.27741935483870966	True	True	False	False	True	True	False	True	True
TESLA_mmc7_validation	sourceheld_prespecified_late_fusion_w0.5	319	6	0.018808777429467086	0	0	0	0	0.016896940033674205	0.29446219382321615	0.0	0.2416708535566024	0.42033700434195476	237.5	1.0	0.05161290322580645		0.0	0.0	10.0	HLA-A*23:01	0.27741935483870966	True	True	False	False	True	True	True	True	True
TESLA_mmc7_validation	sourceheld_qk_compact_gamma1	319	6	0.018808777429467086	0	0	0	0	0.014596475774591404	0.1805111821086262	0.0	0.350284076837968	0.41787693108403084	292.0	1.0	0.05161290322580645		0.0	0.0	10.0	HLA-A*23:01	0.27741935483870966	True	True	False	False	True	True	True	True	True
