fold	n_test	accuracy	balanced_accuracy	majority_baseline	interpretation
0	480	0.6770833333333334	0.5822933600888465	0.3794363256784969	source_shortcut_risk
1	479	0.6910229645093946	0.6054419290644018	0.3792383933229004	source_shortcut_risk
2	479	0.7035490605427975	0.6217348402484998	0.3792383933229004	source_shortcut_risk
3	479	0.7202505219206681	0.6346694669738349	0.3792383933229004	source_shortcut_risk
4	479	0.7056367432150313	0.6285232433493755	0.3797600417318727	source_shortcut_risk
mean	2396	0.699508524704245	0.6145325679449917	0.37938230383973287	source_shortcut_risk
