split_name	comparator	harmed_negative	rescued_positive	stable_positive	unstable_case	net_rescue_minus_harm	rescue_harm_ratio	bounded_role
exact_peptide_hla_holdout	best_foldsafe_fusion	9	2	15	15	-7	0.2222222222222222	fallback_only_with_harm_audit
exact_peptide_hla_holdout	qk_no_anchor	13	4	11	26	-9	0.3076923076923077	fallback_only_with_harm_audit
exact_peptide_hla_holdout	qk_quantum_only	14	4	12	23	-10	0.2857142857142857	fallback_only_with_harm_audit
hla_stratified_group_5fold	best_foldsafe_fusion	5	6	11	15	1	1.2	possible_fallback_in_this_split
hla_stratified_group_5fold	qk_no_anchor	11	7	9	32	-4	0.6363636363636364	fallback_only_with_harm_audit
hla_stratified_group_5fold	qk_quantum_only	15	5	9	26	-10	0.3333333333333333	fallback_only_with_harm_audit
hla_supertype_heldout	best_foldsafe_fusion	8	3	8	19	-5	0.375	fallback_only_with_harm_audit
hla_supertype_heldout	qk_no_anchor	10	4	6	27	-6	0.4	fallback_only_with_harm_audit
hla_supertype_heldout	qk_quantum_only	14	2	5	26	-12	0.14285714285714285	fallback_only_with_harm_audit
near_peptide_cluster_holdout	best_foldsafe_fusion	9	2	13	6	-7	0.2222222222222222	fallback_only_with_harm_audit
near_peptide_cluster_holdout	qk_no_anchor	13	5	11	21	-8	0.38461538461538464	fallback_only_with_harm_audit
near_peptide_cluster_holdout	qk_quantum_only	15	4	12	22	-11	0.26666666666666666	fallback_only_with_harm_audit
repeated_stratified_5x5_internal	best_foldsafe_fusion	60	10	71	85	-50	0.16666666666666666	fallback_only_with_harm_audit
repeated_stratified_5x5_internal	qk_no_anchor	87	15	59	133	-72	0.1724137931034483	fallback_only_with_harm_audit
repeated_stratified_5x5_internal	qk_quantum_only	88	16	52	139	-72	0.18181818181818182	fallback_only_with_harm_audit
source_heldout_CEDAR	best_foldsafe_fusion	0	8	2	516	8		possible_fallback_in_this_split
source_heldout_CEDAR	source_qk_compact_gamma1	1	9	0	513	8	9.0	possible_fallback_in_this_split
source_heldout_NEPdb	source_qk_compact_gamma1	6	4	0	328	-2	0.6666666666666666	fallback_only_with_harm_audit
source_heldout_NEPdb	best_foldsafe_fusion	7	0	0	318	-7	0.0	fallback_only_with_harm_audit
source_heldout_TESLA_mmc4	best_foldsafe_fusion	6	0	0	344	-6	0.0	fallback_only_with_harm_audit
source_heldout_TESLA_mmc4	source_qk_compact_gamma1	10	0	0	354	-10	0.0	fallback_only_with_harm_audit
source_heldout_TESLA_mmc7_validation	best_foldsafe_fusion	9	0	0	153	-9	0.0	fallback_only_with_harm_audit
source_heldout_TESLA_mmc7_validation	source_qk_compact_gamma1	9	0	0	152	-9	0.0	fallback_only_with_harm_audit
study_heldout	best_foldsafe_fusion	0	3	2	1	3		possible_fallback_in_this_split
study_heldout	qk_no_anchor	0	3	2	3	3		possible_fallback_in_this_split
study_heldout	qk_quantum_only	0	3	2	3	3		possible_fallback_in_this_split
