split_name	fold_id	train_n	test_n	exact_peptide_overlap_rate	exact_peptide_hla_overlap_rate	mutant_wt_hla_overlap_rate	levenshtein_le1_overlap_rate	levenshtein_le2_overlap_rate	max_kmer_jaccard_rate	near_kmer_jaccard_ge_0_5_rate	source_protein_overlap_rate	hla_allele_overlap_rate	hla_supertype_overlap_rate	study_source_overlap_rate	high_risk_n
exact_peptide_hla_holdout	pmhc_00	71	18	0.0	0.0	0.0	0.0	0.1111111111111111	0.058201058201058205	0.05555555555555555	0.0	0.8888888888888888	0.8888888888888888	1.0	0
exact_peptide_hla_holdout	pmhc_01	71	18	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.0	0.0	0.9444444444444444	0.9444444444444444	1.0	0
exact_peptide_hla_holdout	pmhc_02	71	18	0.0	0.0	0.0	0.05555555555555555	0.1111111111111111	0.05772005772005771	0.05555555555555555	0.0	1.0	1.0	1.0	0
exact_peptide_hla_holdout	pmhc_03	72	17	0.0	0.0	0.0	0.0	0.058823529411764705	0.0249554367201426	0.0	0.0	0.8235294117647058	0.8235294117647058	1.0	0
exact_peptide_hla_holdout	pmhc_04	71	18	0.0	0.0	0.0	0.05555555555555555	0.16666666666666666	0.09235209235209235	0.1111111111111111	0.0	1.0	1.0	1.0	0
hla_stratified_group_5fold	hla_00	70	19	0.0	0.0	0.0	0.0	0.0	0.004784688995215311	0.0	0.0	0.0	0.0	1.0	0
hla_stratified_group_5fold	hla_01	56	33	0.0	0.0	0.0	0.0	0.0	0.0027548209366391185	0.0	0.0	0.0	0.0	1.0	0
hla_stratified_group_5fold	hla_02	73	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0
hla_stratified_group_5fold	hla_03	79	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0
hla_stratified_group_5fold	hla_04	78	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0
hla_supertype_heldout	super_00	84	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0
hla_supertype_heldout	super_01	56	33	0.0	0.0	0.0	0.0	0.0	0.0027548209366391185	0.0	0.0	0.0	0.0	1.0	0
hla_supertype_heldout	super_02	74	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0
hla_supertype_heldout	super_09	70	19	0.0	0.0	0.0	0.0	0.0	0.004784688995215311	0.0	0.0	0.0	0.0	1.0	0
near_peptide_cluster_holdout	near_00	71	18	0.0	0.0	0.0	0.0	0.05555555555555555	0.023569023569023566	0.0	0.0	0.9444444444444444	0.9444444444444444	1.0	0
near_peptide_cluster_holdout	near_01	70	19	0.0	0.0	0.0	0.0	0.0	0.004784688995215311	0.0	0.0	0.9473684210526315	0.9473684210526315	1.0	0
near_peptide_cluster_holdout	near_02	72	17	0.0	0.0	0.0	0.0	0.058823529411764705	0.010695187165775402	0.0	0.0	0.9411764705882353	0.9411764705882353	1.0	0
near_peptide_cluster_holdout	near_03	72	17	0.0	0.0	0.0	0.0	0.11764705882352941	0.030303030303030304	0.0	0.0	0.9411764705882353	0.9411764705882353	1.0	0
near_peptide_cluster_holdout	near_04	71	18	0.0	0.0	0.0	0.0	0.0	0.005050505050505051	0.0	0.0	1.0	1.0	1.0	0
repeated_stratified_5x5_internal	rs_00	71	18	0.0	0.0	0.0	0.05555555555555555	0.16666666666666666	0.09235209235209235	0.1111111111111111	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_01	71	18	0.0	0.0	0.0	0.0	0.05555555555555555	0.023569023569023566	0.0	0.0	0.8888888888888888	0.8888888888888888	1.0	0
repeated_stratified_5x5_internal	rs_02	71	18	0.0	0.0	0.0	0.0	0.0	0.005050505050505051	0.0	0.0	1.0	1.0	1.0	0
repeated_stratified_5x5_internal	rs_03	71	18	0.0	0.0	0.0	0.0	0.1111111111111111	0.023569023569023566	0.0	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_04	72	17	0.0	0.0	0.0	0.058823529411764705	0.11764705882352941	0.09243697478991597	0.11764705882352941	0.0	1.0	1.0	1.0	0
repeated_stratified_5x5_internal	rs_05	71	18	0.0	0.0	0.0	0.0	0.05555555555555555	0.018518518518518517	0.0	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_06	71	18	0.0	0.0	0.0	0.05555555555555555	0.1111111111111111	0.07623857623857623	0.05555555555555555	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_07	71	18	0.0	0.0	0.0	0.0	0.05555555555555555	0.005050505050505051	0.0	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_08	71	18	0.0	0.0	0.0	0.05555555555555555	0.1111111111111111	0.05772005772005771	0.05555555555555555	0.0	1.0	1.0	1.0	0
repeated_stratified_5x5_internal	rs_09	72	17	0.0	0.0	0.0	0.0	0.0	0.010695187165775402	0.0	0.0	0.9411764705882353	0.9411764705882353	1.0	0
repeated_stratified_5x5_internal	rs_10	71	18	0.0	0.0	0.0	0.0	0.05555555555555555	0.04978354978354979	0.05555555555555555	0.0	1.0	1.0	1.0	0
repeated_stratified_5x5_internal	rs_11	71	18	0.0	0.0	0.0	0.0	0.0	0.005050505050505051	0.0	0.0	1.0	1.0	1.0	0
repeated_stratified_5x5_internal	rs_12	71	18	0.0	0.0	0.0	0.0	0.1111111111111111	0.018518518518518517	0.0	0.0	0.8888888888888888	0.8888888888888888	1.0	0
repeated_stratified_5x5_internal	rs_13	71	18	0.0	0.0	0.0	0.0	0.16666666666666666	0.06325156325156325	0.05555555555555555	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_14	72	17	0.0	0.0	0.0	0.0	0.0	0.005347593582887701	0.0	0.0	0.9411764705882353	0.9411764705882353	1.0	0
repeated_stratified_5x5_internal	rs_15	71	18	0.0	0.0	0.0	0.05555555555555555	0.16666666666666666	0.0974025974025974	0.1111111111111111	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_16	71	18	0.0	0.0	0.0	0.0	0.1111111111111111	0.0683020683020683	0.05555555555555555	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_17	71	18	0.0	0.0	0.0	0.0	0.05555555555555555	0.023569023569023566	0.0	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_18	71	18	0.0	0.0	0.0	0.05555555555555555	0.1111111111111111	0.05266955266955267	0.05555555555555555	0.0	1.0	1.0	1.0	0
repeated_stratified_5x5_internal	rs_19	72	17	0.0	0.0	0.0	0.0	0.0	0.005347593582887701	0.0	0.0	0.9411764705882353	0.9411764705882353	1.0	0
repeated_stratified_5x5_internal	rs_20	71	18	0.0	0.0	0.0	0.0	0.05555555555555555	0.005050505050505051	0.0	0.0	0.8333333333333334	0.8333333333333334	1.0	0
repeated_stratified_5x5_internal	rs_21	71	18	0.0	0.0	0.0	0.05555555555555555	0.1111111111111111	0.07118807118807119	0.05555555555555555	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_22	71	18	0.0	0.0	0.0	0.0	0.0	0.005050505050505051	0.0	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_23	71	18	0.0	0.0	0.0	0.0	0.05555555555555555	0.023569023569023566	0.0	0.0	0.9444444444444444	0.9444444444444444	1.0	0
repeated_stratified_5x5_internal	rs_24	72	17	0.0	0.0	0.0	0.058823529411764705	0.11764705882352941	0.06111535523300229	0.058823529411764705	0.0	1.0	1.0	1.0	0
study_heldout	study_00	80	9	0.0	0.0	0.0	0.0	0.0	0.020202020202020204	0.0	0.0	0.6666666666666666	0.6666666666666666	0.0	0
study_heldout	study_01	9	80	0.0	0.0	0.0	0.0	0.0	0.0011363636363636363	0.0	0.0	0.425	0.425	0.0	0
source_heldout_CEDAR	CEDAR	1487	909	0.0044004400440044	0.0044004400440044	0.0044004400440044	0.005500550055005501	0.006600660066006601	0.041972547060215276	0.006600660066006601	0.0	0.6622662266226622	0.7755775577557755	0.0	4
source_heldout_NEPdb	NEPdb	1824	572	0.01048951048951049	0.01048951048951049	0.01048951048951049	0.04020979020979021	0.043706293706293704	0.06948335227207092	0.015734265734265736	0.0	0.9632867132867133	0.9912587412587412	0.0	6
source_heldout_TESLA_mmc4	TESLA_mmc4	1791	605	0.008264462809917356	0.008264462809917356	0.008264462809917356	0.01487603305785124	0.021487603305785124	0.06779248552679457	0.019834710743801654	0.0	1.0	1.0	0.0	5
source_heldout_TESLA_mmc7_validation	TESLA_mmc7_validation	2086	310	0.016129032258064516	0.016129032258064516	0.016129032258064516	0.02258064516129032	0.025806451612903226	0.07300721093602847	0.025806451612903226	0.0	1.0	1.0	0.0	5
