split_name	train_n	test_n	exact_peptide_overlap_rate	exact_peptide_hla_overlap_rate	mutant_wt_hla_overlap_rate	levenshtein_le1_overlap_rate	levenshtein_le2_overlap_rate	max_kmer_jaccard_rate	near_kmer_jaccard_ge_0_5_rate	source_protein_overlap_rate	hla_allele_overlap_rate	hla_supertype_overlap_rate	study_source_overlap_rate	high_risk_n
exact_peptide_hla_holdout	71.2	17.8	0.0	0.0	0.0	0.02222222222222222	0.0895424836601307	0.04866593101887219	0.04444444444444444	0.0	0.9313725490196078	0.9313725490196078	1.0	0.0
hla_stratified_group_5fold	71.2	17.8	0.0	0.0	0.0	0.0	0.0	0.0015079019863708859	0.0	0.0	0.0	0.0	1.0	0.0
hla_supertype_heldout	71.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0018848774829636073	0.0	0.0	0.0	0.0	1.0	0.0
near_peptide_cluster_holdout	71.2	17.8	0.0	0.0	0.0	0.0	0.046405228758169936	0.014880487016709926	0.0	0.0	0.9548331613347093	0.9548331613347093	1.0	0.0
repeated_stratified_5x5_internal	71.2	17.8	0.0	0.0	0.0	0.018039215686274507	0.07607843137254902	0.03841665959313018	0.031503267973856205	0.0	0.9507189542483659	0.9507189542483659	1.0	0.0
source_heldout_CEDAR	1487.0	909.0	0.0044004400440044	0.0044004400440044	0.0044004400440044	0.005500550055005501	0.006600660066006601	0.041972547060215276	0.006600660066006601	0.0	0.6622662266226622	0.7755775577557755	0.0	4.0
source_heldout_NEPdb	1824.0	572.0	0.01048951048951049	0.01048951048951049	0.01048951048951049	0.04020979020979021	0.043706293706293704	0.06948335227207092	0.015734265734265736	0.0	0.9632867132867133	0.9912587412587412	0.0	6.0
source_heldout_TESLA_mmc4	1791.0	605.0	0.008264462809917356	0.008264462809917356	0.008264462809917356	0.01487603305785124	0.021487603305785124	0.06779248552679457	0.019834710743801654	0.0	1.0	1.0	0.0	5.0
source_heldout_TESLA_mmc7_validation	2086.0	310.0	0.016129032258064516	0.016129032258064516	0.016129032258064516	0.02258064516129032	0.025806451612903226	0.07300721093602847	0.025806451612903226	0.0	1.0	1.0	0.0	5.0
study_heldout	44.5	44.5	0.0	0.0	0.0	0.0	0.0	0.01066919191919192	0.0	0.0	0.5458333333333333	0.5458333333333333	0.0	0.0
