column	missing_n	missing_frac
row_id	0	0.0
source_dataset	0	0.0
study_id	0	0.0
patient_id	2715	1.0
assay_type	2715	1.0
cancer_type	2715	1.0
pathogen_type	2715	1.0
peptide	0	0.0
mutant_peptide	0	0.0
wildtype_peptide	2715	1.0
hla_raw	0	0.0
hla_4digit	0	0.0
hla_gene	0	0.0
hla_supertype	0	0.0
peptide_length	0	0.0
mutation_position	2715	1.0
source_protein	2715	1.0
source_window_15aa	2715	1.0
source_window_30aa	2715	1.0
left_flank	2715	1.0
right_flank	2715	1.0
source_window	2715	1.0
label_raw	0	0.0
label_binary	0	0.0
label_strength	2715	1.0
expression	2715	1.0
TPM	2715	1.0
RNA_evidence	2715	1.0
clonality	2715	1.0
VAF	2715	1.0
train_test_original	0	0.0
public_overlap_flags	0	0.0
strict_set_flag	0	0.0
near_peptide_cluster	0	0.0
exact_peptide_hla_key	0	0.0
peptide_only_key	0	0.0
mutant_wt_hla_key	0	0.0
near_peptide_cluster_key	0	0.0
missing_patient_id	0	0.0
missing_assay_type	0	0.0
missing_wildtype_peptide	0	0.0
missing_source_protein	0	0.0
missing_source_window	0	0.0
missing_expression	0	0.0
missing_TPM	0	0.0
missing_RNA_evidence	0	0.0
missing_clonality	0	0.0
missing_VAF	0	0.0
missing_public_overlap_flags	0	0.0
duplicate_count_exact_peptide_hla_key	0	0.0
duplicate_count_peptide_only_key	0	0.0
duplicate_count_mutant_wt_hla_key	0	0.0
duplicate_count_near_peptide_cluster_key	0	0.0
