TDS signature genes	Stromal score signature genes	Immune score signature genes
DIO1	SPP1	CD3D
DIO2	PFN2	CD3E
DUOX1	ACTA2	CD3G
DUOX2	TNC	NKG7
FOXE1	THBS1	CD19
GLIS3	NOTCH2	CD79A
NKX2-1	GJA1	CD79B
PAX8	SERPINE2	CD247
SLC26A4	TGFBI	MS4A2
SLC5A5	TPM2	CD14
SLC5A8	BASP1	IGHM
TG	TAGLN	ADGRE1
THRA	EFEMP2	CD68
THRB	LRP1	C1QA
TPO	PDLIM4	C1QB
TSHR	NT5E	IGHD
GLIPR1	LY6G	
SLIT2	NCF1	
TIMP3	CD177	
ITGB5	SORL1	
