cell	n	events	event_rate_pct	median_followup_days
BRAF_TERT-	250	3	1.2	957.5
OTHER_TERT-	170	6	3.53	916.5
RAS_TERT-	48	1	2.08	775.0
BRAF_TERT+	25	4	16.0	1344.0
RAS_TERT+	6	0	0.0	721.0
OTHER_TERT+	4	1	25.0	833.5
NTRK_TERT+	1	1	100.0	174.0
