ONCOTREE	n	rai_8_mean	rai_8_std	dm1_count	dm2_count	panel_log2_mean	panel_log2_std
THAP	11	-0.29522276066613107	0.3011334899984892	11	0	1.2364875	0.594055692096709
THFO	5	0.37481735868740174	0.9987702042752423	4	1	2.48689	1.66936803916557
THME	2	0.46907322662217044	0.3075884103525836	1	1	2.96525625	1.4172629603669615
THPA	3	0.14507237354869745	0.6696678125122968	2	1	2.3680916666666665	1.4190020691456313
