chembl_id	name	smiles	max_phase	first_approval	oral	parenteral	withdrawn	molecule_type
CHEMBL2	prazosin	COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC	4.0	1976.0	True	False	False	Small molecule
CHEMBL3	nicotine	CN1CCC[C@H]1c1cccnc1	4.0	1984.0	True	False	False	Small molecule
CHEMBL4	ofloxacin	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	4.0	1990.0	True	True	False	Small molecule
CHEMBL5	nalidixic acid	CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21	4.0	1964.0	True	False	False	Small molecule
CHEMBL6	indomethacin	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	4.0	1965.0	True	True	False	Small molecule
CHEMBL403	sulbactam	CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O	4.0	1986.0	False	True	False	Small molecule
CHEMBL404	tazobactam	C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O	4.0	1993.0	False	True	False	Small molecule
CHEMBL8	ciprofloxacin	O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	4.0	1987.0	True	True	False	Small molecule
CHEMBL9	norfloxacin	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21	4.0	1986.0	True	False	False	Small molecule
CHEMBL405	amphetamine	CC(N)Cc1ccccc1	4.0	1955.0	True	False	False	Small molecule
CHEMBL6622	isosorbide dinitrate	O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]	4.0	1986.0	True	False	False	Small molecule
CHEMBL6437	mianserin	CN1CCN2c3ccccc3Cc3ccccc3C2C1	4.0		False	False	True	Small molecule
CHEMBL11	imipramine	CN(C)CCCN1c2ccccc2CCc2ccccc21	4.0	1959.0	True	True	False	Small molecule
CHEMBL406	indapamide	CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1	4.0	1983.0	True	False	False	Small molecule
CHEMBL407	flumazenil	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2	4.0	1991.0	False	True	False	Small molecule
CHEMBL408	troglitazone	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2	4.0	1997.0	True	False	True	Small molecule
CHEMBL409	bicalutamide	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	4.0	1995.0	True	False	False	Small molecule
CHEMBL12	diazepam	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	4.0	1963.0	True	True	False	Small molecule
CHEMBL13	metoprolol	COCCc1ccc(OCC(O)CNC(C)C)cc1	4.0	1978.0	True	True	False	Small molecule
CHEMBL411	diethylstilbestrol	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1	4.0	1973.0	True	True	False	Small molecule
CHEMBL267936	mecamylamine	CNC1(C)C2CCC(C2)C1(C)C	4.0	1956.0	True	False	False	Small molecule
CHEMBL14	carbachol	C[N+](C)(C)CCOC(N)=O.[Cl-]	4.0	1972.0	False	True	False	Small molecule
CHEMBL16	phenytoin	O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1	4.0	1953.0	True	True	False	Small molecule
CHEMBL413	sirolimus	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	4.0	1999.0	True	True	False	Small molecule
CHEMBL269732	tacrolimus anhydrous	C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC	4.0	1994.0	True	True	False	Small molecule
CHEMBL415	clomipramine	CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21	4.0	1989.0	True	False	False	Small molecule
CHEMBL416	methoxsalen	COc1c2occc2cc2ccc(=O)oc12	4.0	1954.0	True	True	False	Small molecule
CHEMBL17	dichlorphenamide	NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1	4.0	1958.0	True	False	False	Small molecule
CHEMBL18	ethoxzolamide	CCOc1ccc2nc(S(N)(=O)=O)sc2c1	4.0	1982.0	True	False	False	Small molecule
CHEMBL417	epirubicin	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1	4.0	1999.0	False	True	False	Small molecule
CHEMBL19	methazolamide	CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C	4.0	1959.0	True	False	False	Small molecule
CHEMBL20	acetazolamide	CC(=O)Nc1nnc(S(N)(=O)=O)s1	4.0	1953.0	True	True	False	Small molecule
CHEMBL419	mafenide	NCc1ccc(S(N)(=O)=O)cc1	4.0	1969.0	False	False	False	Small molecule
CHEMBL21	sulfanilamide	Nc1ccc(S(N)(=O)=O)cc1	4.0	1985.0	False	False	False	Small molecule
CHEMBL420	guanabenz	N=C(N)N/N=C/c1c(Cl)cccc1Cl	4.0	1982.0	True	False	False	Small molecule
CHEMBL22	trimethoprim	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	4.0	1973.0	True	True	False	Small molecule
CHEMBL6966	verapamil	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	4.0	1981.0	True	True	False	Small molecule
CHEMBL421	sulfasalazine	O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O	4.0	1950.0	True	False	False	Small molecule
CHEMBL6466	coumarin	O=c1ccc2ccccc2o1	4.0		False	False	True	Small molecule
CHEMBL23	diltiazem	COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1	4.0	1982.0	True	True	False	Small molecule
CHEMBL24	atenolol	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	4.0	1981.0	True	True	False	Small molecule
CHEMBL25	aspirin	CC(=O)Oc1ccccc1C(=O)O	4.0	1950.0	True	False	False	Small molecule
CHEMBL422	trifluoperazine	CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	4.0	1959.0	True	True	False	Small molecule
CHEMBL423	betaxolol	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	4.0	1985.0	True	False	False	Small molecule
CHEMBL425	olsalazine	O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O	4.0	1990.0	True	False	False	Small molecule
CHEMBL27	propranolol	CC(C)NCC(O)COc1cccc2ccccc12	4.0	1967.0	True	True	False	Small molecule
