evidence	short	n_groups	n_total	spot_budget_per_group	n_reps	full_sample_centered_rho	full_top_minus_bottom	full_top_decile_lift	sample_centered_rho_median	sample_centered_rho_ci_low	sample_centered_rho_ci_high	sample_centered_rho_positive_fraction	top_minus_bottom_median	top_minus_bottom_ci_low	top_minus_bottom_ci_high	top_minus_bottom_positive_fraction	top_decile_lift_median	top_decile_lift_ci_low	top_decile_lift_ci_high	top_decile_lift_positive_fraction	decile_spearman_median	decile_spearman_ci_low	decile_spearman_ci_high	decile_spearman_positive_fraction
GSE250521 UNI raw DM1/RAI	G250 raw	16	3200	200	1000	0.44041596786431836	1.4792986232530547	3.4375	0.441988560734989	0.4110413918096692	0.4732397623833547	1.0	1.4804643060452585	1.3294030518442583	1.6337803855964093	1.0	3.4999999999999996	3.0625	3.9374999999999996	1.0	0.4061297885505862	0.3757654622966942	0.43647724754739414	1.0
GSE250521 UNI coord+QC residual DM1/RAI	G250 residual	16	3200	200	1000	0.21304098479404143	0.1281238846414285	2.5312499999999996	0.2136967983803984	0.17784081841261234	0.2460808306677908	1.0	0.12863899146925367	0.10074631875689437	0.1568177004563796	1.0	2.5312499999999996	2.125	2.96875	1.0	0.20749730133576133	0.17253087923595023	0.23936111601944124	1.0
GSE230424 H&E raw DM1/low-RAI	G230 raw	4	15489	200	1000	0.6443833509054786	0.6985532550785131	3.3223813924254273	0.6413426652692938	0.6016929435488472	0.6830410644534292	1.0	0.712093324843707	0.6384277267971779	0.7833059706347113	1.0	3.25	2.5	4.124999999999999	1.0	0.6087873831181043	0.5666163517667463	0.6494525117537591	1.0
GSE230424 H&E coord+QC residual DM1/low-RAI	G230 residual	4	15489	200	1000	0.2322668209810756	0.1585514992969712	1.6289970780690566	0.24003823834099744	0.17309656206494076	0.3022892848270076	1.0	0.16072500114205435	0.09854829606936387	0.23068601359470833	1.0	1.4999999999999998	0.8749999999999999	2.25	1.0	0.23021068699795463	0.16278515989053863	0.29389822429066215	1.0
