gene	class	module
ATR	DDR	1
CHEK1	DDR	1
PARP1	DDR	1
IDH2	Metabolism	1
YES1	SFK	1
DNMT3B	Epigenetic	2
HDAC6	Epigenetic	2
DNMT1	Epigenetic	3
DNMT3A	Epigenetic	3
EZH2	Epigenetic	3
TYK2	JAK_STAT	3
CHEK2	DDR	4
HDAC1	Epigenetic	4
HDAC2	Epigenetic	4
KCNN4	Ion_channel	4
JAK1	JAK_STAT	4
JAK2	JAK_STAT	4
STAT3	JAK_STAT	4
IL6R	JAK_STAT_upstream	4
OSMR	JAK_STAT_upstream	4
FOXE1	Lineage_TF_anchor	4
HHEX	Lineage_TF_anchor	4
NKX2-1	Lineage_TF_anchor	4
PAX8	Lineage_TF_anchor	4
GLS	Metabolism	4
LDHA	Metabolism_glycolysis	4
MYC	Metabolism_master	4
NAMPT	NAD_salvage	4
FYN	SFK	4
LYN	SFK	4
SRC	SFK	4
TACSTD2	TROP2_ADC_non_SL	4
KDM1A	Epigenetic	5
HK2	Metabolism_glycolysis	6
PARP2	DDR	7
