g1	g2	r
NAMPT	JAK1	0.5812982863975987
NAMPT	STAT3	0.6340612565734942
NAMPT	IL6R	0.4743869960950283
NAMPT	OSMR	0.7472417882699263
NAMPT	DNMT1	0.4992428666029157
NAMPT	HDAC1	-0.5110916874876731
NAMPT	HDAC2	0.49846210798431867
NAMPT	LYN	0.7748473246839724
NAMPT	KCNN4	0.5396665880674729
NAMPT	CHEK2	0.46602783387254926
NAMPT	GLS	0.693171521409568
NAMPT	LDHA	0.6470759871318413
NAMPT	MYC	0.44324249686918793
NAMPT	TACSTD2	0.5063860923120153
NAMPT	PAX8	-0.6373120770195395
NAMPT	HHEX	-0.5819022519294091
JAK1	JAK2	0.5322790249753774
JAK1	STAT3	0.7000328146788637
JAK1	IL6R	0.6073785902035661
JAK1	OSMR	0.7247327881687871
JAK1	DNMT1	0.5888294584722955
JAK1	HDAC1	-0.40537251736290136
JAK1	LYN	0.6163416845631869
JAK1	YES1	0.4051967146935779
JAK1	GLS	0.5543473735695822
JAK1	MYC	0.4048536682358456
JAK1	TACSTD2	0.40549745498540407
JAK1	NKX2-1	-0.430741731057689
JAK1	PAX8	-0.5451168662988152
JAK2	STAT3	0.4601225563219899
JAK2	IL6R	0.690514944885326
JAK2	OSMR	0.575627914489148
JAK2	YES1	0.4284501030114769
JAK2	PARP1	0.4100754308797325
JAK2	ATR	0.5393960416549113
JAK2	GLS	0.4339102148848081
JAK2	MYC	0.41040790116972664
JAK2	NKX2-1	-0.41495349891512023
TYK2	DNMT1	0.42556970002425853
TYK2	EZH2	0.4656383253471416
TYK2	YES1	-0.43033847628760236
STAT3	IL6R	0.6668042922306362
STAT3	OSMR	0.7996161069634936
STAT3	DNMT1	0.5627588640951708
STAT3	HDAC1	-0.4322557287660685
STAT3	LYN	0.59616427962738
STAT3	KCNN4	0.4269003861219047
STAT3	GLS	0.5779659858722905
STAT3	LDHA	0.45892138087976303
STAT3	MYC	0.4430849450625042
STAT3	TACSTD2	0.4795579364779801
STAT3	PAX8	-0.4132556519847838
IL6R	OSMR	0.6990757777969437
IL6R	DNMT1	0.46321461965180755
IL6R	HDAC1	-0.4072270351122558
IL6R	LYN	0.45824636456739987
IL6R	GLS	0.5065021772779745
IL6R	MYC	0.4992867480417967
OSMR	DNMT1	0.6045249746373028
OSMR	HDAC1	-0.5490006730231745
OSMR	HDAC2	0.41932305202666365
OSMR	LYN	0.7176919414152167
OSMR	KCNN4	0.5308221396042496
OSMR	GLS	0.7585658195288688
OSMR	LDHA	0.6026845441971332
OSMR	MYC	0.45412392998458406
OSMR	TACSTD2	0.5077542206903807
OSMR	PAX8	-0.510006016274824
OSMR	HHEX	-0.4887089722916919
DNMT1	DNMT3A	0.4018654487340815
DNMT1	EZH2	0.5903094685168487
DNMT1	LYN	0.6113317193710425
DNMT1	FYN	0.48564536247250356
DNMT1	SRC	0.4136015074262455
DNMT1	KCNN4	0.5345023535814573
DNMT1	GLS	0.5050223361122009
DNMT1	TACSTD2	0.4729639833321177
DNMT1	PAX8	-0.5038690738620051
DNMT3B	HDAC6	0.44886882852948196
DNMT3B	KCNN4	-0.4204304867902353
DNMT3B	ATR	0.4545172239115992
DNMT3B	TACSTD2	-0.4864772775848114
DNMT3B	PAX8	0.5447614482557451
HDAC1	LYN	-0.4038953814443124
HDAC1	GLS	-0.4580046542569584
HDAC1	LDHA	-0.48251860661219614
HDAC1	NKX2-1	0.5305783470230094
HDAC1	HHEX	0.48542693936431425
HDAC2	LDHA	0.4326439474005969
HDAC6	PAX8	0.4480497874252636
EZH2	LYN	0.46173188428988216
EZH2	KCNN4	0.448800897973189
EZH2	CHEK1	0.4687147963642649
EZH2	CHEK2	0.40926537008510483
EZH2	IDH2	0.40188608573437573
LYN	FYN	0.4902271994527498
LYN	KCNN4	0.7158268441920107
LYN	CHEK2	0.54647415188914
LYN	GLS	0.6014917733935041
LYN	LDHA	0.6470524030810689
LYN	TACSTD2	0.6710940582333792
LYN	PAX8	-0.6671738739526573
LYN	HHEX	-0.47261018984156006
FYN	SRC	0.5072041618819292
FYN	KCNN4	0.6766982446342522
FYN	TACSTD2	0.6602100349575942
FYN	PAX8	-0.460527513503666
SRC	KCNN4	0.5931610876537808
SRC	TACSTD2	0.5222229608215375
YES1	ATR	0.597090163323104
YES1	FOXE1	0.4014602250951473
KCNN4	CHEK2	0.6150565117719385
KCNN4	GLS	0.46477753848915654
KCNN4	LDHA	0.5710097865425359
KCNN4	TACSTD2	0.839429039668979
KCNN4	FOXE1	-0.49831339046106793
KCNN4	PAX8	-0.5956655623131663
KCNN4	HHEX	-0.5007624483690496
ATR	CHEK1	-0.41265492237388607
ATR	FOXE1	0.4067610483526891
CHEK2	LDHA	0.5295355138163992
CHEK2	TACSTD2	0.53387794135063
CHEK2	FOXE1	-0.4005668645216241
CHEK2	PAX8	-0.41151873780044723
GLS	LDHA	0.4941979035760438
GLS	TACSTD2	0.5133315465509579
GLS	PAX8	-0.418463699477195
GLS	HHEX	-0.4260844151385575
LDHA	TACSTD2	0.4708298765599469
LDHA	PAX8	-0.4737207373912503
LDHA	HHEX	-0.5038401428198949
TACSTD2	FOXE1	-0.4627683864096659
TACSTD2	PAX8	-0.5641962884334933
TACSTD2	HHEX	-0.407265902587685
FOXE1	PAX8	0.5561744229822689
FOXE1	HHEX	0.4115435044939002
PAX8	HHEX	0.5328933448193447
