module	n_genes	genes	dominant_classes	mean_intra_corr
1	5	ATR, CHEK1, PARP1, IDH2, YES1	DDR(3), Metabolism(1), SFK(1)	0.03431847291570529
2	2	DNMT3B, HDAC6	Epigenetic(2)	0.44886882852948196
3	4	DNMT1, DNMT3A, EZH2, TYK2	Epigenetic(3), JAK_STAT(1)	0.4280239217780341
4	21	CHEK2, HDAC1, HDAC2, KCNN4, JAK1, JAK2, STAT3, IL6R, OSMR, FOXE1, HHEX, NKX2-1, PAX8, GLS, LDHA, MYC, NAMPT, FYN, LYN, SRC, TACSTD2	Lineage_TF_anchor(4), JAK_STAT(3), SFK(3), Epigenetic(2), JAK_STAT_upstream(2), DDR(1), Ion_channel(1), Metabolism(1), Metabolism_glycolysis(1), Metabolism_master(1), NAD_salvage(1), TROP2_ADC_non_SL(1)	0.13128150778182798
5	1	KDM1A	Epigenetic(1)	
6	1	HK2	Metabolism_glycolysis(1)	
7	1	PARP2	DDR(1)	
