sample	NAMPT	JAK1	JAK2	TYK2	STAT3	IL6R	OSMR	DNMT1	DNMT3A	DNMT3B	HDAC1	HDAC2	HDAC6	KDM1A	EZH2	LYN	FYN	SRC	YES1	KCNN4	PARP1	PARP2	ATR	CHEK1	CHEK2	GLS	LDHA	HK2	IDH2	MYC	TACSTD2	FOXE1	NKX2-1	PAX8	HHEX
NAMPT	1.0	0.5812982863975987	0.37260264338412996	-0.01856115795594491	0.6340612565734942	0.4743869960950283	0.7472417882699263	0.4992428666029157	0.009057936613574657	-0.3885402743175234	-0.5110916874876731	0.49846210798431867	-0.23959963598741557	-0.22145554957404345	0.33087531912351853	0.7748473246839724	0.3344773895082192	0.2299910622520182	0.28592875410866386	0.5396665880674729	0.11651822837481454	0.05779279967626095	0.07562640675503499	0.00476118495744874	0.46602783387254926	0.693171521409568	0.6470759871318413	0.09822872381836731	0.13188765816335923	0.44324249686918793	0.5063860923120153	-0.2650963169764732	-0.34768537546349326	-0.6373120770195395	-0.5819022519294091
JAK1	0.5812982863975987	1.0	0.5322790249753774	0.011835680183407677	0.7000328146788637	0.6073785902035661	0.7247327881687871	0.5888294584722955	0.15862125997699839	-0.3501370680165486	-0.40537251736290136	0.39352215508240285	-0.2518508730241129	-0.12623022709318224	0.15196486431386058	0.6163416845631869	0.27043774307890717	0.14705377704117306	0.4051967146935779	0.33414743658171203	0.3549458690636617	-0.03455660704293904	0.24624615304262168	-0.19816834182984452	0.10963177639178244	0.5543473735695822	0.3700851795827065	0.3261638832817069	-0.049931957194932396	0.4048536682358456	0.40549745498540407	-0.059035599107639405	-0.430741731057689	-0.5451168662988152	-0.32625950880519106
JAK2	0.37260264338412996	0.5322790249753774	1.0	0.09732093930354331	0.4601225563219899	0.690514944885326	0.575627914489148	0.36647795997057114	0.157116164752417	0.1795794856281622	-0.3930629600753962	0.22356548469734727	0.061000540741643905	-0.35253831236397054	0.14308032913719723	0.36793003848412004	-0.12027200051851311	-0.14404063569571818	0.4284501030114769	0.07009980339565541	0.4100754308797325	0.02934282427095737	0.5393960416549113	-0.2294971658053633	0.04561806802453099	0.4339102148848081	0.25621485249867265	-0.0640982401113108	0.02348124527274251	0.41040790116972664	0.019230455261476667	0.14206342759548476	-0.41495349891512023	-0.16526426094652674	-0.22861487539921116
TYK2	-0.01856115795594491	0.011835680183407677	0.09732093930354331	1.0	0.04759786508608983	0.17703863608562004	0.0834679393467962	0.42556970002425853	0.3069164634487745	0.12262156464436615	0.02261074578179217	-0.2206869626989224	0.29895656646774543	-0.02211598646571293	0.4656383253471416	0.1937132941990065	0.19373195674436852	0.3073932677375809	-0.43033847628760236	0.30636125802103664	0.06308421187478523	0.19585241619951457	-0.06363338742479799	0.1525678219267238	0.20851400844027512	0.08219937551765621	-0.012661286862623798	-0.03269970390837929	0.266857369719189	0.13284807339497615	0.17119476350442261	-0.25075813719651424	0.1249104154095976	-0.022567482891264062	-0.09677718573456218
STAT3	0.6340612565734942	0.7000328146788637	0.4601225563219899	0.04759786508608983	1.0	0.6668042922306362	0.7996161069634936	0.5627588640951708	0.1859296576971389	-0.3298337689816441	-0.4322557287660685	0.3573581711853149	-0.004667085987226434	-0.12186366348420555	0.06854935594630447	0.59616427962738	0.2675897908697487	0.25845029587268936	0.30841857162541275	0.4269003861219047	0.21243980134755439	0.08770028181439135	0.2681248942663822	-0.3115157269450084	0.18401570822097135	0.5779659858722905	0.45892138087976303	0.26507805147048175	-0.19396385322607165	0.4430849450625042	0.4795579364779801	-0.040304048693933565	-0.3215975670909913	-0.4132556519847838	-0.39805594413833223
IL6R	0.4743869960950283	0.6073785902035661	0.690514944885326	0.17703863608562004	0.6668042922306362	1.0	0.6990757777969437	0.46321461965180755	0.22644398900975782	-0.09271795111818888	-0.4072270351122558	0.19409790675120164	0.054518213134980106	-0.22637030315565446	0.16180799170048404	0.45824636456739987	0.02450025850550934	0.06349022520619277	0.21746481305831405	0.2664183451690548	0.3803844784802562	0.0109625658603002	0.3488607742944201	-0.21071753476221022	0.09338585630861627	0.5065021772779745	0.35310221533612374	0.06732994273086379	-0.05058009059998031	0.4992867480417967	0.2471410557877865	-0.08020464100847051	-0.351679445050989	-0.3442448522087284	-0.32403533480976776
OSMR	0.7472417882699263	0.7247327881687871	0.575627914489148	0.0834679393467962	0.7996161069634936	0.6990757777969437	1.0	0.6045249746373028	0.23918889932353105	-0.219225264828519	-0.5490006730231745	0.41932305202666365	-0.042054335632175595	-0.23502884526158146	0.22596720016151994	0.7176919414152167	0.30303854936937646	0.27409266140078137	0.352980033486647	0.5308221396042496	0.20864133547944957	0.08190626443220266	0.29206756207879186	-0.16961278493101337	0.29225543323440106	0.7585658195288688	0.6026845441971332	0.20253558519536344	-0.04740775812346901	0.45412392998458406	0.5077542206903807	-0.08590349648997511	-0.32411678523853305	-0.510006016274824	-0.4887089722916919
DNMT1	0.4992428666029157	0.5888294584722955	0.36647795997057114	0.42556970002425853	0.5627588640951708	0.46321461965180755	0.6045249746373028	1.0	0.4018654487340815	-0.16609483208558834	-0.1310715111012429	0.2968917487797514	-0.020630130886955717	-0.024078674388523385	0.5903094685168487	0.6113317193710425	0.48564536247250356	0.4136015074262455	0.06437885446362213	0.5345023535814573	0.34724495923298015	0.18287828768683925	0.15684917222944353	0.09837031160864182	0.2506549884282761	0.5050223361122009	0.29660729512316814	0.26704579321858624	0.1412706941896786	0.33521650838406264	0.4729639833321177	-0.16437522767214346	-0.06487483508376529	-0.5038690738620051	-0.31807395047271086
DNMT3A	0.009057936613574657	0.15862125997699839	0.157116164752417	0.3069164634487745	0.1859296576971389	0.22644398900975782	0.23918889932353105	0.4018654487340815	1.0	0.08030787254889878	-0.05163204878896343	0.026518315845940645	0.24660457659302432	0.3398689967259917	0.37784412459709976	0.2018074039644035	0.22899137575340922	0.2361112866471737	-0.10810478794556672	0.25102100319384246	0.1081865278484539	0.0966438028251831	0.11087053905078924	0.10096043283355116	-0.03272048925999548	0.17030674560236353	-0.04800185451407809	0.008923839103043322	-0.03696670298820493	0.07042757538393521	0.27480247111092065	-0.003912344057121273	0.09224075505624668	-0.03457942814426309	-0.024956504213022278
DNMT3B	-0.3885402743175234	-0.3501370680165486	0.1795794856281622	0.12262156464436615	-0.3298337689816441	-0.09271795111818888	-0.219225264828519	-0.16609483208558834	0.08030787254889878	1.0	0.25552085551275083	-0.2672211845233557	0.44886882852948196	-0.09753280712225097	-0.02410628864738098	-0.39101656224242354	-0.3413012610264145	-0.1831629681351687	0.11505853645017994	-0.4204304867902353	0.004558893174230133	0.12900683853937336	0.4545172239115992	-0.10411819684968647	-0.3127748148757964	-0.18771457365047384	-0.34982612180644224	-0.23271710365226397	-0.08569443980353143	-0.23132095199214586	-0.4864772775848114	0.3880946413183569	0.24263084778429772	0.5447614482557451	0.3538141165606653
