	sub_cluster
TCGA-FY-A2QD-01A	sub_B
TCGA-DJ-A2QB-01A	sub_A
TCGA-BJ-A192-01A	sub_B
TCGA-EM-A2P2-01A	sub_A
TCGA-BJ-A45G-01A	sub_A
TCGA-DJ-A3VG-01A	sub_A
TCGA-DJ-A4UR-01A	sub_A
TCGA-EL-A3CZ-01A	sub_A
TCGA-BJ-A2N7-01A	sub_A
TCGA-EL-A3GW-01A	sub_A
TCGA-ET-A39L-01A	sub_A
TCGA-EM-A2CJ-01A	sub_B
TCGA-BJ-A45F-01A	sub_A
TCGA-EM-A22K-01A	sub_A
TCGA-DJ-A1QL-01A	sub_B
TCGA-CE-A484-01A	sub_A
TCGA-BJ-A2P4-01A	sub_A
TCGA-BJ-A0YZ-01A	sub_B
TCGA-FY-A3NM-01A	sub_B
TCGA-EL-A4K2-01A	sub_A
TCGA-EL-A3GO-01A	sub_B
TCGA-BJ-A0ZE-01A	sub_A
TCGA-BJ-A18Y-01A	sub_A
TCGA-EM-A2CR-01A	sub_A
TCGA-DJ-A3UP-01A	sub_A
TCGA-EM-A3FR-01A	sub_A
TCGA-ET-A4KQ-01A	sub_A
TCGA-EM-A2CP-01A	sub_B
TCGA-ET-A39I-01A	sub_A
TCGA-FK-A3SD-01A	sub_B
TCGA-DJ-A13W-01A	sub_A
TCGA-DJ-A13R-01A	sub_B
TCGA-ET-A3DS-01A	sub_B
TCGA-EL-A3D4-01A	sub_A
TCGA-EL-A4JV-01A	sub_A
TCGA-BJ-A0Z0-01A	sub_A
TCGA-EM-A2CK-01A	sub_A
TCGA-ET-A2N5-01A	sub_A
TCGA-BJ-A0ZJ-01A	sub_A
TCGA-EM-A1YD-01A	sub_B
TCGA-EL-A3H1-01A	sub_A
TCGA-DJ-A3VK-01A	sub_A
TCGA-EM-A4FR-01A	sub_A
TCGA-EL-A3ZR-01A	sub_A
TCGA-BJ-A190-01A	sub_B
TCGA-EM-A3AL-01A	sub_B
TCGA-EM-A1YC-01A	sub_B
TCGA-EM-A4FK-01A	sub_A
TCGA-EM-A1CW-01A	sub_B
TCGA-DJ-A3VM-01A	sub_A
TCGA-EM-A2CL-01A	sub_B
TCGA-BJ-A0ZF-01A	sub_B
TCGA-EM-A4FU-01A	sub_A
TCGA-EM-A3FN-01A	sub_B
TCGA-E3-A3DZ-01A	sub_A
TCGA-EM-A1YA-01A	sub_B
TCGA-BJ-A0ZC-01A	sub_B
TCGA-BJ-A45K-01A	sub_A
TCGA-EM-A3OB-01A	sub_A
TCGA-IM-A41Z-01A	sub_A
TCGA-DJ-A3UT-01A	sub_A
TCGA-EM-A1YB-01A	sub_B
TCGA-ET-A3DV-01A	sub_B
TCGA-DJ-A13M-01A	sub_A
TCGA-BJ-A28V-01A	sub_B
TCGA-EM-A3FP-01A	sub_A
TCGA-EM-A22N-01A	sub_B
TCGA-QD-A8IV-01A	sub_A
TCGA-EM-A22J-01A	sub_A
TCGA-EM-A2CT-01A	sub_A
TCGA-DJ-A3VL-01A	sub_A
TCGA-DJ-A1QG-01A	sub_A
TCGA-EM-A4G1-01A	sub_A
TCGA-EM-A3FL-01A	sub_B
TCGA-EM-A2OY-01A	sub_B
TCGA-EM-A3AJ-01A	sub_B
TCGA-FY-A3R9-01A	sub_A
TCGA-EM-A1YE-01A	sub_B
TCGA-BJ-A45D-01A	sub_A
TCGA-BJ-A0Z2-01A	sub_A
TCGA-FE-A239-01A	sub_B
TCGA-BJ-A28W-01A	sub_B
TCGA-EM-A22L-01A	sub_A
TCGA-BJ-A28T-01A	sub_B
TCGA-DJ-A4V0-01A	sub_A
TCGA-EL-A3H2-01A	sub_B
TCGA-EM-A2CO-01A	sub_B
TCGA-EM-A3AP-01A	sub_A
TCGA-ET-A25P-01A	sub_A
TCGA-EL-A3ZH-01A	sub_A
TCGA-MK-A84Z-01A	sub_A
TCGA-EM-A3OA-01A	sub_B
TCGA-BJ-A191-01A	sub_A
TCGA-EM-A3O9-01A	sub_B
TCGA-EL-A3D5-01A	sub_B
TCGA-EL-A4K6-01A	sub_A
TCGA-H2-A3RH-01A	sub_A
TCGA-FY-A3NP-01A	sub_A
TCGA-DJ-A2PP-01A	sub_A
TCGA-H2-A2K9-01A	sub_A
TCGA-BJ-A0ZA-01A	sub_A
TCGA-KS-A41L-01A	sub_B
TCGA-BJ-A28S-01A	sub_A
TCGA-EM-A3AR-01A	sub_B
TCGA-DJ-A3US-01A	sub_A
TCGA-BJ-A2N8-01A	sub_A
TCGA-DE-A2OL-01A	sub_A
TCGA-DE-A4M9-01A	sub_B
TCGA-ET-A39N-01A	sub_B
TCGA-E8-A416-01A	sub_B
TCGA-EL-A3T2-01A	sub_A
TCGA-DJ-A2Q0-01A	sub_B
TCGA-EM-A3O8-01A	sub_A
TCGA-DJ-A2Q2-01A	sub_B
TCGA-BJ-A0ZG-01A	sub_B
TCGA-EM-A2OW-01A	sub_B
TCGA-BJ-A3F0-01A	sub_B
TCGA-BJ-A291-01A	sub_B
TCGA-ET-A25I-01A	sub_A
TCGA-EL-A4KI-01A	sub_A
TCGA-BJ-A2N9-01A	sub_B
TCGA-BJ-A3PT-01A	sub_A
TCGA-EM-A2CM-01A	sub_A
TCGA-EM-A3O6-01A	sub_B
TCGA-EM-A4FH-01A	sub_B
TCGA-EM-A2CN-01A	sub_A
TCGA-FY-A40N-01A	sub_A
TCGA-J8-A3YD-01A	sub_A
TCGA-FY-A3WA-01A	sub_B
TCGA-EM-A2OV-01A	sub_B
TCGA-J8-A3O0-01A	sub_A
TCGA-EM-A3AI-01A	sub_B
TCGA-FY-A4B0-01A	sub_A
TCGA-EM-A2CQ-01A	sub_B
TCGA-KS-A41I-01A	sub_A
TCGA-EM-A22Q-01A	sub_A
TCGA-FY-A3W9-01A	sub_A
TCGA-DJ-A13S-01A	sub_A
TCGA-EM-A3SY-01A	sub_B
TCGA-BJ-A45C-01A	sub_A
