gene	log2FC_B_vs_A	cohen_d_B_vs_A	p_value	padj
LRRK2-DT	-4.248286879483764	-3.319796708039444	4.49387881657277e-44	2.323829674837945e-39
LINC02555	-4.69768478275308	-2.9200886192726547	1.0844440799668538e-38	2.8038843909582986e-34
LINC02471	-3.597281281856688	-2.903779283438764	4.570935724852026e-38	7.878921908927437e-34
AC063926.3	-3.6845643947788584	-2.85329710128814	9.217450930573687e-38	1.1916090126772399e-33
LRRK2	-4.965487373321435	-2.9765819848706143	5.033185974743673e-37	5.205421598799402e-33
ZCCHC12	-6.138886065408756	-2.73433279260634	4.135367146595246e-36	3.5640661752931125e-32
TENM1	-4.702659827670042	-3.0108757237293844	1.0320376453772018e-35	7.623956954300068e-32
PAFAH1B2P2	-3.090855426838437	-2.5483858823628927	4.936537306496328e-33	3.1909160082028955e-29
SLIT1	-4.593854683540947	-2.6775671507760976	1.4141598635722653e-32	8.125291189465046e-29
CC2D2B	-2.2154151930428956	-2.443786405396881	5.73156596639456e-31	2.9638500768822913e-27
FRMD3	-3.437740820476191	-2.933510192251667	8.290911046091442e-31	3.897557282767587e-27
TMEM215	-4.455365141170773	-2.3106049442155374	2.7910001981811107e-30	1.202711760401195e-26
NTRK3	-2.6155405497516435	-2.2711265656092197	1.1076973262753601e-29	4.406164341463473e-26
LRP4	-3.117050289933621	-2.325469103669949	2.438079458414366e-29	9.005394776718948e-26
PRR15	-3.810340754149847	-2.1970883162544186	2.0912592887533914e-28	7.107021489580661e-25
STK32A-AS1	-1.3312461957538702	-2.3532683406807995	2.1989971927305714e-28	7.107021489580661e-25
PIWIL1	-3.7635891648860476	-2.4317332987134015	2.1595709972387097e-27	6.569033872835936e-24
PCSK2	-6.447969486281023	-2.7642705375429024	6.038625643198679e-27	1.7347965035302604e-23
ECM1	-4.266414975172323	-2.081782838520828	8.182136126498733e-27	2.2268760065125054e-23
LIPH	-3.301844512065732	-2.2920376569474987	1.058601737958309e-26	2.6386476260296812e-23
SERGEF	-1.8468354943882375	-2.111752487729933	1.071563113198803e-26	2.6386476260296812e-23
ADAMTS9	-2.215191412020915	-2.220812947643001	1.7044494390231308e-26	4.0063084064238694e-23
AC099661.1	-0.8304036084980349	-2.0455294061053952	5.420641865399748e-26	1.2187252673986363e-22
GOLT1A	-2.100174440990944	-2.2523781270682797	8.922053678788187e-26	1.9223679907658994e-22
GALE	-1.9448872645271007	-1.955928595856266	1.319838420282144e-24	2.730006582048398e-21
LINC02454	-1.1572962214379683	-1.921598472890138	3.2651625926033218e-24	6.494031647158091e-21
AC078864.1	-1.1700099199558809	-1.9213856944437124	3.617574494807484e-24	6.928459062999622e-21
AL713852.1	-0.9688275447994041	-1.928328319968808	6.5963623671024064e-24	1.2182303370186877e-20
LINC01878	-1.0964409415085512	-1.878698853193316	1.5509357102732025e-23	2.7655322935840546e-20
LINC02785	-0.9368043029214304	-1.8699952101680268	1.869915107618867e-23	3.223172671002641e-20
HDAC9	-2.040379628307122	-2.049226801506774	2.1855759526668527e-23	3.645752196398568e-20
GALNT7	-1.551412326000591	-2.0366081651214554	2.3841458747598936e-23	3.852705229053402e-20
TPH1	-1.1011485782898272	-1.8637297817814764	3.049687008839741e-23	4.7788595428518736e-20
DUSP4	-1.9096612589930766	-2.135118600864235	4.285701191222128e-23	6.518173361743749e-20
VAMP1	-1.5510362115269327	-1.9900617277678008	5.0831946787611595e-23	7.510202286669095e-20
STK32A	-2.3408310185103254	-2.3440767222219856	1.207995469108586e-22	1.7351848250853915e-19
HMGA2	-3.2037082242844273	-2.0840133553109137	1.4572237043312198e-22	2.0017783725169145e-19
GLT1D1	-2.5298964265404305	-2.6408760320091607	1.4710134817667952e-22	2.0017783725169145e-19
AC084262.2	-0.4127641830164303	-1.794959178043515	4.008535703403245e-22	5.249146269934126e-19
ENTPD1	-2.0456519177264303	-2.2806483416085785	4.060371116345942e-22	5.249146269934126e-19
AL158212.5	-0.8299438514383308	-1.8334214706926966	4.615447340052314e-22	5.821204814669395e-19
DPYSL3	-2.6932899835373183	-2.1744348739568524	6.1963432185839895e-22	7.546515603567915e-19
RIMBP2	-2.106285860337695	-2.205347375927942	6.275263888793881e-22	7.546515603567915e-19
KLHDC8A	-3.342333451924141	-2.05964342138038	9.334064722323915e-22	1.0969859564911182e-18
CITED1	-1.596918104228872	-1.7613010821957904	1.217569028398031e-21	1.3991491561664573e-18
AL008707.1	-0.9201288503109848	-1.7843113063925098	1.4394918896791833e-21	1.6182079371130488e-18
RAB27A	-1.7932682160955595	-2.0710712540758425	1.6092498100667627e-21	1.77055142400771e-18
TAFA2	-2.6672262293091022	-1.7805614848287215	1.683661529132818e-21	1.813829611103899e-18
AC025419.1	-1.3335649614714498	-1.747825853736447	2.1729713035346365e-21	2.2931942668791755e-18
GABRG3	-2.094907996629607	-1.7641911007498479	2.331836218179219e-21	2.4116316535653118e-18
ADAMTS9-AS2	-1.3487013997569763	-1.839341315023309	5.622605881583817e-21	5.700991622403544e-18
GANC	-0.8742481875807098	-1.7481381293990332	5.992121576793513e-21	5.95881920879941e-18
MAPK4	2.2974873239380917	2.0647988707131564	1.3361199187047806e-20	1.3036244738894887e-17
LRRC37A7P	-1.0063672223011952	-1.6695706720446024	2.8757677505114155e-20	2.7538671508647374e-17
IKBKE	-0.9566126856441373	-1.9742595503796276	3.7979864303501644e-20	3.570866841815225e-17
AL365259.1	-1.1146068990924738	-1.6621157355254106	3.888430763930171e-20	3.5906186291713045e-17
IGFBP6	-2.50059056637598	-1.758249184132859	4.0223962086937934e-20	3.649160181539732e-17
RXRG	-3.7122201007376194	-1.892412299729123	5.559403392401418e-20	4.9565915314563746e-17
MRC2	-2.530275532049606	-1.805802670084049	5.794647567973761e-20	5.0787630574151046e-17
OR7E47P	-0.5953403847368094	-1.622923498664694	1.6797851802735415e-19	1.4477228576187517e-16
AL603840.1	-2.954666952648915	-1.7812107784421705	1.7710865875542218e-19	1.5013878447379732e-16
DLG2	1.9756985292071714	1.7873228070234997	2.5639454632766205e-19	2.1384545782499567e-16
PHEX	-3.411591837273568	-1.6277747020232496	3.9412354892040816e-19	3.235003625114798e-16
CACNB1	-1.661698211223464	-1.909229518325441	4.0378758327056567e-19	3.2625405810162845e-16
ALK	-1.2165017609270843	-1.5887468802619633	5.756374311632364e-19	4.579505723520325e-16
PLD3	-1.2091864708713755	-1.7763916328726261	6.298097848645712e-19	4.934559664413914e-16
RPSAP52	-0.7566264655190211	-1.603846559296861	6.828351549861879e-19	5.270162492461308e-16
ST6GAL2-IT1	-0.6553323150219145	-1.7147442429352828	8.404021904885869e-19	6.390887892993429e-16
RHOBTB2	-0.851541649498512	-1.8111265691029332	9.294075430224477e-19	6.9653033995991e-16
PDK4	-2.205925037436658	-1.628832274441648	1.0921314651835473e-18	8.067887170872344e-16
TESC	-2.5360036978769123	-1.8765294614876993	1.873168693051717e-18	1.364273609667568e-15
LRP4-AS1	-0.775128265681614	-1.5771904434154127	2.1215723693587287e-18	1.5090707095313259e-15
ADAMTSL4	-1.5353813844469684	-1.703269825220018	2.1303429018156057e-18	1.5090707095313259e-15
AATK	-1.6268086513860975	-1.9113267794649795	2.5041279293011635e-18	1.7466006084656568e-15
NAB2	-1.6059325788176633	-1.8334113639298937	2.533214318712155e-18	1.7466006084656568e-15
TMEM41A	-0.7761246033477347	-2.041012253870782	2.6213458238278783e-18	1.7835843933679396e-15
PLAG1	-2.3579442929123204	-1.773575453905427	4.040815736606328e-18	2.713696396826621e-15
AC079760.2	-0.7482101884033778	-1.532302976982635	4.362293074301206e-18	2.892032527758842e-15
HS6ST2	-2.718413784628099	-1.5676885200108397	4.775501103733479e-18	3.1258979439893912e-15
AC138207.8	-0.8255645018157058	-1.7124923996489954	5.841847876160302e-18	3.776097444051567e-15
ABHD17C	-0.9719108399703473	-1.726439435476186	7.118631550709009e-18	4.5445871125767105e-15
HEY2	-1.4366277392492135	-1.6869092724521029	7.364447112249705e-18	4.64418200757981e-15
AC093865.1	-0.3312499270728547	-1.5341610545241167	8.207824156957883e-18	5.113672228680109e-15
COL13A1	-2.058817699693741	-1.7141655844083346	8.387427408597388e-18	5.121062238058377e-15
CLDN1	-3.5364335808693865	-2.218573203036587	8.417750386474097e-18	5.121062238058377e-15
NCMAP	-1.7052533054166772	-1.9735466248249471	9.29642562801798e-18	5.589854251749276e-15
AL359220.1	-0.9216012317865807	-1.7323133297060809	1.065889542749763e-17	6.3354269132336776e-15
SSBP2	-1.3822570346337404	-1.5951070758348698	1.1198925156914521e-17	6.580768395331896e-15
IPCEF1	2.3621652623622893	1.7049223435421093	1.1427621901554326e-17	6.639705125295234e-15
CDH16	2.989844785247046	1.690146088514466	1.4629866114362448e-17	8.40583340710885e-15
EFHD2	-1.2642254078857542	-1.5532366737810377	1.7937973635138394e-17	1.0193302798314741e-14
PLA2G12B	-1.4770453395930325	-1.5442413964458725	1.854691047734834e-17	1.042477486624087e-14
TMEM71	-1.224786923935803	-1.5625898269196652	1.9624298057734525e-17	1.0911742761973226e-14
CAMK2N1	-2.010287265697054	-1.7423247799214894	2.2204382297867362e-17	1.2215008648989565e-14
CAPN3	-1.3444631976611026	-1.5107770866605197	2.467471726762759e-17	1.3431097943434635e-14
ETV5	-1.7663122731537086	-2.158382837602858	2.5302921839998772e-17	1.3578993322777274e-14
LINC02688	-1.7182568152695228	-1.6623396634217793	2.5471608599899353e-17	1.3578993322777274e-14
PBX3	-2.08167120500993	-1.7007584244817806	2.5893456669632842e-17	1.366302589636106e-14
RPS6KA2	-0.9879948935589651	-1.7871951390472467	2.7146363930931134e-17	1.4179450759923028e-14
AC105285.1	-0.8754089416307913	-1.552286398963228	2.989411762347784e-17	1.5387385080328035e-14
DIRAS3	-2.470515561317179	-1.916020474914732	3.0054067666707883e-17	1.5387385080328035e-14
SORD	1.4506600977948292	1.6729236159284635	3.621365228155351e-17	1.8359256599327583e-14
AL391807.1	-1.3124176019473472	-1.47379695805131	4.02666326271478e-17	2.0215804269732426e-14
FAM124A	1.3257484255719656	1.6342042039767144	4.4022716195013075e-17	2.1889025741926165e-14
AC080038.1	-0.9431637618757516	-1.4718838440909487	5.1959207373969873e-17	2.5589167357289104e-14
TREM1	-1.7210980710975028	-1.4792395406189982	6.416701760833853e-17	3.130321365608296e-14
VSTM4	-2.5160623382072407	-2.0215785093033416	6.735150228211772e-17	3.254965920103354e-14
AL356215.1	-1.1364632165145983	-1.491845974474648	8.721997923355384e-17	4.151994873382175e-14
RNF146	-0.9263314931120199	-1.480157353542904	8.751860168990293e-17	4.151994873382175e-14
SRL	-1.9838756926623744	-1.6778943357496137	1.0287323109905143e-16	4.836070593966408e-14
GOLGA8A	-2.2127648117300387	-1.6838800567459764	1.1385322895427795e-16	5.271219017274805e-14
SLC26A8	-1.0257944044490308	-1.4589194439597528	1.1416846124321288e-16	5.271219017274805e-14
AC084375.1	-0.9597141368134715	-1.5312366095356993	1.2596948608995535e-16	5.764608933803258e-14
SMIM10L2A	-1.8744175846128375	-1.589182299276272	1.2956385111202638e-16	5.877084477942101e-14
IKZF2	-1.4898814276871812	-1.8182195402524912	1.3105295070028207e-16	5.892938377097639e-14
HES6	-2.058546692783419	-1.8045684685666172	1.5192830298291601e-16	6.772727996163423e-14
AL359511.3	-0.2856270622794731	-1.429155187908664	1.715669199908381e-16	7.58281794841558e-14
IGF2BP2	-3.400208779536726	-2.297665524200773	1.737390878742178e-16	7.613747434799726e-14
LPAR5	-2.260791505309211	-1.5745310481660557	1.9395081119077617e-16	8.428059157551452e-14
C10orf67	-0.6699605386177184	-1.5721834153268974	2.0049182518352417e-16	8.639693976721015e-14
AC012588.1	-0.5056647421203444	-1.4242539919089947	2.0847975155704385e-16	8.909666473360574e-14
PSD3	-1.7551871218931172	-1.7827504823442661	2.275357961616602e-16	9.644347176488206e-14
GPR158	-1.025582888593496	-1.4205475207610887	2.358892558386933e-16	9.917129519247698e-14
C11orf49	-0.6436363515112014	-1.549957403134718	3.0064919435773106e-16	1.2537798781800507e-13
B4GALT6	-1.1425981264856468	-1.5617059804973534	3.152844170084251e-16	1.3042937990338137e-13
DLG4	-1.508602737951017	-2.075843769051761	3.248310578938974e-16	1.3331221297421688e-13
AQP4-AS1	-1.2032336176796037	-1.551250632739403	3.302770167392523e-16	1.3447995915435808e-13
LINC01789	-2.5130604536463883	-1.6063258173881252	3.5440122193905696e-16	1.431753249038326e-13
GJB3	-1.4568836237371645	-1.4584662999084779	4.319452979938635e-16	1.731497930586099e-13
AZIN2	-1.0259779588094817	-1.4719963623517398	4.726984457753331e-16	1.8802853330375576e-13
POU2F3	-1.5083308596106204	-1.6784006459209646	4.877369144064365e-16	1.925294929837499e-13
RTL5	-1.0555885824734874	-1.6864261353319183	4.975644538120278e-16	1.9492087478086185e-13
ATP11A	-1.6324883119588982	-1.5286211567991759	5.206305588506836e-16	2.0242350999043385e-13
AMIGO2	-1.5064363680826962	-1.4448390320762812	5.899205515607952e-16	2.276521018041812e-13
TEAD4	0.9446396260232368	1.6632024529454223	6.150428826751764e-16	2.355887593038226e-13
PIP5KL1	-1.2351430814297335	-1.4525645337668822	6.47863603641177e-16	2.463358441756537e-13
DAPK2	-2.201063328748317	-1.7587596885943022	6.526675079193767e-16	2.4635101826291157e-13
ADGRB3	-1.0462065381495367	-1.4040026781831108	6.73364181107135e-16	2.5232126934225405e-13
HIP1	-1.073544427580389	-1.6755008485954406	6.864436474578969e-16	2.553718521848583e-13
FSCN1P1	-1.263704254196562	-1.4334206740827264	6.995014386941185e-16	2.583708492593683e-13
LZTS2	-0.8591063572538031	-1.6292205505049286	7.288157287718422e-16	2.6728929184766474e-13
H2AX	-1.0926759551998835	-1.581911210115843	9.539371420039654e-16	3.473876306349793e-13
HAP1	1.5312592744804494	1.828819251188695	1.0896918695275808e-15	3.930089561788938e-13
AC068888.1	-0.8746715301244925	-1.5294471514809014	1.0944149153905495e-15	3.930089561788938e-13
AC126773.4	-0.5688069210100394	-1.4605126738298249	1.205452280841064e-15	4.2989753720394664e-13
RYR2	2.1272493954247325	1.738219166050524	1.2310009946095469e-15	4.360020029606457e-13
ARHGAP36	-4.223597176074452	-1.3803156342999234	1.263574599153101e-15	4.44494599298e-13
IGSF1	-3.8085410227807337	-1.6465219428769746	1.2814289303808567e-15	4.477295366143546e-13
DGUOK-AS1	-0.7724591458348085	-1.483110095540381	1.4112699673542526e-15	4.897864515560788e-13
CA11	-1.4681544715806636	-1.8484122955726183	1.4427258002373462e-15	4.973652923738227e-13
UCHL5	0.6083497978066763	1.4430591500659986	1.4717185454473932e-15	5.04000249692915e-13
AC007255.1	-1.2365084139613791	-1.3704694225700675	1.5562756359567724e-15	5.26488158707361e-13
TMEM154	-1.6281817506509253	-1.5442823080759833	1.5577476413572785e-15	5.26488158707361e-13
ERFE	-3.105914227476015	-1.8446341455526523	1.7200947137466803e-15	5.775832320945103e-13
METTL7B	-2.263572397314572	-1.8175337076931632	1.7332579629129526e-15	5.782484033560754e-13
MIR181A2HG	-1.1005236720129157	-1.582775119920227	1.7694824840338582e-15	5.865494149479156e-13
TMEM87A	-0.9129556392691809	-1.5515321966938957	1.9471985656335677e-15	6.413476753342511e-13
ANKRD6	-0.7967937039378423	-1.6057312290325936	1.973239558439885e-15	6.458113342182588e-13
HNRNPLP2	-1.0583031233328242	-1.524891396087039	1.995601508487176e-15	6.490223245621406e-13
ALDH1B1	1.1748153870421172	1.6902379420840705	2.0171889183230763e-15	6.519428509712787e-13
TMEM171	1.60031405752025	1.616068054104882	2.1281507914949016e-15	6.83532953906788e-13
TMEM108	-1.7543732013126165	-1.5546391836001479	2.201041605125636e-15	7.02580632362048e-13
AP3B2	-1.240792817945703	-1.602618814418886	2.235562615219109e-15	7.092219533472108e-13
NRP2	-1.3080478966011162	-1.5587508629138849	2.4239303075120166e-15	7.6429183007167e-13
ALOX15P1	-0.7923910664189093	-1.4262056409439485	3.0479183567418798e-15	9.55217613002905e-13
STX1B	-0.8653446442250615	-1.4059229676477965	3.1299339224434935e-15	9.750121268884066e-13
LINC01366	-0.5121063496063505	-1.383397060610674	3.3536728676419273e-15	1.0384537584349203e-12
PAICS	0.5800019708897564	1.4823447480724674	3.561837620113392e-15	1.0963463403195455e-12
SLC66A1L	1.3662988204994762	1.731782384375302	3.8930380200942486e-15	1.1912005269650515e-12
ICA1L	-0.9340517188164932	-1.5985250020967523	3.9290309845630055e-15	1.1951418896631623e-12
PCNPP3	-0.23085575663636293	-1.3399937764791299	4.034255614947332e-15	1.2199730532429326e-12
AC087564.1	-0.9180877066260392	-1.372829288141014	4.208218140346084e-15	1.2651812107874206e-12
FAM171B	-1.5184596766832588	-1.4549163821391398	4.93691879464017e-15	1.4756821259516637e-12
ESYT3	-1.5122415523974246	-1.8213281944104234	5.3192162467830406e-15	1.580816042168953e-12
DUOX2	-1.8375957161487086	-1.6769010859337221	5.6848552775792185e-15	1.6798260071937083e-12
PRR29-AS1	-0.7254161833324757	-1.3314630414274018	6.1262749179954034e-15	1.7999761493435245e-12
FAM47E	-0.8648763049035222	-1.5923672274704956	6.163211730649949e-15	1.8005979762917486e-12
TNS3	1.0735978091896605	1.5205903096664213	7.143487535964989e-15	2.075063818183271e-12
AC022497.1	-1.0189367471964663	-1.5208242593075023	7.182928650670176e-15	2.075063818183271e-12
PROS1	-1.4495340912264822	-1.5297495024934677	7.385418173624461e-15	2.121707550979414e-12
SPATA6L	-0.8343651228963072	-1.6654647843499095	8.005847338992245e-15	2.2872396229095466e-12
LINC00457	-0.844302527110582	-1.341416487723406	8.198365214691727e-15	2.3293717781149663e-12
SCG5	-2.521654335622262	-1.5861218655478837	8.350894686843354e-15	2.3597437986412932e-12
ERICD	-0.6300458377048423	-1.5846205359208976	8.606590252965719e-15	2.418779285712556e-12
DOCK9-DT	-0.9681662566595886	-1.4915260275432904	8.673597162386219e-15	2.424434501968399e-12
MATN2	1.3111995612770855	1.4482700505205155	9.311616314432711e-15	2.5887795227722042e-12
ST3GAL5	-1.4175424455473822	-1.7322065410281637	9.456807512856764e-15	2.613045397565251e-12
SV2A	-2.1105682748777994	-1.6675147459194886	9.499961995363989e-15	2.613045397565251e-12
IGFBPL1	1.7866166393062368	1.5486547793990537	9.66460024171449e-15	2.6191020185759724e-12
AC090023.2	-0.3784541670683319	-1.3169499690024842	9.698498195462358e-15	2.6191020185759724e-12
KCNC1	-0.46593930234763603	-1.3571297094216173	9.72114502298445e-15	2.6191020185759724e-12
UBE2QL1	-1.6927130843049918	-1.700411445819101	9.724576735444812e-15	2.6191020185759724e-12
XPNPEP3	0.6810107913211283	1.4395969315369472	1.0175764153057523e-14	2.7264193788536665e-12
RAP1GAP	1.3914787574637009	1.5349694989423057	1.0584010019816047e-14	2.8211842378077713e-12
TMC6	-1.3332952428830716	-1.4518744540026307	1.0676497960497436e-14	2.8312430053091433e-12
FRMD4B	-1.4116281024173523	-1.5841279856969082	1.1001303773388204e-14	2.902491935845293e-12
AC064805.2	-0.5982969064829686	-1.316463616255327	1.1713378880471916e-14	3.0746727679598136e-12
POU5F1B	-0.5796763278305644	-1.368191296999282	1.1795294574234087e-14	3.080537766304136e-12
C8A	-1.05814278638535	-1.308189044672393	1.2816278538900524e-14	3.3303647212315827e-12
DUSP6	-1.4238111035832564	-1.5851918760622912	1.3089452487919993e-14	3.3843433880141538e-12
GOLGA8B	-2.1707891838548843	-1.5733560060190042	1.3181190272368748e-14	3.3911071152958224e-12
SFTA3	-1.3090542920099226	-1.5237739706252509	1.479274722133724e-14	3.786870057240445e-12
CD44	-1.5065278573789973	-1.7139694046582503	1.4950644859473245e-14	3.808437420336064e-12
CDH3	-2.315446050047048	-1.5861837587250465	1.5856828437878432e-14	4.019472820348685e-12
TFCP2L1	1.8358033189856835	1.4243552389171381	1.6479556492465824e-14	4.156948028204391e-12
AC063926.1	-0.6336092035579044	-1.3015869336899715	1.6806119141792034e-14	4.218743820102951e-12
AL133410.1	-0.9550111388352998	-1.5154212245727414	1.7005065587909596e-14	4.248062544040547e-12
ALDH7A1	0.751491586672639	1.4871140356085804	1.7735476033293495e-14	4.409226928642499e-12
TIMP1	-1.8667857716131353	-1.435712402124695	1.9118396651826937e-14	4.730293824223076e-12
LINC01755	-1.2628239506860288	-1.391363024259743	2.248154801779962e-14	5.5359206168973144e-12
SUSD2	-2.092149572494899	-1.545841426414221	2.2755371925349435e-14	5.556353635686633e-12
AC064807.1	0.6587225918155348	1.5642146182458088	2.2779427409362928e-14	5.556353635686633e-12
NHSL2	-1.0306247508979816	-1.5218793869336997	2.454828031745842e-14	5.959700110310293e-12
LINC02560	-0.8225056346917917	-1.2994670551568197	2.6074067932362453e-14	6.30054264883362e-12
ENPP7P7	-0.2996808189881207	-1.3366874006732796	2.7148096015026805e-14	6.529559037363028e-12
HSPB8	1.6790393992875847	1.4291966476092999	2.965764147232619e-14	7.100121750812313e-12
AGPAT5	-0.7354994635206857	-1.3224958416745416	2.979933213769086e-14	7.101167116000608e-12
AC023424.2	-1.2998483168981427	-1.4901216429591397	3.212631722552124e-14	7.620568761692334e-12
PRR29	-1.1733169352558197	-1.468982680895521	3.2579281027969576e-14	7.692726946289199e-12
NOVA1	-1.7387161008301224	-1.4122553728703742	3.4092880058798046e-14	8.01353145782048e-12
DPP10	-1.37688740182265	-1.36612756694701	3.493481265001008e-14	8.174271931876339e-12
FBXW7	-0.6672288075233981	-1.4351053665388576	3.5999518245268104e-14	8.367363615592843e-12
DPP4	-2.6894592649877556	-1.4766389827484834	3.608365891739096e-14	8.367363615592843e-12
RMST	-1.591358484070959	-1.460464078761098	3.676250599067615e-14	8.48672297894578e-12
CBARP	-0.781820153803697	-1.5286869522720734	3.78533259077626e-14	8.699703715628054e-12
AC015914.1	-0.7189598716905754	-1.3000832092997807	3.835079435115998e-14	8.775035073862095e-12
PLK3	-1.0148443045480393	-1.501530407130715	3.934156690941404e-14	8.962078266311494e-12
PRELID3A	-1.1344086519142302	-1.3661849195539892	3.9843261153348486e-14	9.033630863877702e-12
ETV4	-2.3454012720070003	-1.9397080293283846	4.000505632898211e-14	9.033630863877702e-12
ENTPD2	-0.6855602455625975	-1.30224759803455	4.684827296707632e-14	1.0532917580002101e-11
CORO2A	-1.4409591159402408	-1.5676588048854383	4.768402675730683e-14	1.0674409989814258e-11
NXPH3	-0.9366026801767926	-1.409483945722726	4.913223958423981e-14	1.0951195004916487e-11
ST3GAL6	-1.107058732179897	-1.3855254051406456	4.992059729152386e-14	1.1075152341319417e-11
SEZ6L2	-2.273334477126686	-1.3384908632127066	5.011671883871407e-14	1.1075152341319417e-11
AC009831.1	-0.34460602553944697	-1.3570806450265893	5.855554999062366e-14	1.2861159010826713e-11
AL606923.2	-0.3074032256091	-1.2633116733419707	5.869609032034005e-14	1.2861159010826713e-11
PLA2G2C	-0.7767969331115536	-1.4106643926319478	5.92996015727523e-14	1.2938572560880142e-11
KCNC3	-1.7162079547802733	-1.7275915638655002	6.192546604836808e-14	1.3454738549693957e-11
MIR221	-0.6027719059931446	-1.26101727097373	6.650071145518618e-14	1.4388361046272521e-11
PLP2	-1.171213096372505	-1.5114058697537973	6.750565295350127e-14	1.4544936749493768e-11
NAT8L	-2.482327112139828	-1.5612024707236891	6.992468913624201e-14	1.500363319470627e-11
B3GNT7	-2.085376201102564	-1.5983614920549807	8.286323559051756e-14	1.766920718317827e-11
AC015712.2	-0.8822956531149106	-1.362984488869489	8.303102522697916e-14	1.766920718317827e-11
MTMR11	-0.9964780726701272	-1.4267420645460065	8.819742850828195e-14	1.8691709940949868e-11
ALDH4A1	1.4681508550367672	1.678123096174593	9.702639202343981e-14	2.0478905134384064e-11
VAV3-AS1	-0.46864758289189096	-1.318855243825288	1.0508151537744653e-13	2.208890342147617e-11
NANOS3	-0.6718714415016025	-1.3469925428258929	1.0756557097562956e-13	2.246308454315752e-11
NLRP9P1	-0.05581573109036486	-1.2692998626601308	1.0773036620260806e-13	2.246308454315752e-11
AL353150.1	-0.7439689759850688	-1.3171358445460928	1.2295112839539425e-13	2.5533838556041093e-11
IGDCC4	-1.6465650867247041	-1.6193259200476429	1.2743753452269354e-13	2.6359689390812025e-11
AK1	-1.0387122333458274	-1.3371185717425245	1.2836355660184005e-13	2.6445449702939244e-11
AC010623.1	-0.2713860075297223	-1.2365507842741208	1.52459371279815e-13	3.128502598512109e-11
SSTR3	-0.9439676920926369	-1.236227113583658	1.665233695956893e-13	3.4035928716058056e-11
AC005479.2	-0.5179857497604614	-1.2941316935113691	1.731900981982996e-13	3.525918570052075e-11
AL359511.2	-0.1354773414515087	-1.2326066744672806	1.8630610131612333e-13	3.778068551042374e-11
KLK2	1.7035778051883654	1.6733441120959358	1.8901610813416747e-13	3.818051549892943e-11
ZMAT4	1.789296967392286	1.3959193100343805	1.9392804726658775e-13	3.902028502802537e-11
KCNK17	-1.9153499482419245	-1.3015609426279855	2.11380701097986e-13	4.236708307937191e-11
DAB2IP	-0.7507083626126061	-1.4851075356467978	2.1481454761269657e-13	4.282011952021026e-11
SPATA9	-0.4851756061267315	-1.2737939652756716	2.1529715293176826e-13	4.282011952021026e-11
MBL1P	-0.4169350037577931	-1.2579814420123978	2.2124817509329397e-13	4.3694975558642374e-11
AC026368.1	-0.3802910828508666	-1.2687255941986324	2.2138584820181977e-13	4.3694975558642374e-11
KRT222	-1.160076889308486	-1.3233427012830714	2.286888128827146e-13	4.49647422166466e-11
NTM	-1.9145645880701205	-1.344690476184136	2.694559804802668e-13	5.2682314251954494e-11
AC018659.8	-1.18995121828255	-1.3142012668312484	2.699776310024548e-13	5.2682314251954494e-11
SH3D21	-1.8397214323313111	-1.4503287565024794	2.7249857801011786e-13	5.297433822361355e-11
CNIH3	-0.7575939642208982	-1.611539453650877	2.750674095026404e-13	5.327344873704508e-11
NOD1	-1.3409897239458268	-1.316241766902753	2.9658981150256876e-13	5.7227446800781096e-11
SNX25	-1.131674197237893	-1.2452664761408228	3.0011685011519165e-13	5.769272281154898e-11
AC120036.4	-0.8364531589027818	-1.3945191883467924	3.0475285405141646e-13	5.836694383649184e-11
PCSK5	-1.4435811928124225	-1.4831450171752614	3.09935770133666e-13	5.914054837410332e-11
HTATSF1	0.6065941906778063	1.383004062195662	3.1970763151696144e-13	6.078088725504997e-11
PASK	-1.7698039342688907	-1.2201796273045464	3.280695963266923e-13	6.214214980091423e-11
ALS2CL	-1.0879945661458903	-1.3917489677642603	3.3581278737039685e-13	6.337669725441822e-11
ADAMTS9-AS1	-0.45714887511788793	-1.2174418286310056	3.520089200550129e-13	6.619175732714463e-11
NCDN	-0.4803225864441014	-1.376810243283727	3.645384162840271e-13	6.829944219008452e-11
NRGN	-1.0100580374574775	-1.314336248377591	4.067254012865481e-13	7.592843763873174e-11
ARHGAP19-SLIT1	-0.26264798722909977	-1.2067524158859444	4.1271129380799777e-13	7.676875436728551e-11
RPSAP69	-0.3076371921753651	-1.2111961250559642	4.659410468461852e-13	8.635941746760963e-11
SLC5A2	-0.4207778765320923	-1.2037996412225833	4.972006463658335e-13	9.150721430675171e-11
AL353576.1	-0.26609702903088805	-1.2027280455957297	4.972544955656868e-13	9.150721430675171e-11
EPS8	-1.085086964300051	-1.3603618930758257	5.250101629531205e-13	9.627234232790359e-11
AC012038.2	-0.32662193411318385	-1.196879370533093	5.714855771612299e-13	1.0442434869464437e-10
YAF2	-0.6728637138699867	-1.2694382995348281	6.184444487041408e-13	1.1260697495401347e-10
TNIK	-1.1417861011569714	-1.4977325943304647	6.800780912192623e-13	1.2339480061417287e-10
PRDM1	-1.33563345748456	-1.3320418197710355	7.898335862600634e-13	1.4280798803879068e-10
SSBP4	-0.8074702463302685	-1.3745359163131097	7.926776715092627e-13	1.4282283997008878e-10
