gene	log2FC_B_vs_A	cohen_d_B_vs_A	p_value	padj
GNAL	0.5148756239247012	0.4985369114762851	0.008731333303202924	0.050368805939527715
TMEM74	-0.14790796653301194	-0.4291218772476102	0.008739879537861516	0.0504079185935956
ZNF570	0.17518034791106674	0.455112933711408	0.00874006300613367	0.0504079185935956
CACNA1G-AS1	0.23215775149220008	0.5588646468785282	0.00874283693986809	0.05041829385497031
FAM83H	-0.27508691059450996	-0.49836609040171637	0.008753473745315045	0.05047400544647483
DNAJB8	-0.005777555390607498	-0.3886481018616174	0.008756241059644973	0.050479134023018575
ZNF546	-0.22172993346461478	-0.4548848738497689	0.00875631552641559	0.050479134023018575
LINC01721	0.016620430818483793	0.4878133012720526	0.008763688276459054	0.0505160054022934
AC093591.2	0.0350026619120966	0.4884451387583613	0.008769442646746966	0.05053918489062659
RNU7-73P	-0.002065301925942587	-0.3776651831640039	0.008770623086025327	0.05053918489062659
SERBP1P5	0.05604829984723836	0.473556731686865	0.008770936109113643	0.05053918489062659
AC003989.1	-0.0129837632009565	-0.39076048859339496	0.008771618889469816	0.05053918489062659
ATMIN	0.16332663390323177	0.45178275336703694	0.00877938718204066	0.05057830777300631
WBP1P1	-0.03440690740221239	-0.4538741030037711	0.008786563087421213	0.05061400955927797
CSTF2	0.15330361107659085	0.43868323379363244	0.008790117709856087	0.05062884572225085
RNU7-141P	-0.0021008627302252095	-0.3774994704752454	0.008799052327199497	0.050674662533891655
TTC4	-0.11252286133054668	-0.43785893762300865	0.008802005070769487	0.050686022741042426
AC048382.1	-0.024421881743274317	-0.41952697674072503	0.008804307514623348	0.05069363610830508
ALAD	0.23731068095316932	0.48063843482027235	0.008814144786103392	0.050739441931325534
AC023095.1	-0.009116997487494012	-0.39191277611397596	0.008814225346040441	0.050739441931325534
CENATAC	-0.3008744785856914	-0.45578858409677503	0.008818456814144969	0.05075815007972512
IFITM10	-0.06454610823353742	-0.42056462133477956	0.008820610605774564	0.050764896498075515
PRDX5	-0.25494232590265575	-0.4752124545732037	0.008827463374155223	0.05079868223246614
TTLL10-AS1	-0.03306451256649188	-0.41878627279019076	0.008830680645761858	0.050811541879714185
AL079343.1	-0.0283375589597102	-0.41408302854157303	0.008832389691140386	0.05081572133050295
AL008730.1	-0.04340767260280451	-0.4377624465429407	0.008834370911838472	0.05082146559373448
AC016766.1	0.010662225701604137	0.5158924216415164	0.008835912485204182	0.05082305495360947
ASXL1	-0.19700027989648206	-0.4780238671254845	0.008836612850030026	0.05082305495360947
AL161937.1	0.027007576869888347	0.5339295388764164	0.008841641676334078	0.05084086125728841
AC009120.2	-0.33632612609120827	-0.45880991393219067	0.008841675181040681	0.05084086125728841
FAM155B	-0.6235994903993722	-0.5153944140198727	0.008848698683124302	0.05087559012708926
AC016396.1	0.022826218930076546	0.5346865994386211	0.008850163313307072	0.050877032496235985
AC091167.6	-0.014271472668177784	-0.4467649612005214	0.008850917296825413	0.050877032496235985
AC087855.2	0.010344628355160309	0.541914907077566	0.008866712461427718	0.05096216161974978
AC018638.1	-0.140649774846329	-0.4428658140354065	0.008872074849313015	0.050987315240367335
HS1BP3-IT1	0.11109151877615268	0.5563875597380304	0.008875453418445532	0.0510010636427644
FAAP20	-0.2585410206970158	-0.46212014722051437	0.008876522707043148	0.051001540633767585
AC142384.1	0.024042423175567873	0.5572164796971416	0.00888336782349103	0.05103310441460829
UBA52P3	0.02511092819933308	0.49934792184642324	0.008883989981634543	0.05103310441460829
FLRT2	-0.5219661665632485	-0.48296529376241576	0.008885473291687405	0.05103595572436381
AC004554.1	0.20533546399820776	0.5566454205157367	0.008895052037703658	0.051085299413782086
AL035588.1	-0.007509519621464703	-0.40324144035225395	0.008897354601569457	0.05109284883972884
IGF2R	-0.2855116193089309	-0.46506910942849194	0.008903844988425362	0.05112444239356695
RNU6-1025P	-0.0017252705868134	-0.3768772069558442	0.008906556149567407	0.05113276403549275
