angle	n_A	n_B	median_A	median_B	cohens_d	mw_p	hashi_pct_A	hashi_pct_B	odds_ratio	p	test	young_pct_A	young_pct_B
immune:T_cell_total	124	22	0.613	0.162	0.02	0.9934358135651824							
immune:CD8_cytotoxic	124	22	0.523	0.124	0.031	0.7317526731256883							
immune:Treg	124	22	0.346	0.722	-0.15	0.5264168453411845							
immune:Macrophage_M1	124	22	0.059	0.124	-0.179	1.0							
immune:Macrophage_M2	124	22	0.155	0.37	0.003	0.7317526731256883							
immune:NK_cell	124	22	0.554	-0.065	-0.143	0.5777330240653628							
immune:B_cell	124	22	0.164	0.342	-0.013	0.9061298681219982							
immune:Checkpoint_exhaustion	124	22	0.441	0.349	-0.215	0.20418696879067222							
immune:IFN_gamma_response	124	22	0.225	-0.04	-0.237	0.21615969702834947							
Hashimoto-like × sub	124	22					45.2	45.5	1.012	1.0	Fisher exact		
Age × sub	123	21	39.4	41.5	-0.388	0.046393458182002065							
Young-onset (<45) × sub	123	21							3.094	0.0258		80.5	57.1
