cancer	classifier	auc_pre	auc_flip_pre	auc_post	auc_flip_post	dial	batch_identifiability_post	interpretation	n_samples	n_genes	semi_synthetic	seconds
THCA	LogReg_l2	1.0	1.0	0.18638178984467704	0.813618210155323	0.313618210155323	0.028149095659774387	batch_entangled	351	1200	False	8.25
THCA	RandomForest	1.0	1.0	0.998295343853497	0.998295343853497	0.0	0.028149095659774387	true_biology	351	1200	False	10.63
THCA	XGBoost	0.9965517241379309	0.9965517241379309	0.994632768361582	0.994632768361582	0.0	0.028149095659774387	true_biology	351	1200	False	17.91
THCA	LogReg_elasticnet	1.0	1.0	0.23522705134335758	0.7647729486566424	0.26477294865664236	0.028149095659774387	ambiguous	351	1200	False	25.53
THCA	GradientBoosting	1.0	1.0	0.99097550608363	0.99097550608363	0.0	0.028149095659774387	true_biology	351	1200	False	30.68
SKCM	LogReg_l2	1.0	1.0	0.16844444444444445	0.8315555555555556	0.3315555555555556	0.009636183063110003	batch_entangled	300	1200	True	2.36
SKCM	RandomForest	1.0	1.0	0.7	0.7	0.0	0.009636183063110003	ambiguous	300	1200	True	4.65
SKCM	LogReg_elasticnet	1.0	1.0	0.28622222222222227	0.7137777777777777	0.21377777777777773	0.009636183063110003	ambiguous	300	1200	True	11.99
SKCM	XGBoost	0.9966666666666667	0.9966666666666667	0.6764444444444445	0.6764444444444445	0.0	0.009636183063110003	ambiguous	300	1200	True	17.82
SKCM	GradientBoosting	1.0	1.0	0.7037777777777778	0.7037777777777778	0.0	0.009636183063110003	true_biology	300	1200	True	21.72
LGG	LogReg_l2	1.0	1.0	1.0	1.0	0.0	0.0074000149547534715	true_biology	300	1200	True	2.58
LGG	RandomForest	1.0	1.0	1.0	1.0	0.0	0.0074000149547534715	true_biology	300	1200	True	5.31
LGG	XGBoost	1.0	1.0	0.9966666666666667	0.9966666666666667	0.0	0.0074000149547534715	true_biology	300	1200	True	7.96
LGG	LogReg_elasticnet	1.0	1.0	1.0	1.0	0.0	0.0074000149547534715	true_biology	300	1200	True	10.14
LGG	GradientBoosting	0.9997777777777778	0.9997777777777778	0.9966666666666667	0.9966666666666667	0.0	0.0074000149547534715	true_biology	300	1200	True	16.81
LUAD	LogReg_l2	1.0	1.0	0.16866666666666666	0.8313333333333334	0.33133333333333337	0.008833439014098441	batch_entangled	300	1200	True	2.69
LUAD	RandomForest	1.0	1.0	0.6737777777777778	0.6737777777777778	0.0	0.008833439014098441	ambiguous	300	1200	True	5.21
LUAD	LogReg_elasticnet	1.0	1.0	0.26711111111111113	0.7328888888888889	0.23288888888888892	0.008833439014098441	ambiguous	300	1200	True	12.46
LUAD	XGBoost	0.9966666666666667	0.9966666666666667	0.6559999999999999	0.6559999999999999	0.0	0.008833439014098441	ambiguous	300	1200	True	17.28
LUAD	GradientBoosting	1.0	1.0	0.6799999999999999	0.6799999999999999	0.0	0.008833439014098441	ambiguous	300	1200	True	21.77
COAD	LogReg_l2	1.0	1.0	0.17288888888888893	0.8271111111111111	0.32711111111111113	0.0036938145521753264	batch_entangled	300	1200	True	2.41
COAD	RandomForest	1.0	1.0	0.6975555555555555	0.6975555555555555	0.0	0.0036938145521753264	ambiguous	300	1200	True	4.75
COAD	LogReg_elasticnet	1.0	1.0	0.29888888888888887	0.7011111111111111	0.20111111111111113	0.0036938145521753264	ambiguous	300	1200	True	12.22
COAD	XGBoost	1.0	1.0	0.7175555555555555	0.7175555555555555	0.0	0.0036938145521753264	true_biology	300	1200	True	18.02
COAD	GradientBoosting	0.9961111111111111	0.9961111111111111	0.7200000000000001	0.7200000000000001	0.0	0.0036938145521753264	true_biology	300	1200	True	23.56
