study	hr	ci_lo	ci_hi	se_log_hr	p	n_target	n_ref	events_target	events_ref	log_hr
TCGA-THCA	2.301954232853905	0.7699399414059029	6.882346278176061	0.5587863872094071	0.13567609338847308	25	170	4	6	0.8337584286311156
MSK-IMPACT	2.6706962628270436	1.1696100456862015	6.098287676807431	0.42126733886672496	0.019707713312140385	26	26	18	7	0.9823392110112934
