ligand_receptor,cluster_pair,mean,pval
"('CCL21', 'CCR7')","('Myeloid cell', 'Myeloid cell')",3.024372100830078,0.0
"('TG', 'TPO')","('Malignant cell', 'Endothelial cell')",3.0192960014490806,0.0
"('CCL19', 'CCR7')","('Myeloid cell', 'Myeloid cell')",2.839852213859558,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Fibroblast')",2.519521024119988,0.0
"('CXCL14', 'CCR7')","('Fibroblast', 'Myeloid cell')",2.373388889130582,0.0
"('VWF', 'LRP1')","('Endothelial cell', 'Fibroblast')",2.3634794778591686,0.0
"('CCL5', 'CXCL12')","('Myeloid cell', 'Endothelial cell')",2.3486573696136475,0.0
"('CXCL12', 'CCR7')","('Endothelial cell', 'Myeloid cell')",2.3486573696136475,0.0
"('TG', 'TPO')","('Malignant cell', 'Malignant cell')",2.347217498601279,0.0
"('CCL18', 'CCR7')","('Myeloid cell', 'Myeloid cell')",2.3425440788269043,0.0
"('DCN', 'LRP1')","('T cell', 'Fibroblast')",2.3374556449022186,0.0
"('DCN', 'LRP1')","('Fibroblast', 'Fibroblast')",2.3091085693809426,0.0
"('CCL21', 'ACKR4')","('Myeloid cell', 'Myeloid cell')",2.2888319194316864,0.0
"('CXCL14', 'CCR7')","('T cell', 'Myeloid cell')",2.269600534439087,0.0
"('VWF', 'LRP1')","('Endothelial cell', 'T cell')",2.255561677614848,0.0
"('DCN', 'LRP1')","('T cell', 'T cell')",2.229537844657898,0.0
"('VWF', 'LRP1')","('Endothelial cell', 'Endothelial cell')",2.220506032307943,0.0
"('DCN', 'LRP1')","('Fibroblast', 'T cell')",2.2011907691366215,0.0
"('DCN', 'LRP1')","('T cell', 'Endothelial cell')",2.194482199350993,0.0
"('DCN', 'LRP1')","('Fibroblast', 'Endothelial cell')",2.1661351238297164,0.0
"('CXCL14', 'CCR7')","('Endothelial cell', 'Myeloid cell')",2.1545738577842712,0.0
"('CCL5', 'CCR7')","('Myeloid cell', 'Myeloid cell')",2.123342275619507,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Endothelial cell')",2.115183671315511,0.0
"('CCL19', 'ACKR4')","('Myeloid cell', 'Myeloid cell')",2.1043120324611664,0.0
"('IL6', 'DCN')","('Endothelial cell', 'T cell')",2.0610241214434306,0.0
"('VWF', 'LRP1')","('T cell', 'Fibroblast')",2.035506644543637,0.0
"('IL6', 'DCN')","('Endothelial cell', 'Fibroblast')",2.032677045922154,0.0
"('DCN', 'LRP1')","('Endothelial cell', 'Fibroblast')",2.026425145761797,0.0
"('CCL18', 'ACKR1')","('Myeloid cell', 'Endothelial cell')",2.0232566396395364,0.0
"('CCL21', 'CCR7')","('Myeloid cell', 'Fibroblast')",2.011336195000102,0.0
