cluster_1,,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell
source,target,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,MMP14,0.0,0.0,0.0,0.0,0.0,0.0,0.3335320052136196,0.19930937028613033,0.0,0.0,0.0,0.22192798116315152,0.08770534623566224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155583160646846,0.2813356811371953,0.0,0.0
TNFSF9,TNFRSF9,0.0,0.0,0.0,0.0,0.0,0.0,0.025524466225270475,0.012918614616745046,0.0,0.0,0.0,0.013174040115368095,0.0005681885068426656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,NOTCH3,0.7949111262957255,0.7315781003750219,0.6220185397881831,0.0,0.9997829755147298,0.472372094343664,0.40903906842296045,0.29947950783612165,0.0,0.6772439435626684,0.4076953595805436,0.34436233365984004,0.23480277307300124,0.0,0.612567208799548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRB5,CTSL,1.001269817352295,0.7390004191059298,0.7635657200078924,0.8725085357824961,0.823871127764384,1.0749770618333352,0.8127076635869701,0.8372729644889327,0.9462157802635365,0.8975783722454242,0.8599467110491334,0.5976773128027684,0.622242613704731,0.7311854294793347,0.6825480214612225,1.45827051003774,1.196001111791375,1.2205664126933375,1.3295092284679413,1.280871820449829,0.0,0.0,0.0,0.0,0.0
HLA-DQA2,CTSL,0.0,0.0,0.0,0.0,0.0,0.645219711551952,0.38295031330558693,0.40751561420754945,0.5164584299821532,0.4678210219640411,0.5865388175920595,0.3242694193456944,0.348834720247657,0.45777753602226073,0.40914012800414856,1.2264893849690754,0.9642199867227104,0.988785287624673,1.0977281033992767,1.0490906953811645,0.0,0.0,0.0,0.0,0.0
HLA-DRB1,CTSL,1.1987949013710022,0.9365255031246371,0.9610908040265996,1.0700336198012033,1.0213962117830913,1.3022047346004386,1.0399353363540735,1.0645006372560362,1.17344345303064,1.1248060450125277,1.0785622977967335,0.8162928995503684,0.8408582004523311,0.9498010162269348,0.9011636082088226,1.7700554927190144,1.5077860944726493,1.532351395374612,1.6412942111492157,1.5926568031311035,0.9555220921834309,0.6932526939370658,0.7178179948390284,0.8267608106136322,0.7781234025955199
IL2,IL2RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DQB2,CTSL,0.0,0.0,0.0,0.0,0.0,0.5012484867028083,0.23897908845644317,0.26354438935840574,0.3724872051330095,0.3238497971148973,0.4674265744942653,0.2051571762479002,0.22972247714986277,0.3386652929244665,0.29002788490635434,0.7810231943925221,0.518753796146157,0.5433190970481196,0.6522619128227234,0.6036245048046112,0.0,0.0,0.0,0.0,0.0
HLA-DRA,CTSL,1.3008607228597004,1.0385913246133354,1.063156625515298,1.1720994412899017,1.1234620332717895,1.529536377624626,1.267266979378261,1.2918322802802236,1.4007750960548273,1.352137688036715,1.4294307148490106,1.1671613166026455,1.191726617504608,1.3006694332792117,1.2520320252610997,2.115183671315511,1.852914273069146,1.8774795739711085,1.9864223897457123,1.9377849817276,1.190972359975179,0.9287029617288138,0.9532682626307765,1.0622110784053802,1.013573670387268
IL1RN,IL1R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03731597257565613,0.0,0.0,0.0,0.0,0.08638226652698677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1B,IL1R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01680375602909385,0.0,0.0,0.0,0.0,0.01072361260002843,0.0,0.0,0.0,0.0,0.33398876515768583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAS1,SHH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHH,GAS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1A,IL1R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008260732016273356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLL1,NOTCH3,0.0,0.0,0.0,0.0,0.0,0.3247532098927301,0.2614201839720265,0.15186062338518774,0.0,0.5296250591117344,0.3331924729866569,0.2698594470659533,0.1602998864791145,0.0,0.5380643222056612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLL4,NOTCH4,0.0,0.0,0.0,0.0,0.0,0.0,0.041298384077093575,0.07491394761940888,0.0,0.0,0.0,0.050254153582162245,0.08386971712447755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL13,IL13RA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL22,IL20RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
