cluster_1,,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell
source,target,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,MMP14,,,,,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,0.002,0.046,,
TNFSF9,TNFRSF9,,,,,,,0.014,,,,,,,,,,,,,,,,,,
SHH,PTCH1,,,,,,,,,,,,,,,,,,,,,,,,,
IHH,PTCH1,,,,,,,,,,,,,,,,,,,,,,,,,
JAG1,NOTCH3,0.016,0.004,0.014,,0.0,0.094,0.0,0.014,,0.0,0.18,0.0,1.0,,0.004,,,,,,,,,,
HLA-DRB5,CTSL,0.1,0.312,0.268,0.298,0.222,0.01,0.0,0.0,0.196,0.026,0.102,0.886,1.0,0.4,0.368,0.012,0.04,0.028,0.088,0.042,,,,,
HLA-DQA2,CTSL,,,,,,0.048,0.198,0.012,0.338,0.19,0.086,0.812,0.832,0.396,0.336,0.008,0.024,0.016,0.044,0.018,,,,,
HLA-DRB1,CTSL,0.096,0.328,0.31,0.28,0.27,0.004,0.0,0.0,0.19,0.022,0.104,0.904,1.0,0.4,0.37,0.004,0.018,0.006,0.046,0.012,0.35,0.824,0.778,0.502,0.65
IL2,IL2RA,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DQB2,CTSL,,,,,,0.064,0.372,0.004,0.366,0.258,0.086,0.806,0.77,0.396,0.334,0.012,0.028,0.026,0.102,0.022,,,,,
HLA-DRA,CTSL,0.356,0.812,0.78,0.5,0.652,0.03,0.056,0.002,0.296,0.132,0.092,0.842,0.936,0.396,0.342,0.0,0.0,0.0,0.05,0.012,0.544,0.948,0.944,0.648,0.842
IL1RN,IL1R2,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,
IL1B,IL1R2,,,,,,,,0.082,,,,,,,,,,0.002,,,,,,,
GAS1,SHH,,,,,,,,,,,,,,,,,,,,,,,,,
SHH,GAS1,,,,,,,,,,,,,,,,,,,,,,,,,
IL1A,IL1R2,,,,,,,,,,,,,,,,,,,,,,,,,
DLL1,NOTCH3,,,,,,0.184,0.004,0.954,,0.004,0.17,0.0,1.0,,0.004,,,,,,,,,,
DLL4,NOTCH4,,,,,,,0.98,0.692,,,,0.972,0.014,,,,,,,,,,,,
IL13,IL13RA2,,,,,,,,,,,,,,,,,,,,,,,,,
IL22,IL20RA,,,,,,,,,,,,,,,,,,,,,,,,,
IL20,IL20RA,,,,,,,,,,,,,,,,,,,,,,,,,
IL24,IL20RA,,,,,,,,,,,,,,,,,,,,,,,,,
FGF7,FGFR2,,0.086,0.052,,,,0.0,0.0,,,,1.0,1.0,,,,,,,,,0.028,0.0,,
IL22,IL22RA2,,,,,,,,,,,,,,,,,,,,,,,,,
CCL19,ACKR4,,,,0.004,,,,,0.0,,,,,0.006,,,,,0.0,,,,,0.0,
CCL21,ACKR4,,,,0.0,,,,,0.0,,,,,0.006,,,,,0.0,,,,,0.0,
ADM,CALCRL,0.012,0.322,0.352,0.124,,0.014,0.98,0.998,0.15,,0.004,0.122,0.032,0.116,,,,,,,,,,,
ADM,RAMP2,0.006,0.084,0.388,,0.002,0.006,0.002,1.0,,0.0,0.002,0.0,1.0,,0.0,,,,,,,,,,
CALCA,CALCRL,,,,,,,,,,,0.006,0.168,0.662,0.118,,,,,,,,,,,
CALCA,RAMP2,,,,,,,,,,,0.002,0.0,1.0,,0.0,,,,,,,,,,
CALCB,CALCRL,,,,,,,,,,,0.006,0.182,0.868,0.118,,,,,,,,,,,
CALCB,RAMP2,,,,,,,,,,,0.002,0.0,1.0,,0.0,,,,,,,,,,
ADM,RAMP3,0.094,0.202,0.356,,,0.13,0.314,1.0,,,0.048,0.0,0.554,,,,,,,,,,,,
CALCA,RAMP3,,,,,,,,,,,0.05,0.0,0.996,,,,,,,,,,,,
CALCB,RAMP3,,,,,,,,,,,0.052,0.0,1.0,,,,,,,,,,,,
APELA,APLNR,,,,,,,,,,,,,,,,,,,,,,,,,
CCL17,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL22,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL20,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CCL19,CCR7,,0.042,,0.0,,,0.0,,0.0,,,0.1,,0.0,,,0.0,,0.0,,,0.0,,0.0,
CCL21,CCR7,,0.0,,0.0,,,0.0,,0.0,,,0.304,,0.0,,,0.0,,0.0,,,0.0,,0.0,
SAA1,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
RSPO3,LGR5,,,,,,,0.01,,0.002,,,,,,,,,,,,,0.0,,0.0,
NMU,NMUR2,,,,,,,,,,,,,,,,,,,,,,,,,
SST,SSTR1,,,,,,,,,,,,,,,,,,,,,,,,,
SST,SSTR2,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,HMOX1,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DRA,LGMN,0.656,0.698,0.786,0.244,,0.166,0.0,0.006,0.062,,0.362,0.024,1.0,0.114,,0.006,0.0,0.0,0.008,,0.84,0.884,0.946,0.32,
HLA-DRB5,LGMN,0.238,0.198,0.276,0.088,,0.056,0.0,0.0,0.034,,0.376,0.048,1.0,0.114,,0.034,0.028,0.028,0.01,,,,,,
HLA-DQA2,LGMN,,,,,,0.226,0.0,0.016,0.09,,0.352,0.022,0.996,0.112,,0.02,0.01,0.016,0.014,,,,,,
HLA-DRB1,LGMN,0.274,0.228,0.316,0.092,,0.064,0.0,0.0,0.03,,0.376,0.054,1.0,0.116,,0.018,0.004,0.006,0.006,,0.626,0.674,0.788,0.246,
HLA-DQB2,LGMN,,,,,,0.268,0.0,0.012,0.09,,0.352,0.022,0.998,0.112,,0.04,0.024,0.026,0.026,,,,,,
LAMA3,ITGA6,,,,,,0.01,0.18,0.0,0.116,,,,,,,,,,,,,,,,
VEGFD,KDR,,,,,,,,,,,,,,,,,,,,,,,,,
CTSG,C3,,,,,,0.372,0.0,1.0,0.184,0.0,,,,,,,,,,,,,,,
