gene	n	n_high	n_low	mean_eff_high	mean_eff_low	spearman_r	spearman_p	t_stat	t_p	cohens_d	spearman_fdr	t_fdr
ZNF287	11	5	6	-0.047005012906456964	0.03915362654622495	-0.9272727272727272	3.973774256558601e-05	-2.4646968537557714	0.035883635446767086	-1.4781515805155014	0.2962181142022304	0.9133283402779913
CEACAM7	11	5	6	-0.039620761387203274	0.05184030876000053	-0.9	0.00015997142806871366	-3.395855108884529	0.011239768713250003	-2.0861905056346552	0.5190650595658177	0.9133283402779913
CISD3	11	5	6	-0.16797723178638693	-0.050496809439919375	-0.8909090909090909	0.00023345817037873402	-3.1641875062095264	0.011594175368703745	-1.8907280791108931	0.5190650595658177	0.9133283402779913
FAM170B	11	5	6	0.03123777633180248	0.09021683978437567	-0.8727272727272727	0.00045461505140964305	-2.859264851076506	0.033837513794480446	-1.7850685277114582	0.5775884228159516	0.9133283402779913
KLRD1	11	5	6	-0.013538050003246139	0.12879113269242093	-0.8545454545454545	0.0008066741521649022	-3.5882325910123027	0.005978569775746146	-2.14206918545349	0.7174156572278557	0.9133283402779913
GPR161	11	5	6	-0.040122850939091736	0.07852914264610883	-0.8363636363636363	0.0013331850799508645	-3.0965947325149554	0.012938910834920625	-1.849850644160841	0.8616952855254533	0.9133283402779913
C4orf36	11	5	6	0.014812914965921558	0.10118970696234253	-0.8363636363636363	0.0013331850799508645	-3.0927855469366667	0.019015019218353166	-1.9085154410332932	0.8616952855254533	0.9133283402779913
DEFB113	11	5	6	0.007980226416238143	0.12535885730955273	-0.8272727272727273	0.0016769738964523809	-4.109953143675444	0.008679335848502136	-2.567071895552458	0.8616952855254533	0.9133283402779913
ZNF480	11	5	6	0.028612457355473398	0.11476990269328143	-0.8272727272727273	0.0016769738964523809	-2.2618772788337465	0.05167109866832963	-1.3427018740918504	0.8616952855254533	0.9133283402779913
INSYN2A	11	5	6	0.0017302443824043778	0.12296817947465959	-0.8272727272727273	0.0016769738964523809	-2.801713591794054	0.024411622571653788	-1.6493922117920432	0.8616952855254533	0.9133283402779913
EXOC6B	11	5	6	-0.19200023110387038	-0.03216567169226305	-0.8272727272727273	0.0016769738964523809	-4.086694268783518	0.0060332435345206575	-2.529346585212683	0.8616952855254533	0.9133283402779913
SLC12A4	11	5	6	-0.09647936404459975	-0.007108148323174833	-0.8181818181818182	0.0020831448404786917	-1.6708168582810268	0.13487435657011934	-0.9844080206689325	0.8616952855254533	0.9133283402779913
NR1H3	11	5	6	-0.0874302102419105	0.11273396133000736	-0.8181818181818182	0.0020831448404786917	-4.670167418388117	0.0040248621313547965	-2.9040885268590224	0.8616952855254533	0.9133283402779913
USP51	11	5	6	-0.04945020598011037	0.03347799179944208	-0.8181818181818182	0.0020831448404786917	-2.180122605801111	0.06772819205142128	-1.3444376758066114	0.8616952855254533	0.9133283402779913
