zone	n	most_silenced_gene	most_silenced_z	most_preserved_gene	most_preserved_z	panel_mean_z
BRAF-like	165	TPO	-0.602	NKX2-1	-0.093	-0.3095
RAS-like	43	NKX2-1	0.154	SLC5A5	0.939	0.49425
dark-matter	161	TG	-0.762	NKX2-1	-0.291	-0.54025
WT-like	153	NKX2-1	0.363	TPO	1.05	0.763125
