histology	BRAF-like zone (silenced, no HT)	RAS-like zone (preserved + HT)	dark-matter zone (silenced + HT)	wild-type-like (preserved, no HT)
ATC	61.0	0.0	38.3	0.6
PTC	15.7	9.0	3.0	72.2
