query,nct_id,title,status,start_date,phase,enrollment,study_type,intervention_types,intervention_names,conditions,lead_sponsor,sponsor_class,primary_outcome,min_age,sex,matched_drugs,drug_classes,mechanism_flags
RET fusion thyroid,NCT06195228,A Retrospective and Prospective Real-world Study of Molecular Typing in the Treatment of Advanced Thyroid Cancer,RECRUITING,2020-01-01,PHASE4,800,INTERVENTIONAL,DRUG,dabrafenib plus trametinib with or without PD-1 antibody; entrectinib or larotrectinib with or without anti-PD-1 antibdoy; pralsetinib or selpercatinib with or without anti-PD-1 antibdoy; anlotinib or anlotinib plus anti-PD-1 antibody; lenvatinib plus anti-PD-1 antibody; Other Targets: precise treatment based on the target,Advanced Thyroid Cancer Patients Who Received Target Therapy,Fudan University,OTHER,Objective Response Rate(ORR),,ALL,"dabrafenib,lenvatinib,pralsetinib,selpercatinib,trametinib","BRAF_inhibitor,MEK_inhibitor,RET_inhibitor,multi_TKI","RET-fusion_targeted,BRAF_mut_specific,RAI-refractory_broad"
RET fusion thyroid,NCT06458036,Selpercatinib Pre-RAI in Patients With RET Fusion Thyroid Cancer (RAISE),RECRUITING,2024-07-29,PHASE2,13,INTERVENTIONAL,"DRUG,RADIATION",Selpercatinib Monotherapy; 131I Therapy,"Differentiated Thyroid Cancer,Pediatric Cancer,Cancer,Cancer, Thyroid",Children's Hospital of Philadelphia,OTHER,"Number of patients with complete overall, pulmonary, structural, and biochemical response.; Number of patients who survive without progression of disease after 5 years following protocol treatment.; Proportion of all patients enrolled who show increased radioactive iodine avidity at 6 months following selpercatinib monotherapy.; The incidence of adverse events and dose limiting toxicity with the combination of selpercatinib and 131I therapy, graded according to CTCAE v5.",2 Years,ALL,selpercatinib,RET_inhibitor,"RET-fusion_targeted,RAI_context"
RET fusion thyroid,NCT05668962,Restor. I-131 Upt. + Selpercatinib in RET F-P RAI-R TC,RECRUITING,2023-03-01,PHASE2,30,INTERVENTIONAL,DRUG,Selpercatinib; Sodium Iodine I-131; rhTSH,"Thyroid Cancer,Thyroid Carcinoma,Metastatic Thyroid Cancer,Follicular Thyroid Cancer,Unresectable Thyroid Gland Carcinoma,Papillary Thyroid Cancer",Massachusetts General Hospital,OTHER,Objective Response Rate,12 Years,ALL,"i-131,selpercatinib","RAI,RET_inhibitor","RET-fusion_targeted,RAI_context"
RET fusion thyroid,NCT04280081,"A Study of Selpercatinib (LY3527723) in Participants With Advanced Solid Tumors Including RET Fusion-positive Solid Tumors, Medullary Thyroid Cancer and Other Tumors With RET Activation",ACTIVE_NOT_RECRUITING,2020-03-16,PHASE2,77,INTERVENTIONAL,DRUG,Selpercatinib,"Solid Tumor,Medullary Thyroid Cancer",Eli Lilly and Company,INDUSTRY,Primary Analysis Set: Overall Response Rate (ORR): Percentage of Participants With Complete Response (CR) or Partial Response (PR) as Assessed by Independent Review Committee (IRC); Enrolled Population: Overall Response Rate (ORR): Percentage of Participants With Complete Response (CR) or Partial Response (PR) as Assessed by IRC,18 Years,ALL,selpercatinib,RET_inhibitor,RET-fusion_targeted
RET fusion thyroid,NCT03899792,A Study of Oral LOXO-292 (Selpercatinib) in Pediatric Participants With Advanced Solid or Primary Central Nervous System (CNS) Tumors,ACTIVE_NOT_RECRUITING,2019-06-13,"PHASE1,PHASE2",36,INTERVENTIONAL,DRUG,Selpercatinib,"Medullary Thyroid Cancer,Infantile Myofibromatosis,Infantile Fibrosarcoma,Papillary Thyroid Cancer,Soft Tissue Sarcoma",Eli Lilly and Company,INDUSTRY,Phase 1: Number of Participants With Dose Limiting Toxicities (DLTs); Phase 2: Percentage of Participants With Overall Response Rate (ORR) in Study,6 Months,ALL,selpercatinib,RET_inhibitor,RET-fusion_targeted
BRAF V600E thyroid,NCT06195228,A Retrospective and Prospective Real-world Study of Molecular Typing in the Treatment of Advanced Thyroid Cancer,RECRUITING,2020-01-01,PHASE4,800,INTERVENTIONAL,DRUG,dabrafenib plus trametinib with or without PD-1 antibody; entrectinib or larotrectinib with or without anti-PD-1 antibdoy; pralsetinib or selpercatinib with or without anti-PD-1 antibdoy; anlotinib or anlotinib plus anti-PD-1 antibody; lenvatinib plus anti-PD-1 antibody; Other Targets: precise treatment based on the target,Advanced Thyroid Cancer Patients Who Received Target Therapy,Fudan University,OTHER,Objective Response Rate(ORR),,ALL,"dabrafenib,lenvatinib,pralsetinib,selpercatinib,trametinib","BRAF_inhibitor,MEK_inhibitor,RET_inhibitor,multi_TKI","RET-fusion_targeted,BRAF_mut_specific,RAI-refractory_broad"
anaplastic thyroid carcinoma,NCT06195228,A Retrospective and Prospective Real-world Study of Molecular Typing in the Treatment of Advanced Thyroid Cancer,RECRUITING,2020-01-01,PHASE4,800,INTERVENTIONAL,DRUG,dabrafenib plus trametinib with or without PD-1 antibody; entrectinib or larotrectinib with or without anti-PD-1 antibdoy; pralsetinib or selpercatinib with or without anti-PD-1 antibdoy; anlotinib or anlotinib plus anti-PD-1 antibody; lenvatinib plus anti-PD-1 antibody; Other Targets: precise treatment based on the target,Advanced Thyroid Cancer Patients Who Received Target Therapy,Fudan University,OTHER,Objective Response Rate(ORR),,ALL,"dabrafenib,lenvatinib,pralsetinib,selpercatinib,trametinib","BRAF_inhibitor,MEK_inhibitor,RET_inhibitor,multi_TKI","RET-fusion_targeted,BRAF_mut_specific,RAI-refractory_broad"
anaplastic thyroid carcinoma,NCT05668962,Restor. I-131 Upt. + Selpercatinib in RET F-P RAI-R TC,RECRUITING,2023-03-01,PHASE2,30,INTERVENTIONAL,DRUG,Selpercatinib; Sodium Iodine I-131; rhTSH,"Thyroid Cancer,Thyroid Carcinoma,Metastatic Thyroid Cancer,Follicular Thyroid Cancer,Unresectable Thyroid Gland Carcinoma,Papillary Thyroid Cancer",Massachusetts General Hospital,OTHER,Objective Response Rate,12 Years,ALL,"i-131,selpercatinib","RAI,RET_inhibitor","RET-fusion_targeted,RAI_context"
anaplastic thyroid carcinoma,NCT04759911,Selpercatinib Before Surgery for the Treatment of RET-Altered Thyroid Cancer,ACTIVE_NOT_RECRUITING,2021-02-26,PHASE2,30,INTERVENTIONAL,"DRUG,OTHER,PROCEDURE",Quality-of-Life Assessment; Questionnaire Administration; Selpercatinib; Therapeutic Conventional Surgery,"Malignant Thyroid Gland Neoplasm,Poorly Differentiated Thyroid Gland Carcinoma,Recurrent Thyroid Gland Carcinoma,Thyroid Gland Anaplastic Carcinoma,Thyroid Gland Medullary Carcinoma,Thyroid Gland Papillary Carcinoma,Thyroid Gland Squamous Cell Carcinoma",M.D. Anderson Cancer Center,OTHER,Objective response rate (ORR); Tumor response,12 Years,ALL,selpercatinib,RET_inhibitor,RET-fusion_targeted
