claim,topical_relevance,n_sources,year,first_author,title,cited_by,doi
8-gene / driver-excluded PTC stratification,0.1111693430732032,1,2020.0,Zhong,Potential five‑mRNA signature model for the prediction of prognosis in patients with papillary thyroid carcinoma,15.0,10.3892/ol.2020.11781
8-gene / driver-excluded PTC stratification,0.07178811571457824,1,2021.0,Pu,Single-cell transcriptomic analysis of the tumor ecosystems underlying initiation and progression of papillary thyroid carcinoma,273.0,10.1038/s41467-021-26343-3
8-gene / driver-excluded PTC stratification,0.11111288408933677,1,2025.0,,Development and validation of a necroptosis-related gene signature for predicting prognosis and immune infiltration in papillary thyroid cancer.,0.0,10.21037/tcr-24-2124
8-gene / driver-excluded PTC stratification,0.1000354752196855,1,2026.0,,Integrative analysis of lysosome-dependent cell death related molecular subtypes and prognosis prediction in papillary thyroid carcinoma.,0.0,10.7150/jca.129191
8-gene / driver-excluded PTC stratification,0.09573670751626365,1,2026.0,,Integrative Single‐Cell and Machine Learning Analysis Identifies an EMT‐Associated Prognostic Signature for Papillary Thyroid Cancer,0.0,
BCR repertoire / TLS in thyroid cancer,0.1102036135161865,1,2023.0,Sato,The roles of tertiary lymphoid structures in chronic diseases,276.0,10.1038/s41581-023-00706-z
BCR repertoire / TLS in thyroid cancer,0.07321615338287209,1,2023.0,Magen,Intratumoral dendritic cell–CD4+ T helper cell niches enable CD8+ T cell differentiation following PD-1 blockade in hepatocellular carcinoma,376.0,10.1038/s41591-023-02345-0
BCR repertoire / TLS in thyroid cancer,0.10157185781154571,1,2026.0,,Unraveling the indolence of papillary thyroid carcinoma: an exploratory study on B-cell subsets based on genetic predisposition and tumor immunity.,0.0,10.3389/fimmu.2026.1769020
BCR repertoire / TLS in thyroid cancer,0.08210151642039742,1,2025.0,,"Tertiary lymphoid structures in cancer: spatiotemporal heterogeneity, immune orchestration, and translational opportunities​​.",0.0,10.1186/s13045-025-01754-7
BCR repertoire / TLS in thyroid cancer,0.06216076259806214,1,2026.0,,TLScope: a deep learning framework for quantifying tertiary lymphoid structures from H&amp;E images reveals prognostic heterogeneity across breast cancer subtypes.,0.0,10.1186/s13058-026-02241-8
BRAF/RAS-negative ('dark matter') PTC subtypes,0.06518887474147336,2,2023.0,Hang,A Shift in Molecular Drivers of Papillary Thyroid Carcinoma Following the 2017 World Health Organization Classification: Characterization of 554 Consecutive Tumors With Emphasis on BRAF-Negative Cases,20.0,10.1016/j.modpat.2023.100242
BRAF/RAS-negative ('dark matter') PTC subtypes,0.1048252725697832,1,2023.0,Shafei Wu,Molecular and cytogenetic features of NTRK fusions enriched in BRAF and RET double-negative papillary thyroid cancer.,0.0,10.1016/j.jmoldx.2023.04.007
BRAF/RAS-negative ('dark matter') PTC subtypes,0.07493506490593548,1,2024.0,Rivera,Multifocal Papillary Thyroid Carcinomas With Discordant Molecular Drivers,6.0,10.1097/pas.0000000000002256
BRAF/RAS-negative ('dark matter') PTC subtypes,0.09105944554499323,1,2026.0,Liangyi Wang,Diagnostic accuracy in BRAF V600E-negative papillary thyroid cancer via 5-gene expression profiling of residual nucleic acids from mutation testing: a retrospective study,0.0,10.1186/s12885-026-15818-5
BRAF/RAS-negative ('dark matter') PTC subtypes,0.07103977611184173,1,2025.0,Vicente R. Marczyk,"Abstract LB414: Characterization of the genomic landscape of BRAF-, RAS-, and fusion-negative thyroid carcinomas underscores the role of tumor suppressor genes",0.0,10.1158/1538-7445.am2025-lb414
HLA-II PTC autoimmunity (DPB1*05:01 etc.),0.11567955057519297,1,2022.0,Gao,"Evaluate the diagnostic and prognostic value of NUSAP1 in papillary thyroid carcinoma and identify the relationship with genes, proteins, and immune factors",12.0,10.1186/s12957-022-02652-9
HLA-II PTC autoimmunity (DPB1*05:01 etc.),0.12757379591349055,1,2007.0,,Expression microarray analysis of papillary thyroid carcinoma and benign thyroid tissue: emphasis on the follicular variant and potential markers of malignancy.,0.0,10.1007/s00428-006-0348-5
HLA-II PTC autoimmunity (DPB1*05:01 etc.),0.09362279830855562,1,2021.0,Mikosch,Hashimoto’s thyroiditis and coexisting disorders in correlation with HLA status—an overview,26.0,10.1007/s10354-021-00879-x
HLA-II PTC autoimmunity (DPB1*05:01 etc.),0.0960491554513127,1,2019.0,Lu,The Major Histocompatibility Complex Class II–CD4 Immunologic Synapse in Alcoholic Hepatitis and Autoimmune Liver Pathology,17.0,10.1016/j.ajpath.2019.09.019
HLA-II PTC autoimmunity (DPB1*05:01 etc.),0.053582419453376315,1,2023.0,Lim,Bioinformatics and Connectivity Map Analysis Suggest Viral Infection as a Critical Causative Factor of Hashimoto’s Thyroiditis,10.0,10.3390/ijms24021157
Hashimoto-like signature & PTC outcomes,0.16541748056066102,2,2021.0,Pan,Papillary Thyroid Carcinoma Landscape and Its Immunological Link With Hashimoto Thyroiditis at Single-Cell Resolution,42.0,10.3389/fcell.2021.758339
Hashimoto-like signature & PTC outcomes,0.2184755604671841,1,2025.0,,Genomic Characterization of Papillary Thyroid Carcinoma: Age Differences in Tumor Aggressiveness and Immune Infiltration.,0.0,10.3390/diagnostics15232937
Hashimoto-like signature & PTC outcomes,0.21423406862995079,1,2024.0,Hongzhe Ma,Impact of Hashimoto’s thyroiditis on the tumor microenvironment in papillary thyroid cancer: insights from single-cell analysis,0.0,10.3389/fendo.2024.1339473
Hashimoto-like signature & PTC outcomes,0.1540652049021428,1,2025.0,Zi Xu,Prevalence of Hashimoto’s thyroiditis in papillary thyroid cancer and its association with aggressive characteristics,0.0,10.21037/gs-24-445
Hashimoto-like signature & PTC outcomes,0.15321994475385742,1,2022.0,N. Danış,ASSOCIATION BETWEEN HASHIMOTO'S THYROIDITIS AND PAPILLARY THYROID CANCER: A SINGLE CENTER EXPERIENCE.,0.0,10.4183/aeb.2022.74
