claim,dedup_key,sources,n_sources,doi,title,year,venue,first_author,cited_by,influential,composite,topical_relevance,new_score
8-gene / driver-excluded PTC stratification,10.3389/fendo.2025.1728045,europepmc_fulltext,1,10.3389/fendo.2025.1728045,"Multi-gene co-mutations of &lt;i&gt;BRAF&lt;/i&gt; with &lt;i&gt;TERT&lt;/i&gt;, &lt;i&gt;PIK3CA&lt;/i&gt;, or &lt;i&gt;TP53&lt;/i&gt; are powerful predictors of central lymph node metastasis in papillary thyroid carcinoma.",2025.0,,,0.0,0.0,125.0,0.03677286624015328,13.677286624015327
8-gene / driver-excluded PTC stratification,use of natural language processing to extract and classify p|,arxiv,1,,Use of natural language processing to extract and classify papillary thyroid cancer features from surgical pathology reports,,,Ricardo Loor-Torres,0.0,0.0,100.0,0.030458287214560783,13.045828721456079
8-gene / driver-excluded PTC stratification,primer on the gene ontology|,arxiv,1,,Primer on the Gene Ontology,,,Pascale Gaudet,0.0,0.0,100.0,0.029054310411236278,12.905431041123627
8-gene / driver-excluded PTC stratification,prognostic relevance of gene-expression signatures|,arxiv,1,,Prognostic relevance of gene-expression signatures,,,Dimitrij Tschodu,0.0,0.0,100.0,0.022499012730967195,12.24990127309672
8-gene / driver-excluded PTC stratification,"gene ontology: pitfalls, biases, remedies|",arxiv,1,,"Gene Ontology: Pitfalls, Biases, Remedies",,,Pascale Gaudet,0.0,0.0,100.0,0.02040010782141778,12.040010782141778
8-gene / driver-excluded PTC stratification,gene expression and pathway bioinformatics analysis detect a|,arxiv,1,,Gene expression and pathway bioinformatics analysis detect a potential predictive value of MAP3K8 in thyroid cancer progression,,,Valentina Di Salvatore,0.0,0.0,100.0,0.02017608720481714,12.017608720481714
8-gene / driver-excluded PTC stratification,mulmarker: a comprehensive framework for identifying multi-g|,arxiv,1,,MulMarker: a comprehensive framework for identifying multi-gene prognostic signatures,,,Xu Zhang,0.0,0.0,100.0,0.01652939967388693,11.652939967388694
8-gene / driver-excluded PTC stratification,integrative prognostic modeling of breast cancer survival wi|,arxiv,1,,Integrative Prognostic Modeling of Breast Cancer Survival with Gene Expression and Clinical Data,,,Robert Amevor,0.0,0.0,100.0,0.01465116553749423,11.465116553749423
8-gene / driver-excluded PTC stratification,10.3390/biomedicines14010168,europepmc_fulltext,1,10.3390/biomedicines14010168,State of the Art on Thyroid Cancer Biology and Oncology.,2026.0,,,0.0,0.0,126.0,0.0114984757817583,11.14984757817583
8-gene / driver-excluded PTC stratification,10.3390/genes17010036,europepmc_fulltext,1,10.3390/genes17010036,Review of Genomic Drivers of Thyroid Cancer and Their Clinical Implications.,2025.0,,,0.0,0.0,125.0,0.010218873620519197,11.02188736205192
8-gene / driver-excluded PTC stratification,10.3389/fonc.2025.1542784,europepmc_fulltext,1,10.3389/fonc.2025.1542784,Identify and validate a novel ubiquitination-related biomarker for thyroid cancer prognosis and immunotherapy.,2025.0,,,0.0,0.0,125.0,0.008425116935503551,10.842511693550355
BCR repertoire / TLS in thyroid cancer,10.1038/s41581-023-00706-z,openalex,1,10.1038/s41581-023-00706-z,The roles of tertiary lymphoid structures in chronic diseases,2023.0,,Sato,276.0,0.0,399.0,0.1102036135161865,26.64437885780599
BCR repertoire / TLS in thyroid cancer,10.1038/s41591-023-02345-0,openalex,1,10.1038/s41591-023-02345-0,Intratumoral dendritic cell–CD4+ T helper cell niches enable CD8+ T cell differentiation following PD-1 blockade in hepatocellular carcinoma,2023.0,,Magen,376.0,0.0,499.0,0.07321615338287209,23.25386052573522
BCR repertoire / TLS in thyroid cancer,10.3389/fimmu.2026.1769020,europepmc_fulltext,1,10.3389/fimmu.2026.1769020,Unraveling the indolence of papillary thyroid carcinoma: an exploratory study on B-cell subsets based on genetic predisposition and tumor immunity.,2026.0,,,0.0,0.0,126.0,0.10157185781154571,20.15718578115457
BCR repertoire / TLS in thyroid cancer,10.1146/annurev-immunol-101220-015603,openalex,1,10.1146/annurev-immunol-101220-015603,B Cell Function in the Tumor Microenvironment,2022.0,,Downs‐Canner,272.0,0.0,394.0,0.043449801354003344,19.954451930585293
BCR repertoire / TLS in thyroid cancer,10.1038/s41573-023-00688-4,openalex,1,10.1038/s41573-023-00688-4,Applications of single-cell RNA sequencing in drug discovery and development,2023.0,,Sande,401.0,0.0,524.0,0.025844114139082722,18.580863502527293
BCR repertoire / TLS in thyroid cancer,10.1186/s13045-025-01754-7,europepmc_fulltext,1,10.1186/s13045-025-01754-7,"Tertiary lymphoid structures in cancer: spatiotemporal heterogeneity, immune orchestration, and translational opportunities​​.",2025.0,,,0.0,0.0,125.0,0.08210151642039742,18.21015164203974
BCR repertoire / TLS in thyroid cancer,10.1038/s41392-020-00312-6,openalex,1,10.1038/s41392-020-00312-6,Targeting NF-κB pathway for the therapy of diseases: mechanism and clinical study,2020.0,,Yu,2010.0,0.0,620.0,0.0,17.606387389772653
BCR repertoire / TLS in thyroid cancer,10.1038/s41392-022-00904-4,openalex,1,10.1038/s41392-022-00904-4,Therapeutic peptides: current applications and future directions,2022.0,,Wang,1890.0,0.0,622.0,0.0,17.544861068658456
BCR repertoire / TLS in thyroid cancer,10.1038/s41392-020-00280-x,openalex,1,10.1038/s41392-020-00280-x,The updated landscape of tumor microenvironment and drug repurposing,2020.0,,Jin,1218.0,0.0,620.0,0.0,17.10578612948127
BCR repertoire / TLS in thyroid cancer,10.1038/s41423-020-00565-9,openalex,1,10.1038/s41423-020-00565-9,Tumor-infiltrating lymphocytes in the immunotherapy era,2020.0,,Paijens,914.0,0.0,620.0,0.0,16.81892406527552
BCR repertoire / TLS in thyroid cancer,10.1038/s41392-023-01471-y,openalex,1,10.1038/s41392-023-01471-y,T cells in health and disease,2023.0,,Sun,874.0,0.0,623.0,0.0,16.774223886357614
BCR repertoire / TLS in thyroid cancer,10.1186/s13045-021-01164-5,openalex,1,10.1186/s13045-021-01164-5,Combination strategies to maximize the benefits of cancer immunotherapy,2021.0,,Zhu,645.0,0.0,621.0,0.0,16.4707995037826
BCR repertoire / TLS in thyroid cancer,10.1038/s41581-023-00720-1,openalex,1,10.1038/s41581-023-00720-1,Pathogenesis of autoimmune disease,2023.0,,Pisetsky,573.0,0.0,623.0,0.0,16.352629396319568
