key,year_match,expected_year,epmc_year,author_match,expected_author,epmc_first_author,epmc_doi,epmc_journal,epmc_title_head
Haugen2016,True,2016,2016,True,Haugen,Haugen BR,10.1089/thy.2015.0020,Thyroid : official journal of the American Thyroid Association,2015 American Thyroid Association Management Guidelines for Adult Patients with Thyroid Nodules and 
Ringel2025,True,2025,2025,True,Ringel,Ringel MD,10.1177/10507256251363120,Thyroid : official journal of the American Thyroid Association,2025 American Thyroid Association Management Guidelines for Adult Patients with Differentiated Thyro
TCGA2014,True,2014,2014,False,,,10.1016/j.cell.2014.09.050,Cell,Integrated genomic characterization of papillary thyroid carcinoma.
Yoo2016,True,2016,2016,False,Yoo,Vedelek V,10.1371/journal.pone.0161289,PloS one,Testis-Specific Bb8 Is Essential in the Development of Spermatid Mitochondria.
Landa2016,True,2016,2016,True,Landa,Landa I,10.1172/jci85271,The Journal of clinical investigation,Genomic and transcriptomic hallmarks of poorly differentiated and anaplastic thyroid cancers.
Pu2021,True,2021,2021,False,Pu,Dev SA,10.1007/s13205-021-03001-5,3 Biotech,Quantification of adulteration in traded ayurvedic raw drugs employing machine learning approaches w
Wirth2020,True,2020,2020,True,Wirth,Wirth LJ,10.1056/nejmoa2005651,The New England journal of medicine,Efficacy of Selpercatinib in &lt;i&gt;RET&lt;/i&gt;-Altered Thyroid Cancers.
Cibas2017,True,2017,2017,True,Cibas,Cibas ES,10.1089/thy.2017.0500,Thyroid : official journal of the American Thyroid Association,The 2017 Bethesda System for Reporting Thyroid Cytopathology.
Krishnamoorthy2025,True,2025,2025,True,Krishnamoorthy,Krishnamoorthy GP,10.1084/jem.20241029,The Journal of experimental medicine,RBM10 loss promotes metastases by aberrant splicing of cytoskeletal and extracellular matrix mRNAs.
Pozdeyev2018,True,2018,2018,True,Pozdeyev,Pozdeyev N,10.1158/1078-0432.ccr-18-0373,Clinical cancer research : an official journal of the American Association for Cancer Research,Genetic Analysis of 779 Advanced Differentiated and Anaplastic Thyroid Cancers.
