train	test	auc	p_dm2_mean	n_test	p_dm2_std
TCGA	Lee2024	0.7337159253945481	0.3863707650010939	632	
Lee2024	TCGA	0.9251984126984127	0.9736631722320033	500	
TCGA	Yoo-PRJEB11591		0.15388412497628123	118	0.21687444971850617
Lee2024	Yoo-PRJEB11591		0.9966860909228589	118	0.004161832009784274
