held_out	train_cohorts	weighting	n_train	n_test	true_AUC	flip_AUC	DIAL	p_dm2_mean	p_dm2_std	combat_fit_source
TCGA	Lee,Yoo	naive	632	500	0.9190873015873017	0.08091269841269841	0.4190873015873016	0.9775187012046299	0.02759542841349486	train_only_cohort_batch
Lee	TCGA,Yoo	naive	500	632	0.745767575322812	0.254232424677188	0.24576757532281202	0.20087399771674422	0.22967043156715503	train_only_cohort_batch
Yoo	TCGA,Lee	naive	1132	118				0.6536024173737739	0.368868434694526	train_only_cohort_batch
TCGA	Lee,Yoo	inverse_prevalence	632	500	0.9190873015873017	0.08091269841269841	0.4190873015873016	0.9775187012046299	0.02759542841349486	train_only_cohort_batch
Lee	TCGA,Yoo	inverse_prevalence	500	632	0.745767575322812	0.254232424677188	0.24576757532281202	0.2008739977167442	0.229670431567155	train_only_cohort_batch
Yoo	TCGA,Lee	inverse_prevalence	1132	118				0.6358555042817124	0.36502725579820294	train_only_cohort_batch
TCGA	Lee,Yoo	stratified	632	500	0.9190873015873017	0.08091269841269841	0.4190873015873016	0.9775187012046299	0.02759542841349486	train_only_cohort_batch
Lee	TCGA,Yoo	stratified	500	632	0.745767575322812	0.254232424677188	0.24576757532281202	0.20087399771674422	0.22967043156715503	train_only_cohort_batch
Yoo	TCGA,Lee	stratified	1000	118				0.63691879780482	0.36477490533107804	train_only_cohort_batch
