run	p_dm2
ERR1512530	0.22024538676692412
ERR1518626	0.22024538676692412
ERR1518627	0.9066848525173236
ERR1518628	0.3622115648406754
ERR1518629	0.9173806705135016
ERR1518630	0.8947161730038099
ERR1518631	0.6850665807000602
ERR1518632	0.005150270578863592
ERR1518633	0.8763332746647488
ERR1518634	0.9693508351856006
ERR1518635	0.9804233871001169
ERR1518636	0.8858230464721356
ERR1518637	0.8631606505645534
ERR1518638	0.6486605640265205
ERR1518639	0.9855489137563332
ERR1518640	0.7890378328893547
ERR1518641	0.9589920201742349
ERR1518642	0.9978202864121681
ERR1518643	0.9187156795013163
ERR1518644	0.9993529116950032
ERR1518645	0.6071499632053023
ERR1518646	0.020530677748749934
ERR1518647	0.8837604148802656
ERR1518648	0.9834277798097107
ERR1518649	0.5981498626653285
ERR1518650	0.36221634642050693
ERR1518653	0.8951547822709419
ERR1518654	0.9975939831106485
ERR1518655	0.9904084379174709
ERR1518656	0.008365402291106563
ERR1518657	0.7472558391945822
ERR1518658	0.0007252867764844291
ERR1518659	0.9326513869829203
ERR1518660	0.9979231883240157
ERR1518661	0.34766621819173726
ERR1518662	0.989183523180304
ERR1518663	0.8977405433212374
ERR1518664	0.7987926138408584
ERR1518665	0.46036213444049073
ERR1518666	0.9931345474863166
ERR1518667	0.21588584753142903
ERR1518668	0.703162913846381
ERR1518669	0.8949746688280754
ERR1518670	0.31797904114048153
ERR1518671	0.9733837801762658
ERR1518672	0.9827152960349803
ERR1518673	0.9235668568738189
ERR1518674	0.3549500937658401
ERR1518675	0.00291694308297317
ERR1518676	0.972747392516668
ERR1518677	0.5412539830075763
ERR1518678	0.9848916942169139
ERR1518679	0.818349072299634
ERR1518680	0.871563192927844
ERR1518681	0.9992693746287724
ERR1518682	0.9591216832763542
ERR1518683	0.9745285365293906
ERR1518684	0.8613742592856993
ERR1518685	0.8774994645289601
ERR1518686	0.961559629036386
ERR1518687	0.9949397823335747
ERR1518688	0.7377016325774108
ERR1518689	0.33735828264868073
ERR1518690	0.4915524318122742
ERR1518691	0.0038138450522193544
ERR1518692	0.4510612979788426
ERR1518693	0.970779309640706
ERR1518694	0.9742871164239701
ERR1518695	0.29100202904810435
ERR1518696	0.9101109009246842
ERR1518697	0.9882745631659835
ERR1518698	0.8405734384375042
ERR1518699	0.9038458998018809
ERR1518700	0.9805694644425231
ERR1518701	0.18712057875669916
ERR1518702	0.997799533764978
ERR1518703	0.852366361483251
ERR1518704	0.999173337379221
ERR1518705	0.9615628439268029
ERR1518706	0.9449975910865575
ERR1518707	0.9597199966524853
ERR1518708	0.9701646730007477
ERR1518709	0.9876038997063189
ERR1518710	0.9178871447411973
ERR1518711	0.2513919015287377
ERR1518712	0.9648097104193377
ERR1518713	0.7727840562786724
ERR1518714	0.9681329968993323
ERR1518715	0.03074911776588721
ERR1518716	0.6870714838971382
ERR1518717	0.030916758769309233
ERR1518718	0.6639279259066582
ERR1518719	0.2907734573047437
ERR1518720	0.0015052543170543317
ERR1518721	0.0060858841553951566
ERR1518722	0.7448110472838793
ERR1518723	0.02322728142980989
ERR1518724	0.09543872100188487
ERR1518725	2.308256292631457e-06
ERR1518726	0.008866324043938396
ERR1518727	0.00015976041324405137
ERR1518728	0.38832386413747416
ERR1518729	0.9950739837923956
ERR1518730	0.9462755625940522
ERR1518731	0.7475155130124719
ERR1518732	0.9997650520270897
ERR1518733	0.9857165059365885
ERR1518734	0.9596437138988793
ERR1518735	0.14024669075803828
ERR1518736	0.00014296559239693863
ERR1518737	0.0983446979730883
ERR1518738	0.14005714018120413
ERR1518739	0.060981598432761894
ERR1518740	0.8724068533255458
ERR1518741	0.7905015905233398
ERR1518742	0.08568176983218012
ERR1518743	0.00036249561951669777
ERR1518745	0.9303183642867703
