algorithm	testset	n	n_pos	AUROC	AUROC_lo95	AUROC_hi95
MHCflurry	ITSNdb_combined	319	136	0.63673256187721	0.5731747306895	0.6998426784993951
MHCflurry	ITSNdb_no_overlap	106	33	0.668327106683271	0.5356060560896241	0.7873267176671381
MHCflurry	ITSNdb_in_master	213	103	0.6415710503089145	0.5658789774326809	0.7166353154459189
BigMHC	ITSNdb_combined	319	136	0.7477	0.6962	0.8028
BigMHC	ITSNdb_no_overlap	106	33	0.626	0.5139	0.7308
BigMHC	ITSNdb_in_master	213	103	0.8416	0.7869	0.892
DeepImmuno	ITSNdb_combined	319	136	0.7019045323047252	0.642803294259241	0.7626214902149443
DeepImmuno	ITSNdb_no_overlap	106	33	0.5790784557907845	0.4640518575851393	0.6976638889917657
DeepImmuno	ITSNdb_in_master	213	103	0.8025595763459842	0.7408958001063264	0.8555260665869218
PRIME	ITSNdb_combined	319	136	0.5673015107682416	0.5005628481502761	0.6275664572930638
PRIME	ITSNdb_no_overlap	106	33	0.572436695724367	0.4524786678280829	0.6862275631645695
PRIME	ITSNdb_in_master	213	103	0.5638570167696382	0.4867196592972107	0.6364655017249138
TransPHLA	ITSNdb_combined	318	135	0.5797004654928152	0.5152982383456273	0.6419226859490331
TransPHLA	ITSNdb_no_overlap	106	33	0.5550020755500208	0.4402471076458752	0.6731392195767195
TransPHLA	ITSNdb_in_master	212	102	0.5831996434937612	0.5084838922835687	0.6534740293021993
NetMHCpan	ITSNdb_combined	319	136	0.5668796207007393	0.5010774725889162	0.6322281970693018
NetMHCpan	ITSNdb_no_overlap	106	33	0.5502283105022832	0.4206035539215686	0.6780896874400989
NetMHCpan	ITSNdb_in_master	213	103	0.5709179170344219	0.4925355998679184	0.6493987933344159
MHCnuggets	ITSNdb_combined	317	134	0.6474186444825054	0.5855180875769112	0.7072688869478951
MHCnuggets	ITSNdb_no_overlap	106	33	0.5205479452054794	0.4045229213063265	0.6389546654929578
MHCnuggets	ITSNdb_in_master	211	101	0.7097209720972097	0.6379622113997114	0.7791875457660534
T-SCAPE	ITSNdb_combined	319	136	0.6021375763420123	0.5350731312490334	0.6651578411656691
T-SCAPE	ITSNdb_no_overlap	106	33	0.605230386052304	0.4775215072809382	0.7385621921182266
T-SCAPE	ITSNdb_in_master	213	103	0.6398940864960283	0.5646501901508159	0.7166684662427696
NetMHCstabpan	ITSNdb_combined	319	136	0.5093619414979106	0.4435307088546454	0.5721206000520227
NetMHCstabpan	ITSNdb_no_overlap	106	33	0.4578663345786633	0.3409759167335091	0.5723166922683052
NetMHCstabpan	ITSNdb_in_master	213	103	0.533936451897617	0.4549385694263989	0.6119917987800501
