broad_id	name	n_high	n_low	mean_LFC_high	mean_LFC_low	delta_LFC	cohens_d	p	fdr	rank_fdr	mapk_class	is_canonical_mapk	is_mapk_pi3k_axis
BRD-K00091078-001-01-9	AZD-0364	229	241	-2.9467069518522613	-2.009573012349097	-0.9371339395031644	-0.5938098749213736	3.8764098620213927e-10	5.884390170548475e-07	1	MEK	True	True
BRD-K00010389-001-01-9	RAF709	233	247	-1.1672992233344213	-0.515415874994142	-0.6518833483402793	-0.5553126738632228	3.5607343000575247e-09	2.702597333743662e-06	2	BRAF/RAF	True	True
BRD-K05804044-001-18-5	AZ 628	234	248	-1.5826861381960051	-0.9038993714071092	-0.678786766788896	-0.5328011254693179	1.3119837911354489e-08	5.160284948545425e-06	3	BRAF/RAF	True	True
BRD-K00003116-001-01-9	CC-90003	232	248	-2.1730481288262613	-1.3787260934932757	-0.7943220353329856	-0.5324944190333638	1.3597588797221146e-08	5.160284948545425e-06	4	ERK	True	True
BRD-K52644305-300-02-9	ML786	234	247	-1.4244390779121887	-0.7871705262154368	-0.6372685516967519	-0.4849386148649617	2.076578601190656e-07	6.30449263321483e-05	5	ERK	True	True
BRD-K00003416-001-01-9	LY3214996	233	247	-1.330152544537944	-0.8160571503196331	-0.514095394218311	-0.4424297606518836	2.02607487923522e-06	0.0005125969444465	6	ERK	True	True
BRD-K00003275-001-01-9	lifirafenib	234	247	-0.8926746340459095	-0.4316277180370311	-0.4610469160088784	-0.4303278852491297	3.933607415937673e-06	0.0008053231602149	7	BRAF/RAF	True	True
BRD-K00003295-300-01-9	elacestrant	232	248	-5.885288503910954	-4.376301040051097	-1.5089874638598566	-0.42537473805158	4.244127326560783e-06	0.0008053231602149	8	non-MAPK/unknown	False	False
BRD-K26501486-001-02-9	SR-1078	233	247	-0.5485696931569009	-0.2464978688879352	-0.3020718242689656	-0.3960073772120689	1.8982020668876992e-05	0.0032016341528172	9	non-MAPK/unknown	False	False
BRD-K62289640-003-05-9	lylamine	234	247	-0.6711785564911573	-0.3353717839536727	-0.3358067725374846	-0.3714330745949833	6.195543545615143e-05	0.0085498500929488	10	non-MAPK/unknown	False	False
BRD-K00003420-001-01-9	GDC-0077	233	247	-0.5255457711823872	-0.2716223096911785	-0.2539234614912087	-0.3700971435924104	6.082892925383602e-05	0.0085498500929488	11	PI3K	False	True
BRD-K00004966-001-01-9	amenamevir	232	248	-0.176702832102613	-0.0198610821404615	-0.1568417499621515	-0.3240505726196535	0.0004623041577527	0.0584814759557211	12	non-MAPK/unknown	False	False
BRD-K00003107-001-01-9	LXH254	232	248	-1.6886811612222703	-1.3106771312043046	-0.3780040300179657	-0.319018392088458	0.0005452227216999	0.0635478490457222	13	BRAF/RAF	True	True
BRD-K53903639-001-01-3	ISX-9	233	247	0.0926424380478444	-0.0606807572595447	0.1533231953073892	0.3163545294773465	0.0005860802942293	0.0635478490457222	14	non-MAPK/unknown	False	False
BRD-K30233223-001-04-9	A-485	234	247	-1.2229837109786357	-0.8469836525354628	-0.3760000584431726	-0.3056766877364444	0.000894524779529	0.0905259076883379	15	non-MAPK/unknown	False	False
