gene	lineage	n	median_effect	pct_essential
LYN	Thyroid	11	0.0543543432107106	0.0
NAMPT	Thyroid	11	-0.2861943317117165	0.0
TACSTD2	Thyroid	11	-0.1150884266472207	0.0
KCNN4	Thyroid	11	0.0252521233919581	0.0
PAX8	Thyroid	11	-0.172091205912938	0.0909090909090909
JAK1	Thyroid	11	-0.0974066629524763	0.0909090909090909
JAK2	Thyroid	11	0.0795498580028989	0.0
STAT3	Thyroid	11	-0.1006250698793496	0.0
FOXE1	Thyroid	11	0.0093503464018936	0.0
NKX2-1	Thyroid	11	0.0173197258270695	0.0909090909090909
HHEX	Thyroid	11	-0.1125990672791995	0.0
FYN	Thyroid	11	0.0312736464587477	0.0
SRC	Thyroid	11	-0.0828835531940256	0.0909090909090909
DNMT1	Thyroid	11	-0.5689359927374233	1.0
EZH2	Thyroid	11	0.1522171139648269	0.0909090909090909
MYC	Thyroid	11	-1.962631328541318	1.0
SLC5A5	Thyroid	11	-0.1601467907136284	0.0
TPO	Thyroid	11	-0.0567780791062033	0.0
TG	Thyroid	11	0.0090338100933904	0.0
TSHR	Thyroid	11	0.1100587666811199	0.0
PAX8	Thyroid	11	-0.172091205912938	0.0909090909090909
NKX2-1	Thyroid	11	0.0173197258270695	0.0909090909090909
FOXE1	Thyroid	11	0.0093503464018936	0.0
DIO1	Thyroid	11	0.0340104705760287	0.0
