cohort	contrast	gene	cohens_d	mwu_p	n_a	n_b
GSE286332 (Korean RNA n=18)	PTC vs PTC+HT	SLC5A5	-0.8997195449300204	0.1577043874630777	9	9
GSE286332 (Korean RNA n=18)	PTC vs PTC+HT	TPO	0.32819557253099674	0.7239320396139757	9	9
GSE286332 (Korean RNA n=18)	PTC vs PTC+HT	TG	-0.8776752840287375	0.0933976745287926	9	9
GSE286332 (Korean RNA n=18)	PTC vs PTC+HT	TSHR	-0.10166150681942974	0.859819205054158	9	9
GSE286332 (Korean RNA n=18)	PTC vs PTC+HT	PAX8	0.4540444454610656	0.28931483238198774	9	9
GSE286332 (Korean RNA n=18)	PTC vs PTC+HT	NKX2-1	0.4994577767724734	0.331387096247615	9	9
GSE286332 (Korean RNA n=18)	PTC vs PTC+HT	FOXE1	0.6124438626115104	0.28931483238198774	9	9
GSE286332 (Korean RNA n=18)	PTC vs PTC+HT	DIO1	0.26100701406853494	0.37722461666745344	9	9
TCGA-THCA (RNA full)	DM1 vs DM2 (full cohort)	TG	1.2750720450175488	3.600395276240251e-38	140	360
TCGA-THCA (RNA full)	DM1 vs DM2 (full cohort)	TPO	2.27993335507436	2.679821532198242e-55	140	360
TCGA-THCA (RNA full)	DM1 vs DM2 (full cohort)	TSHR	0.5433427390232838	8.289938957817062e-12	140	360
TCGA-THCA (RNA full)	DM1 vs DM2 (full cohort)	PAX8	1.2441569498254919	7.246291169884014e-29	140	360
TCGA-THCA (RNA full)	DM1 vs DM2 (full cohort)	FOXE1	1.054394217748197	1.731619448920678e-23	140	360
TCGA-THCA (RNA full)	DM1 vs DM2 (full cohort)	NKX2-1	0.2367117759861567	0.021442284382202283	140	360
TCGA-THCA (RNA full)	DM1 vs DM2 (full cohort)	DIO1	2.24805547109539	3.237015699107746e-51	140	360
TCGA-THCA (RNA full)	DM1 vs DM2 (full cohort)	SLC5A5	0.5709394540080153	2.76737338136261e-05	140	360
GSE213647 (Lee 2024 RNA n=632)	PTC vs PDTC	TG	-0.5079155281386504	0.20334513782487357	348	5
GSE213647 (Lee 2024 RNA n=632)	PTC vs PDTC	SLC5A5	0.30302328053253585	0.9735878053018007	348	5
GSE213647 (Lee 2024 RNA n=632)	PTC vs PDTC	TPO	-0.14878300601109798	0.7791357909794239	348	5
GSE213647 (Lee 2024 RNA n=632)	PTC vs PDTC	PAX8	-0.21838929206935168	0.48461397739342815	348	5
GSE213647 (Lee 2024 RNA n=632)	PTC vs PDTC	NKX2-1	0.3220530701339739	0.3148569985570886	348	5
GSE213647 (Lee 2024 RNA n=632)	PTC vs PDTC	TSHR	-0.5494538758891777	0.16190409025664765	348	5
GSE213647 (Lee 2024 RNA n=632)	PTC vs PDTC	FOXE1	0.27485349514178764	0.39696398784810033	348	5
GSE213647 (Lee 2024 RNA n=632)	PTC vs PDTC	DIO1	0.183882322423637	1.0	348	5
GSE213647 (Lee 2024 RNA n=632)	PTC vs ATC	TG	2.1118051208260993	4.3442444122421824e-05	348	16
GSE213647 (Lee 2024 RNA n=632)	PTC vs ATC	SLC5A5	0.6413935637924668	0.003721405778660671	348	16
GSE213647 (Lee 2024 RNA n=632)	PTC vs ATC	TPO	0.7121665441300083	0.014455955982129207	348	16
GSE213647 (Lee 2024 RNA n=632)	PTC vs ATC	PAX8	2.072503779916208	0.00010367741405683456	348	16
GSE213647 (Lee 2024 RNA n=632)	PTC vs ATC	NKX2-1	3.1015161348096023	1.6626761083561747e-06	348	16
GSE213647 (Lee 2024 RNA n=632)	PTC vs ATC	TSHR	2.4283310776500504	3.876624810980744e-07	348	16
GSE213647 (Lee 2024 RNA n=632)	PTC vs ATC	FOXE1	2.9246702374808757	6.118341489312475e-07	348	16
GSE213647 (Lee 2024 RNA n=632)	PTC vs ATC	DIO1	0.4760698957095437	0.07157707979596883	348	16
GSE213647 (Lee 2024 RNA n=632)	PDTC vs ATC	TG	1.2266304198397548	0.008157649024522089	5	16
GSE213647 (Lee 2024 RNA n=632)	PDTC vs ATC	SLC5A5	0.7268554409784366	0.06147558630874959	5	16
GSE213647 (Lee 2024 RNA n=632)	PDTC vs ATC	TPO	0.7487129581640178	0.20797090766131016	5	16
GSE213647 (Lee 2024 RNA n=632)	PDTC vs ATC	PAX8	1.1535645914176695	0.024964371713597718	5	16
GSE213647 (Lee 2024 RNA n=632)	PDTC vs ATC	NKX2-1	1.287393460054894	0.034646754805991435	5	16
GSE213647 (Lee 2024 RNA n=632)	PDTC vs ATC	TSHR	1.3911490003068592	0.008157649024522089	5	16
GSE213647 (Lee 2024 RNA n=632)	PDTC vs ATC	FOXE1	1.2597707064136836	0.028141747678211853	5	16
GSE213647 (Lee 2024 RNA n=632)	PDTC vs ATC	DIO1	0.4111961525533958	0.2748046587055875	5	16
GSE213647 (Lee 2024 RNA n=632)	PTC vs Normal	TG	-0.9011781690333779	5.028758942924764e-44	348	263
GSE213647 (Lee 2024 RNA n=632)	PTC vs Normal	SLC5A5	-1.215260507977234	4.947555867576633e-39	348	263
GSE213647 (Lee 2024 RNA n=632)	PTC vs Normal	TPO	-1.5298880632880152	1.0244995789612993e-54	348	263
GSE213647 (Lee 2024 RNA n=632)	PTC vs Normal	PAX8	-0.7672180603474065	1.21516377192385e-37	348	263
GSE213647 (Lee 2024 RNA n=632)	PTC vs Normal	NKX2-1	0.038673663182906715	0.1948953067682918	348	263
GSE213647 (Lee 2024 RNA n=632)	PTC vs Normal	TSHR	-0.5080492780533158	5.0061094618880563e-20	348	263
