outcome	model	term	HR	HR_lower_95	HR_upper_95	p	n	events
PFI	univariate	zone_BRAF	1.8945449698539742	1.0090994678908838	3.5569344321437253	0.04679527314902453	563	63
PFI	univariate	zone_dark	1.8859802723302785	0.9999521275545755	3.557091874305614	0.05001728845970861	563	63
PFI	univariate	zone_RAS	0.5684970977455983	0.16542743481584726	1.9536599265106187	0.36989460536110685	563	63
PFI	adjusted_age_sex_stage	zone_BRAF	1.8767785495512594	0.9773688049684122	3.603857321975369	0.058597861253396576	552	61
PFI	adjusted_age_sex_stage	zone_dark	1.7924865549052895	0.9298656119877744	3.4553466738572944	0.08136598367157044	552	61
PFI	adjusted_age_sex_stage	zone_RAS	0.6144648624620643	0.17494035798262825	2.1582616587420977	0.4473895627105746	552	61
PFI	adjusted_age_sex_stage	age_n	1.0145647635439263	0.9961413395091295	1.0333289249216118	0.12198898823631772	552	61
PFI	adjusted_age_sex_stage	sex_M	2.7788153752006495	1.691478167152304	4.565128323501582	5.4569881664043346e-05	552	61
PFI	adjusted_age_sex_stage	stage_high	2.0633596346682612	1.1447158151760242	3.7192226450751598	0.01597109326544152	552	61
OS	univariate	zone_BRAF	0.7264971611618467	0.2412462934380769	2.187797862733578	0.5699877448309532	563	14
OS	univariate	zone_dark	1.1883689854975377	0.42759741305216825	3.302688001810131	0.7407030359889376	563	14
OS	univariate	zone_RAS	1.9927076384245679	0.45532820058687506	8.720926415533947	0.35996671806624103	563	14
OS	adjusted_age_sex_stage	zone_BRAF	0.7785386415791595	0.22798488968812253	2.6586078457264555	0.6895193144973006	552	12
OS	adjusted_age_sex_stage	zone_dark	1.1689132924756995	0.37932560130021103	3.6020724165279803	0.7857708702782336	552	12
OS	adjusted_age_sex_stage	zone_RAS	1.0598769059475308	0.21888359701954804	5.132129913145516	0.9423966446740983	552	12
OS	adjusted_age_sex_stage	age_n	1.0724720728229842	1.036984175787591	1.1091744443560603	4.596080992543094e-05	552	12
OS	adjusted_age_sex_stage	sex_M	0.8183184948072724	0.2727535835624404	2.4551287290065633	0.7205807112639127	552	12
OS	adjusted_age_sex_stage	stage_high	1.541247129469493	0.5227167394339891	4.54441676513008	0.4329752643774608	552	12
DSS	univariate	zone_BRAF	1.1512222632171671	0.30390074086888724	4.361005160887844	0.8358271675005162	557	5
DSS	univariate	zone_dark	1.1535322956309781	0.2983213809486771	4.460413641262259	0.8360157108516131	557	5
DSS	univariate	zone_RAS	0.7057668789314789	0.06880133087973757	7.23978564117248	0.7692374786172553	557	5
DSS	adjusted_age_sex_stage	zone_BRAF	1.1040469532384176	0.24667473248273922	4.9414046695695735	0.8970017834855617	546	3
DSS	adjusted_age_sex_stage	zone_dark	1.5919554556679318	0.36024494025770665	7.034997274404262	0.5396835541440681	546	3
DSS	adjusted_age_sex_stage	zone_RAS	0.8680598955619542	0.06875565264787525	10.959505920802528	0.9129107337815114	546	3
DSS	adjusted_age_sex_stage	age_n	1.0327614721974605	0.986705983164478	1.0809666472628157	0.16605923101185238	546	3
DSS	adjusted_age_sex_stage	sex_M	1.0146432631226154	0.23268324007971972	4.424474023343458	0.9845634802952773	546	3
DSS	adjusted_age_sex_stage	stage_high	2.3340874477344284	0.5460783513592068	9.976524797423773	0.2527617208629366	546	3
