gsm	unsup	panel_z	histology
GSM6590734	DM2	0.758511394404476	Normal
GSM6590735	DM2	0.12350054512537093	Normal
GSM6590736	DM2	0.3627234067606015	Normal
GSM6590737	DM2	0.712365799283144	Normal
GSM6590738	DM2	0.6933807066433406	Normal
GSM6590739	DM2	0.9426265517060542	Normal
GSM6590740	DM2	0.6318867289114806	Normal
GSM6590741	DM2	0.8894465146679017	Normal
GSM6590742	DM2	0.41794148740246906	Normal
GSM6590743	DM2	0.5614473009038208	Normal
GSM6590744	DM2	0.16470659995838582	Normal
GSM6590745	DM2	0.814180558520223	Normal
GSM6590746	DM2	0.04720004627003708	Normal
GSM6590747	DM2	0.4526452751167299	Normal
GSM6590748	DM2	0.7397440905004302	Normal
GSM6590749	DM2	0.18818958249201975	Normal
GSM6590750	DM2	0.5790985352468102	Normal
GSM6590751	DM2	0.7184416936219832	Normal
GSM6590752	DM2	0.7373240007288439	Normal
GSM6590753	DM2	0.40891717086558466	Normal
GSM6590754	DM2	0.7520447726513787	Normal
GSM6590755	DM2	0.88983685781342	Normal
GSM6590756	DM2	0.3560855874261018	Normal
GSM6590757	DM2	0.7868106386535345	Normal
GSM6590758	DM2	0.7876615774891113	Normal
GSM6590759	DM2	0.8383660433738155	Normal
GSM6590760	DM2	0.6690935640677477	Normal
GSM6590761	DM2	0.31526065008379905	Normal
GSM6590762	DM2	0.7064013687869845	Normal
GSM6590763	DM2	0.6013195924394797	Normal
GSM6590764	DM2	0.8070001315929866	Normal
GSM6590765	DM2	0.6936619422341144	Normal
GSM6590766	DM2	0.6175954422333108	Normal
GSM6590767	DM2	0.027449540491175557	Normal
GSM6590768	DM2	0.7513976933035573	Normal
GSM6590769	DM2	0.6815313805980631	Normal
GSM6590770	DM2	0.7039836547587249	Normal
GSM6590771	DM2	0.613524227274292	Normal
GSM6590772	DM2	0.6758058812632912	Normal
GSM6590773	DM2	0.7584543385515415	Normal
GSM6590774	DM2	0.5621854246014611	Normal
GSM6590775	DM2	0.2271828183745383	Normal
GSM6590776	DM2	0.7164665102479243	Normal
GSM6590777	DM2	0.6026054875970893	Normal
GSM6590778	DM2	-0.07107326718994465	Normal
GSM6590779	DM2	0.43094881735801815	Normal
GSM6590780	DM2	0.7642206611490563	Normal
GSM6590781	DM2	0.42338493510390746	Normal
GSM6590782	DM2	0.42132536021014405	Normal
GSM6590783	DM2	0.6587601609622588	Normal
GSM6590784	DM2	0.6711093572047384	Normal
GSM6590785	DM1	-2.8818003088621746	Normal
GSM6590786	DM2	0.6605931758303695	Normal
GSM6590787	DM2	0.55211096173982	Normal
GSM6590788	DM2	0.5999366902465758	Normal
GSM6590789	DM2	0.3573211123658187	Normal
GSM6590790	DM2	0.4449642301106093	Normal
GSM6590791	DM2	0.5811273412532946	Normal
GSM6590792	DM2	0.5742626850429732	Normal
GSM6590793	DM2	0.45406817912031644	Normal
GSM6590794	DM2	-0.6692407753003735	Normal
GSM6590795	DM2	0.1656113895236422	Normal
GSM6590796	DM2	0.37241173560809926	Normal
GSM6590797	DM2	0.8169517093096355	Normal
GSM6590798	DM2	0.3675294405762702	Normal
GSM6590799	DM2	0.04859149096936631	Normal
GSM6590800	DM2	0.704188507878187	Normal
GSM6590801	DM2	0.004928170220394569	Normal
GSM6590802	DM2	0.08937252526795939	Normal
GSM6590803	DM2	0.4046498418432886	Normal
GSM6590804	DM2	0.36469801761424764	Normal
GSM6590805	DM2	-0.2670066532279436	Normal
GSM6590806	DM2	0.459426728561478	Normal
GSM6590807	DM2	-0.08425038718041312	Normal
GSM6590808	DM2	0.48922533228107357	Normal
GSM6590809	DM2	0.4776490675193963	Normal
GSM6590810	DM2	-0.04010465400073141	Normal
GSM6590811	DM2	0.3157516728858119	Normal
GSM6590812	DM2	0.38058662817305866	Normal
GSM6590813	DM2	-0.556036880611514	Normal
GSM6590814	DM2	0.45817272081002597	Normal
GSM6590815	DM2	0.4060824538749816	Normal
GSM6590816	DM2	0.4591562735722546	Normal
GSM6590817	DM2	0.21237845262680385	Normal
GSM6590818	DM2	-0.26543017507760774	Normal
GSM6590819	DM2	0.401240477754631	Normal
GSM6590820	DM2	0.3703466805837828	Normal
GSM6590821	DM2	0.27221740874109496	Normal
GSM6590822	DM2	0.03054731868904489	Normal
GSM6590823	DM2	0.3952130878934898	Normal
GSM6590824	DM2	0.7011797074961769	Normal
GSM6590825	DM2	0.6919295200576249	Normal
GSM6590826	DM2	0.15043000125903824	Normal
GSM6590827	DM2	0.08165211994278751	Normal
GSM6590828	DM2	0.09581949320399184	Normal
GSM6590829	DM2	0.7919103674060762	Normal
GSM6590830	DM1	-4.044479618793539	Normal
GSM6590831	DM2	0.8459687141365887	Normal
GSM6590832	DM2	0.43880977767234025	Normal
GSM6590833	DM2	0.45935755525949157	Normal
GSM6590834	DM2	-1.0945672219932425	Normal
GSM6590835	DM2	0.5021746675246248	Normal
GSM6590836	DM2	0.5425219207697414	Normal
GSM6590837	DM2	0.531182036734475	Normal
GSM6590838	DM2	0.050362364722818125	Normal
GSM6590839	DM2	0.856603170938959	Normal
GSM6590840	DM2	0.6670842099634421	Normal
GSM6590841	DM2	0.601844620851597	Normal
GSM6590842	DM2	0.9341166274255948	Normal
GSM6590843	DM2	0.8428321482559845	Normal
GSM6590844	DM2	0.7802597123938663	Normal
GSM6590845	DM2	0.8505907270894263	Normal
GSM6590846	DM2	0.9356062480802613	Normal
GSM6590847	DM2	0.8160940155963174	Normal
GSM6590848	DM2	0.9904158673441943	Normal
GSM6590849	DM2	0.7329007982268585	Normal
GSM6590850	DM2	0.3141974408556593	Normal
GSM6590851	DM2	0.9233911402578036	Normal
GSM6590852	DM2	0.1366082120807086	Normal
GSM6590853	DM2	0.21380055324948297	Normal
GSM6590854	DM2	0.7067171637751315	Normal
GSM6590855	DM2	0.1159483307185861	Normal
GSM6590856	DM2	0.7836699165346921	Normal
GSM6590857	DM2	0.782998501984981	Normal
GSM6590858	DM2	0.507459831176939	Normal
GSM6590859	DM2	0.6905857627934152	Normal
GSM6590860	DM2	0.8709993432959485	Normal
GSM6590861	DM2	0.9434707624537254	Normal
GSM6590862	DM2	0.8143231582097389	Normal
GSM6590863	DM2	0.7305564355146851	Normal
GSM6590864	DM2	0.6468255573628492	Normal
GSM6590865	DM2	0.6783633936301788	Normal
GSM6590866	DM2	0.627606411276655	Normal
GSM6590867	DM2	0.8585720130016821	Normal
GSM6590868	DM2	0.9669098610533411	Normal
GSM6590869	DM2	0.9631335292999219	Normal
GSM6590870	DM2	0.8927685296907769	Normal
GSM6590871	DM2	0.7351464473778109	Normal
GSM6590872	DM1	-3.5073547655563995	Normal
GSM6590873	DM2	0.7395594877563829	Normal
GSM6590874	DM2	0.6237028439470355	Normal
GSM6590875	DM2	0.7785522475244416	Normal
GSM6590876	DM2	-0.8287013330792893	Normal
GSM6590877	DM2	0.49489719317992453	Normal
GSM6590878	DM2	0.4599199409778828	Normal
GSM6590879	DM2	0.4517037482302143	Normal
GSM6590880	DM2	0.4968511236541831	Normal
GSM6590881	DM2	0.7153162075012018	Normal
GSM6590882	DM2	-0.06689635068421615	Normal
GSM6590883	DM2	0.46621791136463747	Normal
GSM6590884	DM2	0.7787814654243308	Normal
GSM6590885	DM2	0.8205437568226149	Normal
GSM6590886	DM2	0.3713529830785835	Normal
GSM6590887	DM2	0.9144360172258063	Normal
GSM6590888	DM2	0.8766253482315128	Normal
GSM6590889	DM2	0.5136962406931072	Normal
GSM6590890	DM2	0.8322126623197458	Normal
GSM6590891	DM2	0.1786161433287487	Normal
GSM6590892	DM2	0.7536526266537413	Normal
GSM6590893	DM2	0.7017551213965179	Normal
GSM6590894	DM2	-0.4071294474269849	Normal
GSM6590895	DM2	0.3287778894958678	Normal
GSM6590896	DM2	0.5583687711827736	Normal
GSM6590897	DM2	0.16660657126755685	Normal
GSM6590898	DM1	-3.059097985995918	Normal
GSM6590899	DM2	0.7316647756652114	Normal
GSM6590900	DM2	0.46873057868468626	Normal
GSM6590901	DM2	0.4943766341886734	Normal
GSM6590902	DM2	0.4581427773763332	Normal
GSM6590903	DM1	-3.725677096373875	Normal
GSM6590904	DM2	0.38875382070540165	Normal
GSM6590905	DM2	0.36968361328231164	Normal
GSM6590906	DM2	0.4027045989413174	Normal
GSM6590907	DM2	0.4445002902241998	Normal
GSM6590908	DM2	0.3099143933858392	Normal
GSM6590909	DM2	0.7910796621057965	Normal
GSM6590910	DM2	0.46830032175880937	Normal
GSM6590911	DM2	0.8802750064485784	Normal
GSM6590912	DM2	0.7705773574905619	Normal
GSM6590913	DM2	0.6879545171352268	Normal
GSM6590914	DM2	0.03967750951561855	Normal
GSM6590915	DM2	0.761402448775354	Normal
GSM6590916	DM2	0.6674286697309143	Normal
GSM6590917	DM2	0.764971226607545	Normal
GSM6590918	DM2	0.4298743491261484	PTC
GSM6590919	DM2	0.10557282319283147	Normal
GSM6590920	DM2	0.7757615240850679	Normal
GSM6590921	DM2	0.5775317229689535	Normal
GSM6590922	DM2	0.902754762152781	Normal
GSM6590923	DM2	0.7342298484992152	Normal
GSM6590924	DM2	0.540811433897528	Normal
GSM6590925	DM2	0.7930535372627203	Normal
GSM6590926	DM2	0.38394422967741976	Normal
GSM6590927	DM2	0.36877219024527336	Normal
GSM6590928	DM2	0.8531273836359959	Normal
GSM6590929	DM2	0.6215428174325589	Normal
GSM6590930	DM2	0.7984926479049309	Normal
GSM6590931	DM2	-0.01226374775157699	Normal
GSM6590932	DM2	0.3009193596859922	Normal
GSM6590933	DM2	-0.1264702469651059	Normal
GSM6590934	DM2	0.8494300477070073	Normal
GSM6590935	DM2	0.7235633253503772	Normal
GSM6590936	DM2	0.6957412212891864	Normal
GSM6590937	DM2	0.7124494572450841	Normal
GSM6590938	DM2	0.6131238909867452	Normal
GSM6590939	DM2	0.1913986350202024	Normal
GSM6590940	DM2	0.6257282924280336	Normal
GSM6590941	DM2	0.7559979206603662	Normal
GSM6590942	DM2	0.774154294093878	Normal
GSM6590943	DM2	0.69926939285189	Normal
GSM6590944	DM2	0.5874776507503261	Normal
GSM6590945	DM2	0.8968761015487088	Normal
GSM6590946	DM2	0.500632782983277	Normal
GSM6590947	DM2	0.7185617832802981	Normal
GSM6590948	DM2	0.48918271805482594	Normal
GSM6590949	DM2	0.5872544615572959	Normal
GSM6590950	DM2	0.6244558909605887	Normal
GSM6590951	DM2	0.8121281542700676	Normal
GSM6590952	DM2	0.8026022383496348	Normal
GSM6590953	DM2	0.23832950189864865	Normal
GSM6590954	DM2	0.5872560671342409	Normal
GSM6590955	DM2	0.7026846695147408	Normal
GSM6590956	DM2	0.7175962316884462	Normal
GSM6590957	DM2	0.5382919648098349	Normal
GSM6590958	DM2	0.23478032511504623	Normal
GSM6590959	DM2	0.49410210065866705	Normal
GSM6590960	DM2	0.27896823723441544	Normal
GSM6590961	DM2	0.748272098804484	Normal
GSM6590962	DM2	0.6869830771859292	Normal
GSM6590963	DM2	0.901725957985515	Normal
GSM6590964	DM1	-3.876483902594434	Normal
GSM6590965	DM2	0.6306562251076765	Normal
GSM6590966	DM2	-0.018479792878794372	Normal
GSM6590967	DM2	0.7224765177018561	Normal
GSM6590968	DM2	0.25171857012156784	Normal
GSM6590969	DM2	0.5410022763727211	Normal
GSM6590970	DM2	0.5843049770644452	Normal
GSM6590971	DM1	-3.837499514519422	Normal
GSM6590972	DM2	-1.0061203795368023	Normal
GSM6590973	DM2	0.477049401930005	Normal
GSM6590974	DM2	0.5367950098660358	Normal
GSM6590975	DM2	0.5166795102095064	Normal
GSM6590976	DM2	0.44679086355080566	Normal
GSM6590977	DM2	0.4731987697557351	Normal
GSM6590978	DM2	-0.15459198147611927	Normal
GSM6590979	DM2	0.6104377642956508	Normal
GSM6590980	DM2	0.28172104921276103	Normal
