hallmark	n_genes_in_set	mean_t_in_set	mean_t_outside	direction	MW_U	p	fdr
INTERFERON_GAMMA_RESPONSE	31	-10.844314381084	-0.6537001448226832	down_in_fail	15190.0	4.9871790694462387e-20	6.48333279028011e-19
INTERFERON_ALPHA_RESPONSE	17	-8.477609943027629	-0.6628288419056648	down_in_fail	18657.0	2.0679164444298172e-10	1.3441456888793812e-09
ALLOGRAFT_REJECTION	14	-10.638627535174283	-0.6624890094296585	down_in_fail	8227.0	1.0717509159501302e-09	4.644253969117231e-09
INFLAMMATORY_RESPONSE	12	-9.4101375245548	-0.6642201684126895	down_in_fail	10223.0	4.0630043582030905e-08	1.3204764164160045e-07
TNFA_SIGNALING_VIA_NFKB	18	-6.202413601250693	-0.6644828849828228	down_in_fail	58416.0	6.854621042077778e-07	1.7822014709402223e-06
EPITHELIAL_MESENCHYMAL_TRANSITION	14	-6.285018860143201	-0.6655306043920038	down_in_fail	38087.0	2.36660488027176e-06	5.12764390725548e-06
G2M_CHECKPOINT	14	-4.904244911823011	-0.6664952650675107	down_in_fail	40944.0	4.4890586760656505e-06	8.336823255550495e-06
P53_PATHWAY	10	-4.556901742230602	-0.6675142956658716	down_in_fail	33454.0	0.0002645185522609315	0.00042984264742401365
E2F_TARGETS	13	-3.188349306758527	-0.6678198355521712	down_in_fail	65588.0	0.0019389016697664095	0.0028006357452181473
FATTY_ACID_METABOLISM	14	1.633370149996239	-0.6710626891338549	up_in_fail	206106.0	0.00236276734022093	0.0030715975422872088
OXIDATIVE_PHOSPHORYLATION	16	1.149746429477853	-0.6709065223499034	up_in_fail	217963.0	0.012725328219416241	0.015039024259310104
MYC_TARGETS_V1	14	0.7377551461903062	-0.6704369787664071	up_in_fail	178213.0	0.07974219122719774	0.08164553575738148
ANGIOGENESIS	13	1.1896053906816857	-0.6706598261243628	up_in_fail	166592.0	0.08164553575738148	0.08164553575738148
