gene	n_fail	n_ind	mean_fail	mean_inflamed_dark	delta_mean	cohens_d	t	p	fdr
ICOS	91	162	2.323406593406594	4.853518518518518	-2.530111925111924	-2.1024069193086743	-18.01663149940682	7.737438311717271e-47	1.5515885046486644e-42
TIGIT	91	162	3.5076923076923068	6.039814814814815	-2.5321225071225086	-1.9787021411389476	-16.557600291390997	1.975592408436377e-41	1.9808277283187334e-37
GBP5	91	162	5.108901098901099	7.50962962962963	-2.4007285307285304	-1.832877276785217	-15.971337430980975	4.8121895969891876e-40	3.2166279329474725e-36
IL2RG	91	162	6.6691208791208805	8.843395061728394	-2.1742741826075136	-1.886076892831942	-16.002611401520724	7.825876497003822e-40	3.2232556895311624e-36
TNFSF13B	91	162	3.2639560439560436	5.155061728395062	-1.8911056844390188	-1.8467406226711756	-15.924655658380455	8.621470266077453e-40	3.2232556895311624e-36
NOD2	91	162	4.043516483516483	5.74679012345679	-1.7032736399403072	-1.9635048190081332	-16.167228076257093	9.644209912325824e-40	3.2232556895311624e-36
DAPP1	91	162	4.088901098901098	6.346172839506174	-2.257271740605076	-1.9843400284749164	-16.088031575784974	4.60236463910733e-39	1.318445972971704e-35
CTLA4	91	162	2.751978021978022	5.334259259259259	-2.582281237281237	-1.9933967321255832	-16.055762182251573	9.070778378645667e-39	2.2737039853372696e-35
LTA	91	162	1.6249450549450546	3.8132716049382718	-2.188326549993217	-1.8767025930296897	-15.70906720614946	1.3577750192727813e-38	2.8465095953392677e-35
CSF2RB	91	162	6.43032967032967	8.187160493827161	-1.7568308234974905	-1.9362841096677679	-15.854912116109562	1.419493140846391e-38	2.8465095953392677e-35
PTPN22	91	162	4.11054945054945	5.999753086419752	-1.8892036358703024	-1.8480805944010197	-15.474946800789125	8.165139683953718e-38	1.3420201715788328e-34
CD80	91	162	2.580879120879121	4.653765432098765	-2.072886311219644	-1.9054303695137589	-15.607644627034961	8.988765843888467e-38	1.3420201715788328e-34
SIRPG	91	162	2.627032967032967	5.085308641975308	-2.458275674942341	-1.8494058215675693	-15.468753113393495	8.998104746375163e-38	1.3420201715788328e-34
SP140	91	162	3.946263736263737	5.828888888888889	-1.8826251526251516	-1.669022292289624	-15.40624562943162	9.369312522866233e-38	1.3420201715788328e-34
CD86	91	162	5.97868131868132	7.504382716049383	-1.5257013973680627	-1.8610579428173186	-15.471324734484675	1.1700719623452568e-37	1.564230204060629e-34
CLEC7A	91	162	5.830769230769231	7.309691358024692	-1.4789221272554602	-1.8552175280736791	-15.413464055599539	1.8777637478353447e-37	2.3534247772088857e-34
LSP1	91	162	7.792307692307692	9.581604938271605	-1.7892972459639127	-1.8725158524592034	-15.42912670003151	2.519255387495226e-37	2.858175529329821e-34
CYTIP	91	162	5.606483516483516	7.563765432098765	-1.9572819156152486	-1.7702131739373899	-15.213556442468358	2.565559244399181e-37	2.858175529329821e-34
SAMSN1	91	162	4.592637362637362	6.513888888888889	-1.9212515262515275	-1.7606225223947485	-15.165877063211495	3.538534793438059e-37	3.7346441164638632e-34
CD5	91	162	4.365164835164835	6.567098765432098	-2.2019339302672627	-1.8568893371587356	-15.329913037407218	4.856849543145788e-37	4.869720194435125e-34
IL10RA	91	162	7.326153846153845	8.778086419753086	-1.4519325735992403	-1.7692910484763475	-15.135630187996727	5.348440357929948e-37	5.107251166550917e-34
SNX20	91	162	3.581538461538462	5.527962962962963	-1.9464245014245014	-1.874926279612211	-15.349352867723969	6.513093066923973e-37	5.869382838458855e-34
UBD	91	162	3.5901098901098907	7.013024691358024	-3.422914801248133	-1.774274082552071	-15.120438862607608	6.731950595150534e-37	5.869382838458855e-34
TNFRSF9	91	162	1.5242857142857145	3.822283950617284	-2.2979982363315696	-1.7851813328478974	-15.127670089079482	7.631215920923313e-37	6.376198869261466e-34
CXCL10	91	162	4.701868131868132	7.277962962962961	-2.5760948310948297	-1.7261131448875948	-15.032408033049988	8.316018985927307e-37	6.670445148992011e-34
EVI2B	91	162	6.5831868131868125	8.309938271604937	-1.726751458418124	-1.7191319895871966	-14.96671295435944	1.4059218569125641e-36	1.0843442691026018e-33
DOK2	91	162	5.767802197802198	7.412098765432098	-1.6442965676298993	-1.8738505895655002	-15.23826311774541	2.1758021369033813e-36	1.6159763056045744e-33
CD53	91	162	7.681538461538461	9.301851851851852	-1.6203133903133908	-1.760671474654037	-14.973401521661728	2.270298718972216e-36	1.6259392932696376e-33
MNDA	91	162	6.514835164835164	7.981851851851851	-1.4670166870166872	-1.9516299891440174	-15.433359057293192	2.9459043887477767e-36	2.0370420933641095e-33
RUNX3	91	162	5.294505494505494	7.16895061728395	-1.8744451227784555	-1.7236089573241433	-14.836148835733448	4.847081713646211e-36	3.239950986791582e-33
P2RY10	91	162	2.1243956043956045	4.333395061728395	-2.2089994573327907	-1.7077932523000257	-14.791548897393286	6.097238309381888e-36	3.944126445743065e-33
EVI2A	91	162	5.922747252747253	7.480185185185185	-1.5574379324379324	-1.7392493645680427	-14.709625991405904	2.1255075111793104e-35	1.3319625663024598e-32
IL21R	91	162	4.343736263736264	6.479938271604938	-2.1362020078686745	-1.8621881508080718	-14.990676545538014	2.4485604390731716e-35	1.487908560143464e-32
WAS	91	162	5.965164835164835	7.485370370370371	-1.5202055352055366	-1.741052578208346	-14.676586617135477	3.070065937861009e-35	1.8107068309390237e-32
UBE2L6	91	162	10.018681318681319	10.7379012345679	-0.7192199158865815	-1.6239889968347307	-14.564197530685215	3.2777902758454594e-35	1.8779865257579712e-32
BTK	91	162	5.327362637362637	6.961790123456789	-1.6344274860941521	-1.7271786456453466	-14.63408914376748	3.6135627616851006e-35	2.0128548350019812e-32
CCR7	91	162	4.089450549450549	6.140679012345679	-2.0512284628951294	-1.7052073622037653	-14.591677717336566	3.809853233167716e-35	2.0648374833706005e-32
SH2D2A	91	162	3.3127472527472532	5.324135802469136	-2.0113885497218824	-1.756374306989214	-14.668506843379241	4.6136048117217846e-35	2.4346478234067617e-32
CD37	91	162	6.8647252747252745	8.416481481481481	-1.551756206756207	-1.6736865176909086	-14.4287945406032	1.1625839557002003e-34	5.862592829755496e-32
CASP1	91	162	6.274835164835164	7.59030864197531	-1.315473477140146	-1.7130682432566924	-14.490166033625083	1.1694196040004979e-34	5.862592829755496e-32
CXCL13	91	162	1.6014285714285714	5.81320987654321	-4.211781305114639	-1.5807150736910294	-14.359241077861736	2.0461282549032176e-34	1.0007563389164445e-31
CLEC4A	91	162	4.705274725274725	5.977530864197531	-1.2722561389228062	-1.6629757381313164	-14.326438422071126	2.6377406356710654e-34	1.2593955468359969e-31
RHOH	91	162	4.3210989010989005	6.193950617283951	-1.8728517161850506	-1.623783662232159	-14.289056320820675	2.7345068255496953e-34	1.275234078436001e-31
ARHGAP9	91	162	5.708681318681319	7.342962962962963	-1.6342816442816437	-1.685289917396106	-14.34565467471468	3.0011147605736182e-34	1.3677580521314263e-31
CXCL9	91	162	6.134725274725275	9.196543209876541	-3.061817935151266	-1.6289812376647543	-14.25424880418872	3.73765440855819e-34	1.6655818634403864e-31
PTPN7	91	162	5.274285714285713	7.20679012345679	-1.9325044091710772	-1.6432676392842103	-14.252660317579855	4.199513950714354e-34	1.8307142011668466e-31
FLT3	91	162	1.1802197802197802	3.238827160493827	-2.0586073802740463	-1.5839196863727492	-14.227201203057048	4.794743431473699e-34	2.0457231921562145e-31
HCK	91	162	6.785054945054946	8.421296296296296	-1.6362413512413498	-1.8066397121415303	-14.569038240192098	5.044736735679734e-34	2.107543870012202e-31
ITGAL	91	162	6.3716483516483535	8.234074074074075	-1.862425722425721	-1.6501300611455942	-14.206394611641077	6.867237110556534e-34	2.810381750571228e-31
SH2D1A	91	162	2.867692307692308	5.011111111111111	-2.143418803418803	-1.6262682309118066	-14.177789890671683	7.093759763018767e-34	2.8450232905563066e-31
