gene	n_fail	n_ind	mean_fail	mean_inflamed_dark	delta_mean	cohens_d	t	p	fdr
ARSG	91	162	7.710439560439561	6.987098765432098	0.7233407950074628	1.2464492307222235	9.572946957716388	5.77404803136053e-18	2.1206407540819178e-16
PLK1S1	91	162	8.543846153846154	8.009876543209876	0.5339696106362783	1.2975327079458359	9.620356298796901	8.800954300468352e-18	3.185659505185774e-16
BEX2	91	162	10.694505494505496	10.114691358024691	0.5798141364808043	1.0625245711062616	9.240804655127475	1.1169820912389711e-17	3.9855590526005496e-16
MAPK10	91	162	8.219670329670329	7.599197530864198	0.6204727988061309	1.082376141794117	8.817160692003958	3.3771563344805613e-16	9.95913470225569e-15
AGBL4	91	162	3.602857142857143	2.5914814814814817	1.0113756613756615	1.1294417197279039	8.7824904584955	7.751937517437897e-16	2.1771653086440078e-14
CCNB1IP1	91	162	10.033956043956042	9.585925925925926	0.4480301180301165	1.1736075399390715	8.75337633998331	1.7578819742544467e-15	4.712674763332142e-14
CRY2	91	162	10.4310989010989	10.008456790123455	0.42264211097544546	1.1155853047334083	8.6539905258877	1.8170680086920344e-15	4.836081483626437e-14
CASC2	91	162	6.492087912087913	5.992407407407407	0.49968050468050595	1.0982518624830295	8.61653182207698	1.978935668276442e-15	5.2215259152562486e-14
EPHX2	91	162	9.887252747252749	9.481358024691358	0.40589472256139025	1.0874093066341899	8.460882124224051	5.91087492383461e-15	1.4779398360056788e-13
THRA	91	162	10.45098901098901	10.010493827160493	0.44049518382851716	1.0535706472043198	8.356619010106789	9.064272611586674e-15	2.2384957965535414e-13
ABCA2	91	162	12.231428571428571	11.534506172839505	0.6969223985890665	1.0665190360953076	8.368000594908024	9.567617759591372e-15	2.356995564288523e-13
THNSL1	91	162	8.202527472527473	7.819691358024691	0.38283611450278165	1.058905522881573	8.329443637670344	1.1838168188518745e-14	2.8879657747489827e-13
ZNF219	91	162	10.293406593406594	9.686419753086419	0.6069868403201752	1.0830182056201354	8.259541459876809	2.6637267170988022e-14	6.254767196485044e-13
LETMD1	91	162	10.716263736263734	10.398888888888889	0.317374847374845	1.0218803430976555	8.132791509553337	3.590883247583314e-14	8.276779513079103e-13
TUB	91	162	8.53857142857143	7.695925925925924	0.8426455026455058	1.0355110265227971	8.09918743899761	5.316701885875106e-14	1.1965861157963356e-12
CCDC85C	91	162	10.047692307692309	9.732407407407408	0.31528490028490097	0.9933490601551287	8.043588942891184	5.347415399392434e-14	1.2021493386100502e-12
PHF17	91	162	11.598131868131865	11.064814814814815	0.5333170533170506	1.0014766255323604	8.019291817405232	6.891826669138862e-14	1.5321707338829445e-12
PARK2	91	162	5.753736263736263	5.260432098765432	0.49330416497083096	1.0776377832562059	8.058467749257426	1.147480753850069e-13	2.495708411817292e-12
NFIA	91	162	10.842967032967033	10.309753086419752	0.5332139465472814	1.0338970715196334	7.990661450732769	1.179468458274703e-13	2.5541988114236093e-12
C4orf10	91	162	9.104395604395604	8.773580246913578	0.3308153574820256	1.0534378236523045	8.016143572317965	1.2028029134828474e-13	2.6019209087455815e-12
C9orf45	91	162	7.940549450549451	7.263333333333333	0.6772161172161182	0.9342987210533865	7.867856158138479	1.2355828793003199e-13	2.6642089761945496e-12
UNC119B	91	162	10.646593406593409	10.206913580246914	0.43967982634649516	0.9759972992411643	7.906285487118748	1.2625655012766686e-13	2.7194657354566093e-12
HSPA12A	91	162	8.771428571428572	7.614197530864198	1.1572310405643744	1.0563463575981298	7.979525186453774	1.631606315231449e-13	3.4513292657527686e-12
OBSCN	91	162	10.702417582417583	10.172962962962963	0.5294546194546204	0.9926975849698046	7.836695666420798	2.439778841711495e-13	5.0386081475633996e-12
PRX	91	162	9.20032967032967	8.664382716049381	0.5359469542802895	1.0121558063851979	7.849403116078326	2.686113394395941e-13	5.513268362110727e-12
