quadrant	NA	Stage I	Stage II	Stage III	Stage IV	Stage IVA	Stage IVC	total
Q_fail_to_induce	17	50	10	11	0	9	0	97
Q_inflamed_bright	11	60	6	16	0	4	0	97
Q_inflamed_dark	30	64	6	40	1	24	1	166
Q_quiet_bright	33	77	22	21	0	12	2	167
