quadrant	CD8_T_cell	CD4_T_helper	T_reg	B_cell	Macrophage_M1	Macrophage_M2	NK_cell	Dendritic	Stromal_fibroblast	Endothelial	Neutrophil	Cytolytic	INTERFERON_GAMMA_RESPONSE	INTERFERON_ALPHA_RESPONSE	TNFA_SIGNALING_VIA_NFKB	INFLAMMATORY_RESPONSE	EPITHELIAL_MESENCHYMAL_TRANSITION	OXIDATIVE_PHOSPHORYLATION	FATTY_ACID_METABOLISM	MYC_TARGETS_V1	G2M_CHECKPOINT	E2F_TARGETS	P53_PATHWAY	ANGIOGENESIS	ALLOGRAFT_REJECTION	RAI_dediff_score	thyroid_diff_score	myeloid_supp_score	hla2_recomp_score	cyt_activity	APM_score
Q_fail_to_induce	-0.533	-0.617	-0.197	-0.571	-0.336	-0.344	-0.514	-0.29	-0.304	-0.253	-0.429	-0.528	-0.423	-0.374	-0.276	-0.443	-0.396	-0.124	-0.055	0.216	-0.13	-0.008	-0.098	-0.249	-0.409	0.085	-0.402	-0.339	-0.295	-0.528	-0.321
Q_inflamed_bright	0.765	0.785	0.46	0.823	0.475	0.638	0.559	0.599	0.427	0.186	0.456	0.775	0.55	0.356	0.432	0.579	0.341	-0.105	-0.074	0.013	0.24	0.037	0.101	0.151	0.671	0.392	0.229	0.607	0.636	0.775	0.598
Q_inflamed_dark	0.418	0.604	0.502	0.373	0.4	0.646	0.19	0.482	0.597	-0.34	0.546	0.462	0.606	0.551	0.347	0.492	0.338	-0.224	-0.226	0.125	0.415	0.378	0.421	-0.372	0.58	1.158	-0.552	0.521	0.691	0.462	0.719
Q_quiet_bright	-0.57	-0.683	-0.634	-0.487	-0.492	-0.732	-0.23	-0.63	-0.625	0.336	-0.533	-0.652	-0.688	-0.567	-0.452	-0.584	-0.307	0.333	0.291	-0.218	-0.444	-0.396	-0.414	0.375	-0.732	-1.364	0.627	-0.621	-0.852	-0.652	-0.867
