feature	n_fail	n_inflamed_dark	mean_fail	mean_inflamed_dark	cohens_d_fail_minus_inflamed	MW_p	fdr
INTERFERON_GAMMA_RESPONSE	97	166	-0.4225300817496207	0.6062346407426827	-2.0248174224642654	7.830629722801858e-36	2.427495214068576e-34
INFLAMMATORY_RESPONSE	97	166	-0.44347362075568264	0.49173240659500755	-2.0688878648989917	4.034733038881504e-35	6.253836210266332e-34
CD4_T_helper	97	166	-0.6165500072866114	0.6035227269868984	-1.9135040091351692	3.369128206682664e-32	3.481432480238753e-31
ALLOGRAFT_REJECTION	97	166	-0.4093760921712506	0.5798088603592162	-1.694460137233111	1.5425988668551735e-28	1.1955141218127595e-27
APM_score	97	166	-0.3213107667028933	0.7188024734779659	-1.7228639291213004	2.5419102259919662e-27	1.575984340115019e-26
hla2_recomp_score	97	166	-0.2953473057534287	0.6914038121302183	-1.6704614642617421	8.082828798713733e-25	4.1761282126687624e-24
myeloid_supp_score	97	166	-0.3389684941508154	0.5214662167634502	-1.5165793157808607	1.677543937160385e-24	7.429123150281705e-24
RAI_dediff_score	97	166	0.08523415235899959	1.1581496713455877	-1.3949322656582666	7.754690211965133e-24	3.004942457136489e-23
Neutrophil	97	166	-0.4286748353524984	0.5460364498216674	-1.4898031984009164	1.7545409121845935e-23	6.043418697524711e-23
Macrophage_M2	97	166	-0.3435378344943733	0.6460486162459589	-1.5155240333554973	3.44766756841566e-23	1.0687769462088547e-22
T_reg	97	166	-0.19662925857773877	0.5023141214420572	-1.5384765750607723	1.0066153479056763e-22	2.8368250713705423e-22
INTERFERON_ALPHA_RESPONSE	97	166	-0.37372584654134666	0.5511380579508206	-1.3399898897415579	3.9067112075528837e-22	1.0092337286178284e-21
TNFA_SIGNALING_VIA_NFKB	97	166	-0.2756969883083036	0.34678098515951516	-1.4482192817859116	3.5531418181887755e-21	8.472876643373233e-21
Dendritic	97	166	-0.28966550250562323	0.48243212313244815	-1.3327348186041093	3.2627241799831334e-19	7.224603541391224e-19
CD8_T_cell	97	166	-0.5334306111074975	0.41838334448832754	-1.298804018904191	5.636521756792677e-19	1.1648811630704866e-18
Macrophage_M1	97	166	-0.33634222445456063	0.39969974388809215	-1.2681219443792469	9.274205895440624e-19	1.796877392241621e-18
B_cell	97	166	-0.5708435770863244	0.37273231432598325	-1.205615362365028	1.931811078018844e-18	3.522714318740245e-18
cyt_activity	97	166	-0.5284633444092013	0.4624592029769177	-1.253211845569012	2.487968245666859e-18	4.059316611351191e-18
Cytolytic	97	166	-0.5284633444092013	0.4624592029769177	-1.253211845569012	2.487968245666859e-18	4.059316611351191e-18
Stromal_fibroblast	97	166	-0.30441086924595706	0.5966904307137272	-1.2485710169900281	1.5826642893055653e-17	2.4531296484236264e-17
EPITHELIAL_MESENCHYMAL_TRANSITION	97	166	-0.39557035197039814	0.3378088222061551	-1.190706395103122	5.234011695022871e-16	7.726398216462334e-16
NK_cell	97	166	-0.5138968312152461	0.19017553945669435	-1.082447811415784	7.490046482276684e-16	1.0554156406844417e-15
P53_PATHWAY	97	166	-0.09796948125422661	0.42053170329061057	-1.1249972381990148	4.4652300589922036e-13	6.018353557772101e-13
G2M_CHECKPOINT	97	166	-0.12982625900081018	0.41497435557355067	-0.9154381398455762	2.3705616031923327e-11	3.06197540412343e-11
E2F_TARGETS	97	166	-0.007845354650149537	0.37841084830841565	-0.6682652899895472	1.8044251939126313e-06	2.237487240451663e-06
thyroid_diff_score	97	166	-0.4023920523111218	-0.5517146568987533	0.33943443322748784	4.97604272911166e-05	5.932974023171594e-05
FATTY_ACID_METABOLISM	97	166	-0.05494704360410734	-0.22565372803878037	0.5015267230861331	0.00022831347774444135	0.0002621376966695438
ANGIOGENESIS	97	166	-0.24927936613411644	-0.37159386923634957	0.21146858113949338	0.12236844910338367	0.13547935436446049
MYC_TARGETS_V1	97	166	0.21625685519150956	0.12521897560666845	0.20570249877521243	0.2932857467542612	0.31351234997869304
Endothelial	97	166	-0.2532669601650355	-0.3402140177480794	0.11720207385636133	0.4694898032773994	0.48513946338664604
OXIDATIVE_PHOSPHORYLATION	97	166	-0.1242933667997784	-0.22439225778192817	0.1475998719655819	0.48721406602077444	0.48721406602077444
