endpoint	test_stat	p	n	events
OS	0.28014727083388113	0.963717950577729	526	16
DSS	1.8972202092091566	0.5940105522092165	520	7
PFI	8.687049740894839	0.03375451647844876	526	56
DFI	14.87954851634137	0.0019225304530138762	368	27
