quadrant	driver	n_in_quad_with_driver	n_in_quad_other_driver	n_outside_quad_with_driver	n_outside_quad_other_driver	OR	p	fdr
Q_fail_to_induce	BRAF	77	20	217	213	3.779032258064516	1.2834572280856487e-07	3.183137409287966e-07
Q_fail_to_induce	Other	1	96	10	420	0.4375	0.6981908630525355	0.6981908630525355
Q_fail_to_induce	RAS	1	96	53	377	0.07409591194968554	0.00027673609875211323	0.0005534721975042265
Q_fail_to_induce	TripleNeg	18	79	150	280	0.4253164556962025	0.001641895507704654	0.0026270328123274463
Q_inflamed_dark	BRAF	141	25	153	208	7.6674509803921564	2.8755771945763806e-21	1.5336411704407362e-20
Q_inflamed_dark	Other	1	165	10	351	0.21272727272727274	0.1861753277595875	0.2127718031538143
Q_inflamed_dark	RAS	0	166	54	307	0.0	4.330470941559656e-10	1.7321883766238623e-09
Q_inflamed_dark	TripleNeg	24	142	144	217	0.2546948356807512	1.904533909831878e-09	6.09450851146201e-09
Q_inflamed_bright	BRAF	47	50	247	183	0.6964372469635628	0.1141275026018792	0.14046461858692824
Q_inflamed_bright	Other	1	96	10	420	0.4375	0.6981908630525355	0.6981908630525355
Q_inflamed_bright	RAS	3	94	51	379	0.23717146433041303	0.008542008964547189	0.011389345286062919
Q_inflamed_bright	TripleNeg	46	51	122	308	2.277081324333012	0.00043262279793092643	0.000769107196321647
Q_quiet_bright	BRAF	29	138	265	95	0.07533497402242276	6.022521364999213e-35	9.63603418399874e-34
Q_quiet_bright	Other	8	159	3	357	5.987421383647798	0.005772058238731485	0.008395721074518523
Q_quiet_bright	RAS	50	117	4	356	38.034188034188034	3.5573133919206823e-23	2.845850713536546e-22
Q_quiet_bright	TripleNeg	80	87	88	272	2.8422152560083593	1.3926226165634853e-07	3.183137409287966e-07
