quadrant	col	a	b	c	d	OR	p
Q_fail_to_induce	tert_mut	7	90	29	401	1.0754789272030651	0.8253893021677593
Q_inflamed_dark	tert_mut	19	147	17	344	2.6154461784713887	0.008209265041990252
Q_inflamed_bright	tert_mut	1	96	35	395	0.11755952380952381	0.007166400686009609
Q_quiet_bright	tert_mut	9	158	27	333	0.7025316455696202	0.4593943690465705
