population	UMAP1	UMAP2
AFND_EastAsianAggregate	22.068176	-4.588774
AFND_HanChinese	23.09587	-4.6625004
AFND_Japan	21.988707	-5.597573
AFND_Korea	22.70218	-5.7378774
AFND_Taiwan_Han	23.82451	-5.178064
AFND_Taiwan_Indigenous	23.716055	-6.148972
Baek2021_KoreanNGS	20.352343	-3.773108
GSE213647_normal_RNAseq	19.53785	-3.8178298
K2_normal_RNAseq	19.847273	-4.5675354
