source_A	source_B	n_alleles	pearson	spearman
Baek2021_KoreanNGS	K2_normal_RNAseq	145	0.8617932579605566	0.8133660203409565
Baek2021_KoreanNGS	GSE213647_normal_RNAseq	145	0.9063794262342963	0.8496015423225315
K2_normal_RNAseq	GSE213647_normal_RNAseq	145	0.9284468723930681	0.8572978790617042
