population	locus	shannon_H_bits	expected_heterozygosity	n_alleles_observed
AFND_EastAsianAggregate	B	0.0	0.0	1
AFND_EastAsianAggregate	DPB1	0.0	0.0	1
AFND_EastAsianAggregate	DQB1	0.0	0.0	1
AFND_EastAsianAggregate	DRB1	0.9353760655732227	0.45587903805628605	2
AFND_HanChinese	B	0.0	0.0	1
AFND_HanChinese	DPB1	0.0	0.0	1
AFND_HanChinese	DQB1	0.0	0.0	1
AFND_HanChinese	DRB1	0.9284197697173976	0.4512105306792682	2
AFND_Japan	B	0.0	0.0	1
AFND_Japan	DPB1	0.0	0.0	1
AFND_Japan	DQB1	0.0	0.0	1
AFND_Japan	DRB1	0.0	0.0	1
AFND_Korea	B	0.0	0.0	1
AFND_Korea	DPB1	0.0	0.0	1
AFND_Korea	DRB1	0.9709505944546688	0.48	2
AFND_Taiwan_Han	B	0.0	0.0	1
AFND_Taiwan_Han	DPB1	0.0	0.0	1
AFND_Taiwan_Indigenous	B	0.0	0.0	1
AFND_Taiwan_Indigenous	DPB1	0.0	0.0	1
Baek2021_KoreanNGS	A	3.3525162281931444	0.8677870961275017	20
Baek2021_KoreanNGS	B	4.631216464173255	0.9483110027064051	38
Baek2021_KoreanNGS	C	3.8042505968754887	0.9003140766480671	25
Baek2021_KoreanNGS	DPB1	2.8342292240417084	0.798473052891844	16
Baek2021_KoreanNGS	DQB1	3.63815548282252	0.9067459654515687	16
Baek2021_KoreanNGS	DRB1	4.330125233471874	0.9393564769955561	31
GSE213647_normal_RNAseq	A	3.6846819768260484	0.8890615738264251	28
GSE213647_normal_RNAseq	B	4.71836688016267	0.9499053043993696	50
GSE213647_normal_RNAseq	C	4.328279780564131	0.9320215703566627	42
GSE213647_normal_RNAseq	DPB1	2.7487734870922176	0.7676977531548167	22
GSE213647_normal_RNAseq	DQB1	4.399799729459516	0.9396566464895181	39
GSE213647_normal_RNAseq	DRB1	4.370060026696788	0.9424704142011834	31
K2_normal_RNAseq	A	3.5846837470586466	0.886374028349337	20
K2_normal_RNAseq	B	4.642611917587964	0.9513031550068587	34
K2_normal_RNAseq	C	4.671838516092231	0.9478737997256516	41
K2_normal_RNAseq	DPB1	2.7685955741478554	0.7899555555555555	15
K2_normal_RNAseq	DQB1	4.169857827673704	0.9296875	26
K2_normal_RNAseq	DRB1	4.221096483582077	0.934375	25
