population	country	typing_method	max_n_chr	n_individuals_approx	source	healthy_only
AFND_EastAsianAggregate	East Asian aggregate	Sanger / PCR-SBT (AFND, weighted pool)	226564	113282	AFND Sanger/PCR-SBT (East Asian aggregate)	True
AFND_HanChinese	China (Han)	Sanger / PCR-SBT (AFND)	17646	8823	AFND Sanger/PCR-SBT (pooled)	True
AFND_Japan	Japan	Sanger / PCR-SBT (AFND)	40220	20110	AFND Sanger/PCR-SBT (pooled)	True
AFND_Korea	South Korea	Sanger / PCR-SBT (AFND)	164394	82197	AFND Sanger/PCR-SBT (pooled)	True
AFND_Taiwan_Han	Taiwan (Han)	Sanger / PCR-SBT (AFND)	2742	1371	AFND Sanger/PCR-SBT (pooled)	True
AFND_Taiwan_Indigenous	Taiwan (Indigenous)	Sanger / PCR-SBT (AFND)	424	212	AFND Sanger/PCR-SBT (pooled)	True
Baek2021_KoreanNGS	South Korea	NGS long-range PCR (TruSight HLA v2)	346	173	Baek 2021 PLoS ONE NGS (TruSight HLA v2)	True
GSE213647_normal_RNAseq	South Korea	RNA-seq imputed (arcasHLA)	526	263	RNA-seq arcasHLA	True
K2_normal_RNAseq	South Korea	RNA-seq imputed (arcasHLA)	162	81	RNA-seq arcasHLA	True
