pilot	split_name	fold_id	model_name	subset	n	n_pos	prevalence	auprc	auroc	precision_at_5	enrichment_at_5	precision_at_10	enrichment_at_10	precision_at_20	enrichment_at_20	n_unique_test_pmhc
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	0	pmhc_only	paired_class_i_positive_vs_shuffled_tcr_decoy	21978.0	10989.0	0.5	0.5	0.5	0.6	1.2	0.6	1.2	0.55	1.1	1.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	0	tcr_only	paired_class_i_positive_vs_shuffled_tcr_decoy	21978.0	10989.0	0.5	0.5	0.5	0.6	1.2	0.6	1.2	0.55	1.1	1.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	0	pmhc_tcr	paired_class_i_positive_vs_shuffled_tcr_decoy	21978.0	10989.0	0.5	0.5	0.5	0.6	1.2	0.5	1.0	0.5	1.0	1.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	0	pmhc_tcr_cross	paired_class_i_positive_vs_shuffled_tcr_decoy	21978.0	10989.0	0.5	0.5	0.49999999999999994	0.6	1.2	0.5	1.0	0.5	1.0	1.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	1	pmhc_only	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.5	0.5	0.0	0.0	0.4	0.8	0.6	1.2	159.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	1	tcr_only	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.49999999999999994	0.5	0.0	0.0	0.4	0.8	0.6	1.2	159.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	1	pmhc_tcr	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.5	0.5	0.0	0.0	0.4	0.8	0.6	1.2	159.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	1	pmhc_tcr_cross	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.5028552678629039	0.5012231065784162	0.8	1.6	0.7	1.4	0.75	1.5	159.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	2	pmhc_only	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.5	0.5	0.0	0.0	0.4	0.8	0.6	1.2	163.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	2	tcr_only	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.5	0.5	0.0	0.0	0.4	0.8	0.6	1.2	163.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	2	pmhc_tcr	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.5	0.5	0.0	0.0	0.4	0.8	0.6	1.2	163.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	2	pmhc_tcr_cross	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.503445171775305	0.4977565051598608	0.8	1.6	0.7	1.4	0.6	1.2	163.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	3	pmhc_only	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.5	0.5	0.0	0.0	0.4	0.8	0.6	1.2	164.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	3	tcr_only	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.5	0.5	0.0	0.0	0.4	0.8	0.6	1.2	164.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	3	pmhc_tcr	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.5	0.5	0.0	0.0	0.4	0.8	0.6	1.2	164.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	3	pmhc_tcr_cross	paired_class_i_positive_vs_shuffled_tcr_decoy	4506.0	2253.0	0.5	0.4942370067019465	0.4856767393438428	0.4	0.8	0.5	1.0	0.5	1.0	164.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	4	pmhc_only	paired_class_i_positive_vs_shuffled_tcr_decoy	4504.0	2252.0	0.5	0.5	0.5	0.8	1.6	0.4	0.8	0.55	1.1	164.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	4	tcr_only	paired_class_i_positive_vs_shuffled_tcr_decoy	4504.0	2252.0	0.5	0.5	0.5	0.8	1.6	0.4	0.8	0.55	1.1	164.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	4	pmhc_tcr	paired_class_i_positive_vs_shuffled_tcr_decoy	4504.0	2252.0	0.5	0.5	0.5	0.8	1.6	0.4	0.8	0.55	1.1	164.0
paired_tcr_pmhc_shuffled_decoy	grouped_by_peptide_hla	4	pmhc_tcr_cross	paired_class_i_positive_vs_shuffled_tcr_decoy	4504.0	2252.0	0.5	0.4830338587172815	0.4821455331593941	0.6	1.2	0.5	1.0	0.4	0.8	164.0
