lineage	n	rho_DM1_log_pMHC	p_DM1_log_pMHC	rho_DM1_immunogenic	p_DM1_immunogenic
adrenocortical cancer	78	-0.25642388493653334	0.023442535632820824	-0.2138680037891013	0.060087285515556275
head & neck squamous cell carcinoma	482	-0.12904876128307366	0.004543715875973911	-0.12830509515732685	0.004783999669008138
mesothelioma	79	-0.11980933556652394	0.29293304444922874	-0.10456292576613346	0.3591010715873014
liver hepatocellular carcinoma	351	-0.11979931767786785	0.024798801040381516	-0.1573704236910487	0.00311395892574386
testicular germ cell tumor	143	-0.09789125582679895	0.24477632058914386	-0.09204895666033479	0.27421479314355796
pheochromocytoma & paraganglioma	176	-0.07767660911084423	0.30550339545935945	-0.061619900655187174	0.4165462355737576
uterine carcinosarcoma	56	-0.07294354993915482	0.5931612465086245	-0.08881595196754677	0.5150881087376891
diffuse large B-cell lymphoma	37	-0.0680578629522088	0.6889829809575413	-0.17004625764730635	0.31431850613878554
ovarian serous cystadenocarcinoma	160	-0.015143313596400929	0.8492633218565026	0.012673270669099627	0.8736254820758511
cervical & endocervical cancer	282	-0.01436794680096389	0.8101600422940283	0.0006497125131011127	0.991333493799478
kidney papillary cell carcinoma	267	-0.014360214371741587	0.8153273853900812	-0.07712657854333245	0.20903700344151285
glioblastoma multiforme	145	-0.009336228289748429	0.9112575534603902	0.036368194911069525	0.6640818920962607
bladder urothelial carcinoma	404	0.0017341670584627713	0.9722804055169774	0.005740622002352466	0.9084225287401093
sarcoma	230	0.00182829648721137	0.9779999720198957	-0.01490168253517382	0.8221532499157806
esophageal carcinoma	140	0.017756648640940047	0.8350476089584054	0.08372746208627482	0.32535007958841755
uterine corpus endometrioid carcinoma	509	0.019818727099941227	0.6555428008759494	0.0045507707958937155	0.918424756261911
stomach adenocarcinoma	95	0.0284103436956774	0.7846232742010963	0.10686382091501058	0.302659902768996
thymoma	116	0.04029516580775251	0.6675836012319387	0.05625306882626927	0.5486541937397688
prostate adenocarcinoma	488	0.042044259073733874	0.3540220591156839	0.08119733164388988	0.07312212106005696
pancreatic adenocarcinoma	161	0.04621233719295333	0.5604918824806295	0.0526481017032594	0.5071483272170145
kidney clear cell carcinoma	350	0.04901680342330953	0.36056466779233665	0.057112685633104024	0.2866369902079632
lung squamous cell carcinoma	462	0.08414573976027992	0.07077003816923562	0.09669696060576963	0.03774042557307982
lung adenocarcinoma	499	0.09612576479524258	0.031803204043242654	0.09414682144611344	0.035511412261987015
uveal melanoma	76	0.12136852098823483	0.29630153794986946	0.03129394618056791	0.7884233041580055
rectum adenocarcinoma	123	0.14034572933163655	0.12155239896284578	0.12781777356312127	0.1588707722479986
brain lower grade glioma	507	0.15198778707723617	0.0005952288476904631	0.1693936736708166	0.00012684953577308852
thyroid carcinoma	482	0.15681967709825442	0.0005495584248614052	0.14852383497454066	0.0010737407405602942
cholangiocarcinoma	35	0.16002243919869455	0.3584825497298667	0.11321864121080231	0.5172617477400945
skin cutaneous melanoma	102	0.16558096414319748	0.09627694013570458	0.17771896817055002	0.07393640726305929
breast invasive carcinoma	993	0.2120299730296554	1.479043214233895e-11	0.22689179290441155	4.643253291710606e-13
colon adenocarcinoma	369	0.2322719959438084	6.5297089669909846e-06	0.21733791725962562	2.5401255271902306e-05
kidney chromophobe	65	0.29046380320389803	0.018914755229379146	0.2795702428075562	0.024107504596791014
