endpoint	n	events	var	HR	HR_ci_low	HR_ci_high	p
OS	451	14	DM1_z	0.9411558613952632	0.5654048175013295	1.5666197528226349	0.8155542704183665
OS	451	14	log_neo_z	1.3683398232179105	0.8186189593141029	2.28721049091364	0.2315337326581253
OS	451	14	DM1_x_neo	0.9003372992594373	0.5250894229585762	1.5437508679387846	0.7027452287168126
OS	451	14	age_z	2.956765228853261	1.7543829157706827	4.9832112134512	4.6883543821796505e-05
PFI	451	45	DM1_z	1.458075264553209	1.0665643421249147	1.9933007256424082	0.018082976397914605
PFI	451	45	log_neo_z	1.2624547248984221	0.9078242127867624	1.7556173430601312	0.16599293485199285
PFI	451	45	DM1_x_neo	0.7842258565395825	0.5599997129253649	1.0982330523930262	0.15718272555383614
PFI	451	45	age_z	0.9232567049138956	0.6157367703001425	1.3843625787574094	0.6992494049867269
