driver	y	n	rho	p	median_y
BRAF	TMB	144	0.21065123358563492	0.011267630482501548	8.0
BRAF	neoantigen	273	0.16946127133240518	0.004993613719367591	2.5649493574615367
BRAF	cytolytic	2			2.71090015363307
BRAF	HLA1	278	0.13355948524050212	0.02595838890735979	0.06982126334532496
BRAF	HLA2	278	0.21804277784247506	0.00024899378999469453	0.2210614536371134
RAS	TMB	26	-0.07744108329392588	0.7069029438141339	7.0
RAS	neoantigen	54	0.041042337125231435	0.7682494450426354	2.70805020110221
RAS	cytolytic	0			
RAS	HLA1	54	-0.0007242233657327996	0.9958530906504365	-0.5520049816171122
RAS	HLA2	54	0.1608157042119306	0.24536653197213304	-0.7910385016750245
TripleNeg	TMB	60	0.08260084377566458	0.5303723781285054	6.0
TripleNeg	neoantigen	145	0.1380348993458671	0.09778059427481496	2.4849066497880004
TripleNeg	cytolytic	162	0.11670837090949118	0.13913726739900698	1.9500672213918704
TripleNeg	HLA1	162	0.26255325935240575	0.0007373682964116159	-0.15519300302651828
TripleNeg	HLA2	162	0.3846288463519725	4.340352529167666e-07	-0.16998956882098815
